round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,160.0,1.35,0,0,0.02
1,7.9,1.38,0,0,0.02
2,210.5,1.38,0,0,0.02
3,234.2,1.38,0,0,0.02
4,247.7,1.39,0,0,0.02
5,260.4,1.39,0,0,0.02
6,287.4,1.39,0,0,0.02
7,263.0,1.39,0,0,0.02
8,284.5,1.39,0,0,0.02
9,282.2,1.39,0,0,0.02
10,283.6,1.39,0,0,0.02
11,270.1,1.39,0,0,0.02
12,256.1,1.39,0,0,0.02
13,282.6,1.39,0,0,0.02
14,251.6,1.39,0,0,0.02
15,288.3,1.39,0,0,0.02
16,258.0,1.39,0,0,0.02
17,244.9,1.39,0,0,0.02
18,282.3,1.39,0,0,0.02
19,277.6,1.39,0,0,0.02
20,300.0,1.39,0,0,0.02
21,257.3,1.39,0,0,0.02
22,310.5,1.39,0,0,0.02
23,276.1,1.39,0,0,0.02
24,283.4,1.39,0,0,0.02
25,259.1,1.39,0,0,0.02
26,285.8,1.39,0,0,0.02
27,278.6,1.39,0,0,0.02
28,266.8,1.39,0,0,0.02
29,286.0,1.39,0,0,0.02
30,297.9,1.39,0,0,0.02
31,268.3,1.39,0,0,0.02
32,281.4,1.39,0,0,0.02
33,263.9,1.39,0,0,0.02
34,299.0,1.39,0,0,0.02
35,265.4,1.39,0,0,0.02
36,295.1,1.39,0,0,0.02
37,262.7,1.39,0,0,0.02
38,266.0,1.39,0,0,0.02
39,286.6,1.39,0,0,0.02
40,274.0,1.39,0,0,0.02
41,301.7,1.39,0,0,0.02
42,268.4,1.39,0,0,0.02
43,277.7,1.39,0,0,0.02
44,272.5,1.39,0,0,0.02
45,278.4,1.39,0,0,0.02
46,287.6,1.39,0,0,0.02
47,285.6,1.39,0,0,0.02
48,268.2,1.39,0,0,0.02
49,285.3,1.39,0,0,0.02
50,283.5,1.39,0,0,0.02
51,255.4,1.39,0,0,0.02
52,251.6,1.39,0,0,0.02
53,254.1,1.39,0,0,0.02
54,267.9,1.39,0,0,0.02
55,242.9,1.39,0,0,0.02
56,286.6,1.39,0,0,0.02
57,241.3,1.39,0,0,0.02
58,297.6,1.39,0,0,0.02
59,271.9,1.39,0,0,0.02
60,282.5,1.39,0,0,0.02
61,278.9,1.39,0,0,0.02
62,281.8,1.39,0,0,0.02
63,266.8,1.39,0,0,0.02
64,259.1,1.39,0,0,0.02
65,262.4,1.39,0,0,0.02
66,256.7,1.39,0,0,0.02
67,245.2,1.39,0,0,0.02
68,252.7,1.39,0,0,0.02
69,276.9,1.39,0,0,0.02
70,274.0,1.39,0,0,0.02
71,268.3,1.39,0,0,0.02
72,251.4,1.39,0,0,0.02
73,271.3,1.39,0,0,0.02
74,285.9,1.39,0,0,0.02
75,285.0,1.39,0,0,0.02
76,257.5,1.39,0,0,0.02
77,252.9,1.39,0,0,0.02
78,282.3,1.39,0,0,0.02
79,274.5,1.39,0,0,0.02
80,260.3,1.39,0,0,0.02
81,278.3,1.39,0,0,0.02
82,270.5,1.39,0,0,0.02
83,295.0,1.39,0,0,0.02
84,259.5,1.39,0,0,0.02
85,288.8,1.39,0,0,0.02
86,281.4,1.39,0,0,0.02
87,245.1,1.39,0,0,0.02
88,287.1,1.39,0,0,0.02
89,293.6,1.39,0,0,0.02
90,263.8,1.39,0,0,0.02
91,279.8,1.39,0,0,0.02
92,297.9,1.39,0,0,0.02
93,264.6,1.39,0,0,0.02
94,298.7,1.39,0,0,0.02
95,286.0,1.39,0,0,0.02
96,284.8,1.39,0,0,0.02
97,290.1,1.39,0,0,0.02
98,286.2,1.39,0,0,0.02
99,260.4,1.39,0,0,0.02
100,271.9,1.39,0,0,0.02
101,277.8,1.39,0,0,0.02
102,283.6,1.39,0,0,0.02
103,299.2,1.39,0,0,0.02
104,240.7,1.39,0,0,0.02
105,279.4,1.39,0,0,0.02
106,248.0,1.39,0,0,0.02
107,278.0,1.39,0,0,0.02
108,271.0,1.39,0,0,0.02
109,280.1,1.39,0,0,0.02
110,259.3,1.39,0,0,0.02
111,288.8,1.39,0,0,0.02
112,260.3,1.39,0,0,0.02
113,250.3,1.39,0,0,0.02
114,287.8,1.39,0,0,0.02
115,281.0,1.39,0,0,0.02
116,279.7,1.39,0,0,0.02
117,260.4,1.39,0,0,0.02
118,272.0,1.39,0,0,0.02
119,275.2,1.39,0,0,0.02
120,281.0,1.39,0,0,0.02
121,286.5,1.39,0,0,0.02
122,285.7,1.39,0,0,0.02
123,267.1,1.39,0,0,0.02
124,298.0,1.39,0,0,0.02
125,274.6,1.39,0,0,0.02
126,283.0,1.39,0,0,0.02
127,265.4,1.39,0,0,0.02
128,256.9,1.39,0,0,0.02
129,291.5,1.39,0,0,0.02
130,250.7,1.39,0,0,0.02
131,288.3,1.39,0,0,0.02
132,286.1,1.39,0,0,0.02
133,265.1,1.39,0,0,0.02
134,298.6,1.39,0,0,0.02
135,251.0,1.39,0,0,0.02
136,295.5,1.39,0,0,0.02
137,266.8,1.39,0,0,0.02
138,243.3,1.39,0,0,0.02
139,278.4,1.39,0,0,0.02
140,287.0,1.39,0,0,0.02
141,285.3,1.39,0,0,0.02
142,256.9,1.39,0,0,0.02
143,264.2,1.39,0,0,0.02
144,289.6,1.39,0,0,0.02
145,268.9,1.39,0,0,0.02
146,258.8,1.39,0,0,0.02
147,296.8,1.39,0,0,0.02
148,270.5,1.39,0,0,0.02
149,246.9,1.39,0,0,0.02
150,267.4,1.39,0,0,0.02
151,289.5,1.39,0,0,0.02
152,288.3,1.39,0,0,0.02
153,275.8,1.39,0,0,0.02
154,257.8,1.39,0,0,0.02
155,304.5,1.39,0,0,0.02
156,299.8,1.39,0,0,0.02
157,269.3,1.39,0,0,0.02
158,298.4,1.39,0,0,0.02
159,261.6,1.39,0,0,0.02
160,274.3,1.39,0,0,0.02
161,280.5,1.39,0,0,0.02
162,294.3,1.39,0,0,0.02
163,253.8,1.39,0,0,0.02
164,256.8,1.39,0,0,0.02
165,249.0,1.39,0,0,0.02
166,234.8,1.39,0,0,0.02
167,288.6,1.39,0,0,0.02
168,266.4,1.39,0,0,0.02
169,263.8,1.39,0,0,0.02
170,279.2,1.39,0,0,0.02
171,285.6,1.39,0,0,0.02
172,266.2,1.39,0,0,0.02
173,280.1,1.39,0,0,0.02
174,286.0,1.39,0,0,0.02
175,264.9,1.39,0,0,0.02
176,258.9,1.39,0,0,0.02
177,256.9,1.39,0,0,0.02
178,298.5,1.39,0,0,0.02
179,247.3,1.39,0,0,0.02
180,270.4,1.39,0,0,0.02
181,295.6,1.39,0,0,0.02
182,260.1,1.39,0,0,0.02
183,258.0,1.39,0,0,0.02
184,312.3,1.39,0,0,0.02
185,284.2,1.39,0,0,0.02
186,287.5,1.39,0,0,0.02
187,295.0,1.39,0,0,0.02
188,277.0,1.39,0,0,0.02
189,274.5,1.39,0,0,0.02
190,252.5,1.39,0,0,0.02
191,275.9,1.39,0,0,0.02
192,254.6,1.39,0,0,0.02
193,256.6,1.39,0,0,0.02
194,294.2,1.39,0,0,0.02
195,253.7,1.39,0,0,0.02
196,249.4,1.39,0,0,0.02
197,238.5,1.39,0,0,0.02
