round,loss,accuracy,precision,recall,f1,global_accuracy,weighted_accuracy
0,2.3035324676127376,0.1,0.01,0.1,0.01818181818181818,0.0,0.0
1,2.272636232496817,0.1709,0.11770595760475493,0.1709,0.08320638929404627,0.18412617894696828,0.17156568686262746
2,2.0613584910766987,0.2327,0.23894383848321019,0.2327,0.1638037303246001,0.23807208736873323,0.23305338932213557
3,1.9648150069804131,0.2998,0.27630339150687966,0.29979999999999996,0.23787770895960084,0.3019981919644905,0.2970405918816237
4,1.8664360453810873,0.3462,0.28331787103475176,0.34619999999999995,0.2962438713400235,0.34632383453070964,0.34023195360927816
5,1.8265187197093722,0.337,0.3269870028157889,0.337,0.28026943423878153,0.3396959176038235,0.33293341331733656
6,1.7638299269012259,0.3722,0.3340345339411946,0.3722,0.3248890275055426,0.372450167565304,0.3667266546690662
7,1.7468206263795685,0.3608,0.3455861473162413,0.36079999999999995,0.30823280191458313,0.3639616041939,0.3572285542891422
8,1.6595386251618591,0.4016,0.46129129520952983,0.4016,0.3572935830557708,0.40944791575985434,0.4013197360527894
9,1.650674278223062,0.4024,0.4742630976618084,0.4024,0.3520919551603213,0.40061245495258785,0.39272145570885825
10,1.6165151762056955,0.4103,0.4465778278647489,0.4103,0.3683191589173527,0.41967629974879833,0.4138172365526895
11,1.580479015277911,0.4242,0.46164338031052515,0.4241999999999999,0.3771305773025272,0.43185028641957146,0.42391521695660866
12,1.554041940954667,0.434,0.4791430572567076,0.434,0.38986140836962824,0.44046703391550074,0.4305138972205559
13,1.5572076794467395,0.4379,0.48630787296595657,0.43789999999999996,0.39903711701787864,0.44587658395573104,0.4391121775644871
14,1.5048933059354372,0.4557,0.48398596995356485,0.45570000000000005,0.4122475023190623,0.46657016971816895,0.4568086382723455
15,1.522930600975133,0.4484,0.4805749001424968,0.4484,0.40644033498430776,0.45887596621282417,0.4506098780243951
16,1.4833625600307803,0.4612,0.4930960923304478,0.4612,0.41769790105073445,0.4742917471176322,0.46490701859628075
17,1.4658045180236237,0.4717,0.498688769625133,0.47170000000000006,0.4331694340393531,0.4831495233839445,0.47420515896820636
18,1.4477964881100231,0.4771,0.5003501202871807,0.47709999999999997,0.43697122845592135,0.4835467565107458,0.47430513897220555
19,1.4289594420903846,0.4909,0.5036580787928726,0.49090000000000006,0.45575195934440116,0.4971895181691242,0.4901019796040792
20,1.420729373074785,0.4873,0.5040062239340692,0.4873,0.4510472417102629,0.49856367537423996,0.49150169966006796
21,1.406688924077191,0.4903,0.5066953039829887,0.49030000000000007,0.45191699352249637,0.5036175401153608,0.49350129974005197
22,1.4129590701453294,0.4925,0.5077863257008816,0.4925,0.4610496437587147,0.5032753962621924,0.49750049990002
23,1.3981772449952137,0.495,0.5195601784639308,0.495,0.4578998899199956,0.5051971279662116,0.4943011397720456
24,1.3678856756113753,0.5051,0.5233331047614919,0.5051,0.47317966590201016,0.5180894158393939,0.50999800039992
25,1.381057754347596,0.5005,0.5181264867886785,0.5005,0.46780197860624473,0.5179776039878968,0.5107978404319136
26,1.3608093684232687,0.5088,0.5217400474240088,0.5088,0.4746057170383414,0.5240899708893044,0.5147970405918816
27,1.3515872698795945,0.5141,0.5235056687535397,0.5141,0.48502044835558633,0.5255706276588208,0.5186962607478505
28,1.341821296305596,0.515,0.5276662647957036,0.515,0.48101239749572366,0.5289659718103988,0.5202959408118376
29,1.3518434642236443,0.5177,0.5253063802144134,0.5176999999999999,0.4869490160646978,0.5275038781405388,0.5216956608678265
30,1.3442704602132869,0.5175,0.5273838061548851,0.5175,0.4856364087943964,0.5306378207244281,0.5231953609278145
31,1.3284971502762806,0.5229,0.5361169104412113,0.5229,0.4896846743195315,0.538191299106692,0.5311937612477504
32,1.3152640333658532,0.5267,0.5344261531868504,0.5267000000000001,0.49867411928343097,0.5400352189093948,0.5346930613877224
33,1.3139340002325517,0.5229,0.536103921239282,0.5229,0.4919052497995763,0.5387948995726359,0.5316936612677464
34,1.3192357835890371,0.5265,0.5427495487940874,0.5265,0.49560611873078597,0.5380032391305228,0.5311937612477504
35,1.2981305635428126,0.5333,0.5363153141861979,0.5332999999999999,0.5039234357636352,0.5480595145853194,0.5406918616276745
36,1.2873234326326395,0.5369,0.5444961442277731,0.5368999999999999,0.5098767345808044,0.551470574293585,0.5450909818036392
37,1.2853532863568655,0.5444,0.5509558476067502,0.5444,0.5180112166756873,0.5520545655195557,0.5461907618476305
38,1.2867469878136357,0.5382,0.549274038409006,0.5382,0.5118259958693911,0.5517333905439631,0.5452909418116376
39,1.2806966138791434,0.5432,0.5534390833024755,0.5432,0.5166939794418012,0.554849624658052,0.5488902219556089
40,1.2812403017961527,0.5429,0.5524394507194426,0.5429,0.5156978434366095,0.5566969525212403,0.5505898820235953
41,1.2726229308526726,0.5456,0.5539439870306503,0.5456,0.5192327541291569,0.5583359960126227,0.5516896620675865
42,1.2654517783394343,0.5466,0.5555436201266789,0.5466,0.5203306907184689,0.5610742334940705,0.5533893221355729
43,1.2608176560341557,0.5496,0.5533056927284623,0.5496,0.5257691513743937,0.5619001251808978,0.555488902219556
44,1.2614140691636484,0.5466,0.5539548485494005,0.5466000000000001,0.521993976996458,0.561593891794303,0.5563887222555489
45,1.2598295498497878,0.5521,0.5591954637851613,0.5520999999999999,0.5282929096176988,0.5620220132245541,0.5568886222755449
46,1.2474885877174666,0.5556,0.5603477615897452,0.5555999999999999,0.5340819960984178,0.5676640838854667,0.5609878024395121
47,1.249139078055756,0.5556,0.559170515062847,0.5556,0.533334226049806,0.5644337612424944,0.5575884823035393
48,1.241319805760927,0.5546,0.5566724894326304,0.5546,0.5318233896209472,0.5689382272706787,0.5624875024995001
49,1.2563851045656809,0.5487,0.5539438939626902,0.5487,0.5258933444393226,0.563833786939107,0.5572885422915417
