round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,110.0,1.34,0,0,0.02
1,7.7,1.37,0,0,0.02
2,226.8,1.38,0,0,0.02
3,240.7,1.38,0,0,0.02
4,236.4,1.38,0,0,0.02
5,234.6,1.38,0,0,0.02
6,256.7,1.38,0,0,0.02
7,247.2,1.38,0,0,0.02
8,259.1,1.38,0,0,0.02
9,231.1,1.38,0,0,0.02
10,232.0,1.38,0,0,0.02
11,240.4,1.38,0,0,0.02
12,235.2,1.38,0,0,0.02
13,230.8,1.38,0,0,0.02
14,238.4,1.38,0,0,0.02
15,248.3,1.38,0,0,0.02
16,245.1,1.38,0,0,0.02
17,268.4,1.38,0,0,0.02
18,269.9,1.38,0,0,0.02
19,257.3,1.38,0,0,0.02
20,259.3,1.38,0,0,0.02
21,263.2,1.38,0,0,0.02
22,263.7,1.38,0,0,0.02
23,251.8,1.38,0,0,0.02
24,251.9,1.38,0,0,0.02
25,239.5,1.38,0,0,0.02
26,244.3,1.38,0,0,0.02
27,235.2,1.38,0,0,0.02
28,259.8,1.38,0,0,0.02
29,277.2,1.38,0,0,0.02
30,245.4,1.38,0,0,0.02
31,253.3,1.38,0,0,0.02
32,243.3,1.38,0,0,0.02
33,258.1,1.38,0,0,0.02
34,264.2,1.38,0,0,0.02
35,252.6,1.38,0,0,0.02
36,249.9,1.38,0,0,0.02
37,244.7,1.38,0,0,0.02
38,245.7,1.38,0,0,0.02
39,261.9,1.38,0,0,0.02
40,271.8,1.38,0,0,0.02
41,255.2,1.38,0,0,0.02
42,251.3,1.38,0,0,0.02
43,264.3,1.38,0,0,0.02
44,261.7,1.38,0,0,0.02
45,255.0,1.38,0,0,0.02
46,266.6,1.38,0,0,0.02
47,256.3,1.38,0,0,0.02
48,250.2,1.38,0,0,0.02
49,249.4,1.38,0,0,0.02
50,238.8,1.38,0,0,0.02
51,276.7,1.38,0,0,0.02
52,247.5,1.38,0,0,0.02
53,242.3,1.38,0,0,0.02
54,260.4,1.38,0,0,0.02
55,282.8,1.38,0,0,0.02
56,256.3,1.38,0,0,0.02
57,251.8,1.38,0,0,0.02
58,251.2,1.38,0,0,0.02
59,245.5,1.38,0,0,0.02
60,248.4,1.38,0,0,0.02
61,259.5,1.38,0,0,0.02
62,261.5,1.38,0,0,0.02
63,259.9,1.38,0,0,0.02
64,267.7,1.38,0,0,0.02
65,268.0,1.38,0,0,0.02
66,250.7,1.38,0,0,0.02
67,261.2,1.38,0,0,0.02
68,241.2,1.38,0,0,0.02
69,248.2,1.38,0,0,0.02
70,244.4,1.38,0,0,0.02
71,259.2,1.38,0,0,0.02
72,244.7,1.38,0,0,0.02
73,270.5,1.38,0,0,0.02
74,251.4,1.38,0,0,0.02
75,259.8,1.38,0,0,0.02
76,245.2,1.38,0,0,0.02
77,257.9,1.38,0,0,0.02
78,265.5,1.38,0,0,0.02
79,274.2,1.38,0,0,0.02
80,262.4,1.38,0,0,0.02
81,249.3,1.38,0,0,0.02
82,240.2,1.38,0,0,0.02
83,248.4,1.38,0,0,0.02
84,253.8,1.38,0,0,0.02
85,233.3,1.38,0,0,0.02
86,249.8,1.38,0,0,0.02
87,249.2,1.38,0,0,0.02
88,249.7,1.38,0,0,0.02
89,248.9,1.38,0,0,0.02
90,240.0,1.38,0,0,0.02
91,284.0,1.38,0,0,0.02
92,241.3,1.38,0,0,0.02
93,232.6,1.38,0,0,0.02
94,241.0,1.38,0,0,0.02
95,243.6,1.38,0,0,0.02
96,233.4,1.38,0,0,0.02
97,259.7,1.38,0,0,0.02
98,251.0,1.38,0,0,0.02
99,242.9,1.38,0,0,0.02
100,264.6,1.38,0,0,0.02
101,261.8,1.38,0,0,0.02
102,252.7,1.38,0,0,0.02
103,269.1,1.38,0,0,0.02
104,267.7,1.38,0,0,0.02
105,251.1,1.38,0,0,0.02
106,266.7,1.38,0,0,0.02
107,256.6,1.38,0,0,0.02
108,268.8,1.38,0,0,0.02
109,255.6,1.38,0,0,0.02
110,263.9,1.38,0,0,0.02
111,263.8,1.38,0,0,0.02
112,241.2,1.38,0,0,0.02
113,244.5,1.38,0,0,0.02
114,259.1,1.38,0,0,0.02
115,238.3,1.38,0,0,0.02
116,249.7,1.38,0,0,0.02
117,245.4,1.38,0,0,0.02
118,242.7,1.38,0,0,0.02
119,236.7,1.38,0,0,0.02
120,280.4,1.38,0,0,0.02
121,269.1,1.38,0,0,0.02
122,243.3,1.38,0,0,0.02
123,246.3,1.38,0,0,0.02
124,282.1,1.38,0,0,0.02
125,242.0,1.38,0,0,0.02
126,251.8,1.38,0,0,0.02
127,252.3,1.38,0,0,0.02
128,237.1,1.38,0,0,0.02
129,256.7,1.38,0,0,0.02
130,249.7,1.38,0,0,0.02
131,255.6,1.38,0,0,0.02
132,254.0,1.38,0,0,0.02
133,265.3,1.38,0,0,0.02
134,252.5,1.38,0,0,0.02
135,245.6,1.38,0,0,0.02
136,243.2,1.38,0,0,0.02
137,271.5,1.38,0,0,0.02
138,235.2,1.38,0,0,0.02
139,257.9,1.38,0,0,0.02
140,257.3,1.38,0,0,0.02
141,262.7,1.38,0,0,0.02
142,277.2,1.38,0,0,0.02
143,250.4,1.38,0,0,0.02
144,233.9,1.38,0,0,0.02
145,254.9,1.38,0,0,0.02
146,262.9,1.38,0,0,0.02
147,244.8,1.38,0,0,0.02
148,270.1,1.38,0,0,0.02
149,245.9,1.38,0,0,0.02
150,278.1,1.38,0,0,0.02
151,253.5,1.38,0,0,0.02
152,263.1,1.38,0,0,0.02
153,255.0,1.38,0,0,0.02
154,260.9,1.38,0,0,0.02
155,242.2,1.38,0,0,0.02
156,262.9,1.38,0,0,0.02
157,260.4,1.38,0,0,0.02
158,242.8,1.38,0,0,0.02
159,253.1,1.38,0,0,0.02
160,256.3,1.38,0,0,0.02
161,267.4,1.38,0,0,0.02
162,274.8,1.38,0,0,0.02
163,251.1,1.38,0,0,0.02
164,247.5,1.38,0,0,0.02
165,265.6,1.38,0,0,0.02
166,241.4,1.38,0,0,0.02
167,250.1,1.38,0,0,0.02
168,228.0,1.38,0,0,0.02
169,247.4,1.38,0,0,0.02
170,248.5,1.38,0,0,0.02
171,278.8,1.38,0,0,0.02
172,253.7,1.38,0,0,0.02
173,244.7,1.38,0,0,0.02
174,236.9,1.38,0,0,0.02
175,247.4,1.38,0,0,0.02
176,240.0,1.38,0,0,0.02
177,243.1,1.38,0,0,0.02
178,240.6,1.38,0,0,0.02
179,244.2,1.38,0,0,0.02
180,238.8,1.38,0,0,0.02
181,273.6,1.38,0,0,0.02
182,257.5,1.38,0,0,0.02
183,255.0,1.38,0,0,0.02
184,240.9,1.38,0,0,0.02
185,231.6,1.38,0,0,0.02
186,258.3,1.38,0,0,0.02
187,250.3,1.38,0,0,0.02
188,245.9,1.38,0,0,0.02
189,265.4,1.38,0,0,0.02
190,252.1,1.38,0,0,0.02
191,236.4,1.38,0,0,0.02
192,255.0,1.38,0,0,0.02
193,277.5,1.38,0,0,0.02
194,245.7,1.38,0,0,0.02
195,225.5,1.38,0,0,0.02
196,262.3,1.38,0,0,0.02
197,241.7,1.38,0,0,0.02
198,252.9,1.38,0,0,0.02
199,273.3,1.38,0,0,0.02
200,236.6,1.38,0,0,0.02
201,262.0,1.38,0,0,0.02
202,244.0,1.38,0,0,0.02
203,248.8,1.38,0,0,0.02
204,240.5,1.38,0,0,0.02
205,245.0,1.38,0,0,0.02
206,271.9,1.38,0,0,0.02
207,266.5,1.38,0,0,0.02
208,232.7,1.38,0,0,0.02
209,245.5,1.38,0,0,0.02
210,243.9,1.38,0,0,0.02
211,274.1,1.39,0,0,0.02
212,259.2,1.39,0,0,0.02
213,225.7,1.39,0,0,0.02
214,254.2,1.39,0,0,0.02
215,244.7,1.39,0,0,0.02
216,241.1,1.39,0,0,0.02
217,269.0,1.39,0,0,0.02
218,262.9,1.39,0,0,0.02
219,255.6,1.39,0,0,0.02
220,268.7,1.39,0,0,0.02
221,242.6,1.39,0,0,0.02
222,244.9,1.39,0,0,0.02
223,240.4,1.39,0,0,0.02
224,248.8,1.39,0,0,0.02
225,257.8,1.39,0,0,0.02
226,235.2,1.39,0,0,0.02
227,258.8,1.39,0,0,0.02
228,253.9,1.39,0,0,0.02
229,240.6,1.39,0,0,0.02
230,251.3,1.39,0,0,0.02
231,272.9,1.39,0,0,0.02
232,264.3,1.39,0,0,0.02
233,254.6,1.39,0,0,0.02
234,253.5,1.39,0,0,0.02
235,253.0,1.39,0,0,0.02
236,250.2,1.39,0,0,0.02
237,236.8,1.39,0,0,0.02
238,258.1,1.39,0,0,0.02
239,240.6,1.39,0,0,0.02
240,266.4,1.39,0,0,0.02
241,257.6,1.39,0,0,0.02
242,247.9,1.39,0,0,0.02
243,241.0,1.39,0,0,0.02
244,255.4,1.39,0,0,0.02
245,258.3,1.39,0,0,0.02
246,265.0,1.39,0,0,0.02
247,265.7,1.39,0,0,0.02
248,247.9,1.39,0,0,0.02
249,264.0,1.39,0,0,0.02
250,248.1,1.39,0,0,0.02
251,245.4,1.39,0,0,0.02
252,264.3,1.39,0,0,0.02
253,270.7,1.39,0,0,0.02
254,271.6,1.39,0,0,0.02
255,252.4,1.39,0,0,0.02
256,272.5,1.39,0,0,0.02
257,261.1,1.39,0,0,0.02
258,256.5,1.39,0,0,0.02
259,237.9,1.39,0,0,0.02
260,237.2,1.39,0,0,0.02
261,255.1,1.39,0,0,0.02
262,250.5,1.39,0,0,0.02
263,250.9,1.39,0,0,0.02
264,239.8,1.39,0,0,0.02
265,235.6,1.39,0,0,0.02
266,263.5,1.39,0,0,0.02
267,261.9,1.39,0,0,0.02
268,256.1,1.39,0,0,0.02
269,242.6,1.39,0,0,0.02
270,239.6,1.39,0,0,0.02
271,246.4,1.39,0,0,0.02
272,247.3,1.39,0,0,0.02
273,259.9,1.39,0,0,0.02
274,253.9,1.39,0,0,0.02
275,253.5,1.39,0,0,0.02
276,267.0,1.39,0,0,0.02
277,252.3,1.39,0,0,0.02
278,240.6,1.39,0,0,0.02
279,257.3,1.39,0,0,0.02
280,261.0,1.39,0,0,0.02
281,253.8,1.39,0,0,0.02
282,238.0,1.39,0,0,0.02
283,258.1,1.39,0,0,0.02
284,229.0,1.39,0,0,0.02
285,238.6,1.39,0,0,0.02
286,244.0,1.39,0,0,0.02
287,248.8,1.39,0,0,0.02
288,249.3,1.39,0,0,0.02
289,240.6,1.39,0,0,0.02
290,245.4,1.39,0,0,0.02
291,239.5,1.39,0,0,0.02
292,250.2,1.39,0,0,0.02
293,275.4,1.39,0,0,0.02
294,268.4,1.39,0,0,0.02
295,290.2,1.39,0,0,0.02
296,252.8,1.39,0,0,0.02
297,245.5,1.39,0,0,0.02
298,238.7,1.39,0,0,0.02
299,247.0,1.39,0,0,0.02
300,261.2,1.39,0,0,0.02
301,252.1,1.39,0,0,0.02
302,238.8,1.39,0,0,0.02
303,247.3,1.40,0,0,0.02
304,258.6,1.40,0,0,0.02
305,248.6,1.40,0,0,0.02
306,255.3,1.40,0,0,0.02
307,256.5,1.40,0,0,0.02
308,233.6,1.40,0,0,0.02
309,243.0,1.40,0,0,0.02
310,248.0,1.40,0,0,0.02
311,275.8,1.40,0,0,0.02
312,276.3,1.40,0,0,0.02
313,268.8,1.40,0,0,0.02
314,258.7,1.40,0,0,0.02
315,261.8,1.40,0,0,0.02
316,257.7,1.40,0,0,0.02
317,248.6,1.40,0,0,0.02
318,245.8,1.40,0,0,0.02
319,263.4,1.40,0,0,0.02
320,259.9,1.40,0,0,0.02
321,261.6,1.40,0,0,0.02
322,270.3,1.40,0,0,0.02
323,259.0,1.40,0,0,0.02
324,254.2,1.40,0,0,0.02
325,240.2,1.40,0,0,0.02
326,260.5,1.40,0,0,0.02
327,250.5,1.40,0,0,0.02
328,245.3,1.40,0,0,0.02
329,255.1,1.40,0,0,0.02
330,249.6,1.40,0,0,0.02
331,245.9,1.40,0,0,0.02
332,275.5,1.40,0,0,0.02
333,243.8,1.40,0,0,0.02
334,250.7,1.40,0,0,0.02
335,259.8,1.40,0,0,0.02
336,253.0,1.41,0,0,0.02
337,244.9,1.41,0,0,0.02
338,260.7,1.41,0,0,0.02
339,242.9,1.41,0,0,0.02
340,237.0,1.41,0,0,0.02
