round,loss,accuracy,precision,recall,f1,global_accuracy,weighted_accuracy
0,2.3076001119010057,0.1015,0.030227018157649062,0.10149999999999999,0.03135185652885018,0.0,0.0
1,2.22301954559133,0.1411,0.16911200761649567,0.1411,0.066625664255172,0.14257148570285944,0.14257148570285944
2,2.063955445832844,0.2464,0.25621567731081907,0.24640000000000004,0.1963141228790303,0.23735252949410116,0.23735252949410118
3,1.9414145342911346,0.3346,0.3404049790045334,0.3346,0.296932074412815,0.33663267346530695,0.33663267346530695
4,1.8618260214600382,0.3632,0.3747975610460892,0.3632000000000001,0.3397011866548597,0.3528294341131774,0.35282943411317735
5,1.782709984839717,0.3839,0.38952880734252054,0.3839,0.36020469458369125,0.3814237152569486,0.3814237152569486
6,1.7249444481692737,0.4097,0.41081551694731633,0.40970000000000006,0.3864488387620265,0.3973205358928214,0.39732053589282146
7,1.6771472601950923,0.4221,0.4307008513728845,0.42210000000000003,0.4090815773524487,0.4165166966606679,0.4165166966606679
8,1.6393299389489089,0.4354,0.4367839284777631,0.4354,0.4143243285899209,0.42111577684463103,0.4211157768446311
9,1.600249486633494,0.4474,0.45166658937557386,0.4474,0.4367276702684991,0.43931213757248555,0.4393121375724855
10,1.5767219881468182,0.4589,0.4601691820973917,0.4589,0.45160054269527494,0.44731053789242153,0.44731053789242153
11,1.5367287548282478,0.4691,0.46779946235385,0.4690999999999999,0.4605081700719625,0.4559088182363527,0.4559088182363527
12,1.5201708184012883,0.4747,0.4721251853682478,0.4747,0.46704773996953614,0.46490701859628075,0.46490701859628075
13,1.4850222038317331,0.4842,0.48373617320141216,0.4842000000000001,0.4768590353213697,0.47590481903619275,0.47590481903619275
14,1.4733213140994688,0.4832,0.48371873730885195,0.48319999999999996,0.47227709825702224,0.4764047190561888,0.47640471905618875
15,1.452148502386069,0.493,0.49382118654016044,0.49300000000000005,0.4824679108948627,0.48460307938412317,0.48460307938412317
16,1.4318903699705872,0.501,0.4971374253545736,0.501,0.49242943970372866,0.4926014797040592,0.4926014797040592
17,1.4168941567215738,0.5057,0.5062166588061263,0.5056999999999999,0.49859755218555996,0.5017996400719856,0.5017996400719856
18,1.4061259121834477,0.5083,0.5075559685425198,0.5083,0.4990142882056842,0.5062987402519497,0.5062987402519497
19,1.3934268906146665,0.5124,0.5112537240945163,0.5124000000000001,0.5055992062698282,0.5071985602879424,0.5071985602879424
20,1.371658046034318,0.5197,0.5171041872840177,0.5196999999999999,0.5108530399412203,0.5178964207158568,0.5178964207158568
21,1.3683726727208005,0.5206,0.5206845122324213,0.5206,0.5122091233418782,0.5155968806238752,0.5155968806238752
22,1.3461152994180028,0.5296,0.5267559540814444,0.5296,0.5229221717793908,0.5276944611077784,0.5276944611077784
23,1.343470828442634,0.5334,0.5335634243762053,0.5334000000000001,0.5274432110250551,0.5283943211357728,0.5283943211357729
24,1.3317142498644092,0.5355,0.5325486823994579,0.5355,0.5310808080807098,0.532993401319736,0.532993401319736
25,1.316672371912606,0.5402,0.5397817485827803,0.5402,0.5369725949484079,0.5351929614077184,0.5351929614077184
26,1.3152201205869265,0.5383,0.5366626226327492,0.5382999999999999,0.5326139852887157,0.533993201359728,0.533993201359728
27,1.3011372466630573,0.5446,0.541549935115961,0.5446,0.5395552313813657,0.5423915216956608,0.5423915216956608
