round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,111.9,1.34,0,0,0.02
1,7.4,1.38,0,0,0.02
2,228.9,1.38,0,0,0.02
3,241.9,1.38,0,0,0.02
4,262.2,1.38,0,0,0.02
5,255.1,1.38,0,0,0.02
6,265.5,1.38,0,0,0.02
7,298.5,1.38,0,0,0.02
8,254.5,1.39,0,0,0.02
9,248.0,1.39,0,0,0.02
10,256.9,1.39,0,0,0.02
11,260.3,1.39,0,0,0.02
12,279.6,1.39,0,0,0.02
13,266.3,1.39,0,0,0.02
14,262.5,1.39,0,0,0.02
15,267.6,1.39,0,0,0.02
16,269.7,1.39,0,0,0.02
17,277.2,1.39,0,0,0.02
18,263.0,1.39,0,0,0.02
19,259.6,1.39,0,0,0.02
20,259.5,1.39,0,0,0.02
21,254.7,1.39,0,0,0.02
22,261.7,1.39,0,0,0.02
23,249.8,1.39,0,0,0.02
24,299.9,1.39,0,0,0.02
25,252.5,1.39,0,0,0.02
26,290.5,1.39,0,0,0.02
27,274.4,1.39,0,0,0.02
28,295.8,1.39,0,0,0.02
29,265.6,1.39,0,0,0.02
30,248.2,1.39,0,0,0.02
31,280.3,1.39,0,0,0.02
32,285.3,1.39,0,0,0.02
33,265.4,1.39,0,0,0.02
34,258.2,1.39,0,0,0.02
35,270.7,1.39,0,0,0.02
36,256.3,1.39,0,0,0.02
37,253.2,1.39,0,0,0.02
38,255.7,1.39,0,0,0.02
39,275.3,1.39,0,0,0.02
40,268.9,1.39,0,0,0.02
41,264.0,1.39,0,0,0.02
42,263.1,1.39,0,0,0.02
43,257.5,1.39,0,0,0.02
44,261.3,1.39,0,0,0.02
45,256.5,1.39,0,0,0.02
46,266.1,1.39,0,0,0.02
47,261.6,1.39,0,0,0.02
48,264.2,1.39,0,0,0.02
49,268.2,1.39,0,0,0.02
50,269.2,1.39,0,0,0.02
51,288.9,1.39,0,0,0.02
52,257.5,1.39,0,0,0.02
53,262.5,1.39,0,0,0.02
54,257.7,1.39,0,0,0.02
55,268.9,1.39,0,0,0.02
56,247.8,1.39,0,0,0.02
57,250.8,1.39,0,0,0.02
58,259.1,1.39,0,0,0.02
59,272.6,1.39,0,0,0.02
60,262.3,1.39,0,0,0.02
61,285.9,1.39,0,0,0.02
62,282.2,1.39,0,0,0.02
63,263.4,1.39,0,0,0.02
64,285.3,1.39,0,0,0.02
65,286.1,1.39,0,0,0.02
66,271.3,1.39,0,0,0.02
67,274.7,1.39,0,0,0.02
68,266.7,1.39,0,0,0.02
69,255.7,1.39,0,0,0.02
70,263.8,1.39,0,0,0.02
71,264.3,1.39,0,0,0.02
72,263.9,1.39,0,0,0.02
73,289.4,1.39,0,0,0.02
74,264.7,1.39,0,0,0.02
75,259.1,1.39,0,0,0.02
76,271.8,1.39,0,0,0.02
77,263.6,1.39,0,0,0.02
78,250.8,1.39,0,0,0.02
79,248.9,1.39,0,0,0.02
80,260.8,1.39,0,0,0.02
81,289.3,1.39,0,0,0.02
82,257.8,1.39,0,0,0.02
83,255.9,1.39,0,0,0.02
84,270.0,1.39,0,0,0.02
85,268.2,1.39,0,0,0.02
86,292.0,1.39,0,0,0.02
87,269.8,1.39,0,0,0.02
88,263.6,1.39,0,0,0.02
89,261.3,1.39,0,0,0.02
90,280.1,1.39,0,0,0.02
91,279.8,1.39,0,0,0.02
92,242.3,1.39,0,0,0.02
93,275.9,1.39,0,0,0.02
94,267.0,1.39,0,0,0.02
95,265.8,1.39,0,0,0.02
96,265.4,1.39,0,0,0.02
97,275.5,1.39,0,0,0.02
98,266.9,1.39,0,0,0.02
99,285.7,1.39,0,0,0.02
100,279.4,1.39,0,0,0.02
101,273.4,1.39,0,0,0.02
102,292.1,1.39,0,0,0.02
103,259.1,1.39,0,0,0.02
104,267.7,1.39,0,0,0.02
105,261.0,1.39,0,0,0.02
106,260.2,1.39,0,0,0.02
107,259.6,1.39,0,0,0.02
108,250.3,1.39,0,0,0.02
109,279.1,1.39,0,0,0.02
110,263.3,1.39,0,0,0.02
111,269.8,1.39,0,0,0.02
112,266.2,1.39,0,0,0.02
113,265.2,1.39,0,0,0.02
114,259.3,1.39,0,0,0.02
115,261.0,1.39,0,0,0.02
116,269.5,1.39,0,0,0.02
117,285.2,1.39,0,0,0.02
118,270.3,1.39,0,0,0.02
119,257.1,1.39,0,0,0.02
120,256.8,1.39,0,0,0.02
121,258.5,1.39,0,0,0.02
122,278.7,1.39,0,0,0.02
123,285.4,1.39,0,0,0.02
124,257.7,1.39,0,0,0.02
125,264.6,1.39,0,0,0.02
126,260.0,1.39,0,0,0.02
127,260.7,1.39,0,0,0.02
128,261.7,1.39,0,0,0.02
129,246.9,1.39,0,0,0.02
130,254.9,1.39,0,0,0.02
131,278.2,1.39,0,0,0.02
132,278.3,1.39,0,0,0.02
133,298.6,1.39,0,0,0.02
134,267.0,1.39,0,0,0.02
135,264.4,1.39,0,0,0.02
136,264.3,1.39,0,0,0.02
137,253.5,1.39,0,0,0.02
138,244.3,1.39,0,0,0.02
139,247.6,1.39,0,0,0.02
140,281.6,1.39,0,0,0.02
141,264.6,1.39,0,0,0.02
142,261.3,1.39,0,0,0.02
143,274.7,1.39,0,0,0.02
144,259.7,1.39,0,0,0.02
145,257.8,1.39,0,0,0.02
146,263.4,1.39,0,0,0.02
147,265.2,1.39,0,0,0.02
148,260.8,1.39,0,0,0.02
149,262.6,1.39,0,0,0.02
150,261.2,1.39,0,0,0.02
151,263.4,1.39,0,0,0.02
152,253.5,1.39,0,0,0.02
153,290.8,1.39,0,0,0.02
154,248.9,1.39,0,0,0.02
155,300.4,1.39,0,0,0.02
156,251.0,1.39,0,0,0.02
157,270.3,1.39,0,0,0.02
158,291.5,1.39,0,0,0.02
159,268.3,1.39,0,0,0.02
160,257.3,1.39,0,0,0.02
161,259.7,1.39,0,0,0.02
162,264.8,1.39,0,0,0.02
163,265.4,1.39,0,0,0.02
164,276.8,1.39,0,0,0.02
165,292.4,1.39,0,0,0.02
166,276.3,1.39,0,0,0.02
167,270.8,1.39,0,0,0.02
168,280.4,1.39,0,0,0.02
169,254.6,1.39,0,0,0.02
170,252.8,1.39,0,0,0.02
171,273.6,1.39,0,0,0.02
172,278.2,1.39,0,0,0.02
173,264.3,1.39,0,0,0.02
174,253.7,1.39,0,0,0.02
175,260.6,1.39,0,0,0.02
176,273.7,1.39,0,0,0.02
177,262.8,1.39,0,0,0.02
178,252.3,1.39,0,0,0.02
179,264.0,1.39,0,0,0.02
180,278.4,1.39,0,0,0.02
181,259.9,1.39,0,0,0.02
182,255.8,1.39,0,0,0.02
183,262.2,1.39,0,0,0.02
184,268.2,1.39,0,0,0.02
185,271.5,1.39,0,0,0.02
186,294.2,1.39,0,0,0.02
187,261.2,1.39,0,0,0.02
188,246.7,1.39,0,0,0.02
189,263.2,1.39,0,0,0.02
190,257.5,1.39,0,0,0.02
191,267.1,1.39,0,0,0.02
192,263.1,1.39,0,0,0.02
193,253.0,1.39,0,0,0.02
194,284.1,1.39,0,0,0.02
195,256.3,1.39,0,0,0.02
196,255.5,1.39,0,0,0.02
197,265.2,1.39,0,0,0.02
198,254.8,1.39,0,0,0.02
199,273.7,1.39,0,0,0.02
200,262.8,1.39,0,0,0.02
201,247.6,1.39,0,0,0.02
202,248.0,1.39,0,0,0.02
203,254.9,1.39,0,0,0.02
204,263.4,1.39,0,0,0.02
205,268.8,1.39,0,0,0.02
206,254.6,1.39,0,0,0.02
207,257.4,1.39,0,0,0.02
208,254.6,1.39,0,0,0.02
209,259.6,1.39,0,0,0.02
210,263.4,1.39,0,0,0.02
211,248.6,1.39,0,0,0.02
212,258.6,1.39,0,0,0.02
213,267.2,1.39,0,0,0.02
214,274.3,1.39,0,0,0.02
215,285.4,1.39,0,0,0.02
216,267.4,1.39,0,0,0.02
217,267.7,1.39,0,0,0.02
218,277.3,1.39,0,0,0.02
219,247.0,1.39,0,0,0.02
220,285.2,1.39,0,0,0.02
221,264.6,1.39,0,0,0.02
222,255.4,1.39,0,0,0.02
223,246.4,1.39,0,0,0.02
224,264.8,1.39,0,0,0.02
225,289.8,1.39,0,0,0.02
226,256.2,1.39,0,0,0.02
227,266.1,1.39,0,0,0.02
228,257.3,1.39,0,0,0.02
229,262.5,1.39,0,0,0.02
230,259.3,1.39,0,0,0.02
231,252.4,1.39,0,0,0.02
232,251.1,1.39,0,0,0.02
233,264.0,1.39,0,0,0.02
234,258.4,1.39,0,0,0.02
235,267.5,1.39,0,0,0.02
236,254.3,1.39,0,0,0.02
237,282.2,1.39,0,0,0.02
238,274.7,1.39,0,0,0.02
239,296.8,1.39,0,0,0.02
240,261.0,1.39,0,0,0.02
241,265.5,1.39,0,0,0.02
242,261.1,1.39,0,0,0.02
243,254.9,1.39,0,0,0.02
244,255.5,1.39,0,0,0.02
245,275.6,1.39,0,0,0.02
246,287.6,1.39,0,0,0.02
247,268.5,1.39,0,0,0.02
248,274.0,1.39,0,0,0.02
249,273.0,1.39,0,0,0.02
250,265.3,1.39,0,0,0.02
251,269.6,1.39,0,0,0.02
252,272.4,1.39,0,0,0.02
253,269.2,1.39,0,0,0.02
254,290.2,1.39,0,0,0.02
255,297.9,1.39,0,0,0.02
256,269.2,1.39,0,0,0.02
257,300.0,1.39,0,0,0.02
258,260.1,1.39,0,0,0.02
259,254.9,1.39,0,0,0.02
260,253.4,1.39,0,0,0.02
261,271.3,1.39,0,0,0.02
262,270.4,1.39,0,0,0.02
263,281.1,1.39,0,0,0.02
264,262.1,1.39,0,0,0.02
265,253.6,1.39,0,0,0.02
266,241.5,1.39,0,0,0.02
267,291.0,1.39,0,0,0.02
268,261.9,1.39,0,0,0.02
269,270.7,1.39,0,0,0.02
270,280.5,1.39,0,0,0.02
271,253.1,1.39,0,0,0.02
272,278.4,1.39,0,0,0.02
273,261.9,1.39,0,0,0.02
274,263.4,1.39,0,0,0.02
275,279.7,1.39,0,0,0.02
276,281.4,1.39,0,0,0.02
277,268.5,1.39,0,0,0.02
278,269.7,1.39,0,0,0.02
279,274.0,1.39,0,0,0.02
280,282.2,1.39,0,0,0.02
281,269.0,1.39,0,0,0.02
282,273.1,1.39,0,0,0.02
283,270.8,1.39,0,0,0.02
284,273.4,1.39,0,0,0.02
285,272.0,1.39,0,0,0.02
286,281.3,1.39,0,0,0.02
287,274.4,1.39,0,0,0.02
288,267.4,1.39,0,0,0.02
289,272.8,1.39,0,0,0.02
290,273.4,1.39,0,0,0.02
291,253.7,1.39,0,0,0.02
292,250.6,1.39,0,0,0.02
293,271.8,1.39,0,0,0.02
294,264.2,1.39,0,0,0.02
295,266.9,1.39,0,0,0.02
296,272.6,1.39,0,0,0.02
297,281.0,1.39,0,0,0.02
298,254.6,1.39,0,0,0.02
299,274.1,1.39,0,0,0.02
300,273.9,1.39,0,0,0.02
301,270.7,1.40,0,0,0.02
302,266.1,1.40,0,0,0.02
303,264.1,1.40,0,0,0.02
304,253.5,1.40,0,0,0.02
305,278.8,1.40,0,0,0.02
306,269.9,1.40,0,0,0.02
307,269.0,1.40,0,0,0.02
308,294.5,1.40,0,0,0.02
309,251.3,1.40,0,0,0.02
310,267.6,1.40,0,0,0.02
311,264.0,1.40,0,0,0.02
312,254.8,1.40,0,0,0.02
313,276.0,1.40,0,0,0.02
314,259.8,1.40,0,0,0.02
315,258.5,1.40,0,0,0.02
316,263.4,1.40,0,0,0.02
317,265.7,1.40,0,0,0.02
318,256.7,1.40,0,0,0.02
319,253.5,1.40,0,0,0.02
320,256.9,1.40,0,0,0.02
321,271.9,1.40,0,0,0.02
322,253.1,1.40,0,0,0.02
323,244.4,1.40,0,0,0.02
324,288.4,1.40,0,0,0.02
325,253.3,1.40,0,0,0.02
326,265.1,1.40,0,0,0.02
327,259.1,1.40,0,0,0.02
328,263.9,1.40,0,0,0.02
329,272.7,1.40,0,0,0.02
330,281.9,1.40,0,0,0.02
331,285.9,1.40,0,0,0.02
