round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,645.0,1.34,0,0,0.02
1,8.1,1.38,0,0,0.02
2,214.6,1.39,0,0,0.02
3,208.4,1.39,0,0,0.02
4,221.4,1.39,0,0,0.02
5,201.2,1.39,0,0,0.02
6,225.0,1.39,0,0,0.02
7,215.1,1.39,0,0,0.02
8,221.4,1.39,0,0,0.02
9,218.6,1.39,0,0,0.02
10,215.5,1.39,0,0,0.02
11,235.6,1.39,0,0,0.02
12,222.3,1.39,0,0,0.02
13,224.5,1.40,0,0,0.02
14,230.0,1.40,0,0,0.02
15,223.6,1.40,0,0,0.02
16,224.5,1.40,0,0,0.02
17,225.0,1.40,0,0,0.02
18,220.4,1.40,0,0,0.02
19,203.7,1.40,0,0,0.02
20,219.3,1.40,0,0,0.02
21,225.3,1.40,0,0,0.02
22,225.4,1.40,0,0,0.02
23,224.2,1.40,0,0,0.02
24,218.1,1.40,0,0,0.02
25,225.7,1.40,0,0,0.02
26,213.2,1.40,0,0,0.02
27,227.6,1.40,0,0,0.02
28,218.1,1.40,0,0,0.02
29,211.5,1.40,0,0,0.02
30,222.9,1.40,0,0,0.02
31,210.7,1.40,0,0,0.02
32,252.9,1.40,0,0,0.02
33,221.7,1.40,0,0,0.02
34,236.7,1.40,0,0,0.02
35,231.1,1.40,0,0,0.02
36,242.8,1.40,0,0,0.02
37,264.3,1.40,0,0,0.02
38,214.1,1.40,0,0,0.02
39,263.9,1.40,0,0,0.02
40,272.0,1.40,0,0,0.02
41,261.5,1.40,0,0,0.02
42,284.3,1.40,0,0,0.02
43,302.4,1.40,0,0,0.02
44,266.3,1.40,0,0,0.02
45,278.5,1.40,0,0,0.02
46,270.6,1.40,0,0,0.02
47,284.6,1.40,0,0,0.02
48,276.2,1.40,0,0,0.02
49,291.9,1.40,0,0,0.02
50,294.3,1.40,0,0,0.02
51,263.7,1.40,0,0,0.02
52,266.0,1.40,0,0,0.02
53,273.4,1.40,0,0,0.02
54,299.9,1.40,0,0,0.02
55,275.8,1.40,0,0,0.02
56,308.9,1.40,0,0,0.02
57,286.7,1.40,0,0,0.02
58,272.1,1.40,0,0,0.02
59,280.2,1.40,0,0,0.02
60,231.8,1.40,0,0,0.02
61,221.5,1.40,0,0,0.02
62,238.8,1.40,0,0,0.02
63,200.1,1.40,0,0,0.02
64,217.2,1.40,0,0,0.02
65,222.2,1.40,0,0,0.02
66,230.1,1.40,0,0,0.02
67,235.2,1.40,0,0,0.02
68,224.3,1.40,0,0,0.02
69,203.9,1.40,0,0,0.02
70,232.0,1.40,0,0,0.02
71,218.3,1.40,0,0,0.02
72,213.8,1.40,0,0,0.02
73,213.8,1.40,0,0,0.02
74,214.1,1.40,0,0,0.02
75,239.0,1.40,0,0,0.02
76,265.7,1.40,0,0,0.02
77,273.6,1.40,0,0,0.02
78,271.4,1.40,0,0,0.02
79,252.5,1.40,0,0,0.02
80,255.0,1.40,0,0,0.02
81,274.6,1.40,0,0,0.02
82,265.5,1.40,0,0,0.02
83,309.7,1.40,0,0,0.02
84,262.1,1.40,0,0,0.02
85,252.6,1.40,0,0,0.02
86,288.2,1.40,0,0,0.02
87,296.7,1.40,0,0,0.02
88,275.1,1.40,0,0,0.02
89,271.6,1.40,0,0,0.02
90,280.2,1.40,0,0,0.02
91,283.4,1.40,0,0,0.02
92,288.1,1.40,0,0,0.02
93,278.5,1.40,0,0,0.02
94,270.8,1.40,0,0,0.02
95,266.4,1.40,0,0,0.02
96,289.1,1.40,0,0,0.02
97,251.3,1.40,0,0,0.02
98,292.0,1.40,0,0,0.02
99,304.4,1.40,0,0,0.02
100,291.8,1.40,0,0,0.02
101,278.0,1.40,0,0,0.02
102,245.4,1.40,0,0,0.02
103,241.4,1.40,0,0,0.02
104,243.8,1.40,0,0,0.02
105,230.6,1.40,0,0,0.02
106,216.0,1.40,0,0,0.02
107,212.5,1.40,0,0,0.02
108,212.0,1.40,0,0,0.02
109,220.7,1.40,0,0,0.02
110,205.9,1.40,0,0,0.02
111,229.4,1.40,0,0,0.02
112,223.1,1.40,0,0,0.02
113,210.7,1.40,0,0,0.02
114,225.0,1.40,0,0,0.02
115,247.3,1.40,0,0,0.02
116,268.8,1.40,0,0,0.02
117,283.9,1.40,0,0,0.02
118,277.9,1.40,0,0,0.02
119,288.4,1.40,0,0,0.02
120,290.4,1.40,0,0,0.02
121,298.6,1.40,0,0,0.02
122,284.3,1.40,0,0,0.02
123,287.9,1.40,0,0,0.02
124,265.0,1.40,0,0,0.02
125,243.9,1.40,0,0,0.02
126,229.0,1.40,0,0,0.02
127,238.8,1.40,0,0,0.02
128,232.1,1.40,0,0,0.02
129,221.0,1.40,0,0,0.02
130,213.8,1.40,0,0,0.02
131,219.0,1.40,0,0,0.02
132,254.4,1.40,0,0,0.02
133,283.3,1.40,0,0,0.02
134,267.1,1.40,0,0,0.02
135,288.7,1.40,0,0,0.02
136,277.3,1.40,0,0,0.02
137,285.0,1.40,0,0,0.02
138,278.8,1.40,0,0,0.02
139,262.3,1.40,0,0,0.02
140,284.7,1.40,0,0,0.02
141,283.5,1.40,0,0,0.02
142,288.2,1.40,0,0,0.02
143,267.5,1.40,0,0,0.02
144,258.9,1.40,0,0,0.02
145,260.9,1.40,0,0,0.02
146,235.6,1.40,0,0,0.02
147,226.0,1.40,0,0,0.02
148,225.6,1.40,0,0,0.02
149,214.0,1.40,0,0,0.02
150,227.0,1.40,0,0,0.02
151,219.0,1.40,0,0,0.02
152,211.7,1.40,0,0,0.02
153,225.3,1.40,0,0,0.02
154,206.0,1.40,0,0,0.02
155,228.1,1.40,0,0,0.02
156,217.7,1.40,0,0,0.02
157,284.7,1.40,0,0,0.02
158,254.2,1.40,0,0,0.02
159,248.5,1.40,0,0,0.02
160,268.4,1.40,0,0,0.02
161,300.2,1.40,0,0,0.02
162,302.1,1.40,0,0,0.02
163,291.5,1.40,0,0,0.02
164,281.8,1.40,0,0,0.02
165,260.2,1.40,0,0,0.02
166,228.2,1.40,0,0,0.02
167,221.8,1.40,0,0,0.02
