round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,123.7,1.35,0,0,0.02
1,7.6,1.39,0,0,0.02
2,226.5,1.39,0,0,0.02
3,212.1,1.40,0,0,0.02
4,236.4,1.40,0,0,0.02
5,262.6,1.40,0,0,0.02
6,245.2,1.40,0,0,0.02
7,248.3,1.40,0,0,0.02
8,268.0,1.40,0,0,0.02
9,282.4,1.40,0,0,0.02
10,238.1,1.40,0,0,0.02
11,288.1,1.40,0,0,0.02
12,279.1,1.40,0,0,0.02
13,261.6,1.40,0,0,0.02
14,259.8,1.40,0,0,0.02
15,263.6,1.40,0,0,0.02
16,256.0,1.40,0,0,0.02
17,264.9,1.40,0,0,0.02
18,267.2,1.40,0,0,0.02
19,259.1,1.40,0,0,0.02
20,270.0,1.40,0,0,0.02
21,258.9,1.40,0,0,0.02
22,272.5,1.40,0,0,0.02
23,261.4,1.40,0,0,0.02
24,267.1,1.40,0,0,0.02
25,247.2,1.40,0,0,0.02
26,262.6,1.40,0,0,0.02
27,262.1,1.40,0,0,0.02
28,253.2,1.40,0,0,0.02
29,252.5,1.40,0,0,0.02
30,253.7,1.40,0,0,0.02
31,259.5,1.40,0,0,0.02
32,256.1,1.40,0,0,0.02
33,261.2,1.40,0,0,0.02
34,258.1,1.40,0,0,0.02
35,259.5,1.40,0,0,0.02
36,270.4,1.40,0,0,0.02
37,277.6,1.40,0,0,0.02
38,243.2,1.40,0,0,0.02
39,258.5,1.40,0,0,0.02
40,260.4,1.40,0,0,0.02
41,249.4,1.40,0,0,0.02
42,274.4,1.40,0,0,0.02
43,260.8,1.40,0,0,0.02
44,262.6,1.40,0,0,0.02
45,266.6,1.40,0,0,0.02
46,244.2,1.40,0,0,0.02
47,254.1,1.40,0,0,0.02
48,258.4,1.40,0,0,0.02
49,248.0,1.40,0,0,0.02
50,246.0,1.40,0,0,0.02
51,258.1,1.40,0,0,0.02
52,248.6,1.40,0,0,0.02
53,261.9,1.40,0,0,0.02
54,256.6,1.40,0,0,0.02
55,264.2,1.40,0,0,0.02
56,293.9,1.40,0,0,0.02
57,254.3,1.40,0,0,0.02
58,287.7,1.40,0,0,0.02
59,259.1,1.40,0,0,0.02
60,252.7,1.40,0,0,0.02
61,248.7,1.40,0,0,0.02
62,252.4,1.40,0,0,0.02
63,278.5,1.40,0,0,0.02
64,262.3,1.40,0,0,0.02
65,249.9,1.40,0,0,0.02
66,257.7,1.40,0,0,0.02
67,252.3,1.40,0,0,0.02
68,267.9,1.40,0,0,0.02
69,265.0,1.40,0,0,0.02
70,255.1,1.40,0,0,0.02
71,261.1,1.40,0,0,0.02
72,258.8,1.40,0,0,0.02
73,263.3,1.40,0,0,0.02
74,279.5,1.40,0,0,0.02
75,255.5,1.40,0,0,0.02
76,255.4,1.40,0,0,0.02
77,266.9,1.40,0,0,0.02
78,262.6,1.40,0,0,0.02
79,274.5,1.40,0,0,0.02
80,272.6,1.40,0,0,0.02
81,269.4,1.40,0,0,0.02
82,265.3,1.40,0,0,0.02
83,288.6,1.40,0,0,0.02
84,250.1,1.40,0,0,0.02
85,265.6,1.40,0,0,0.02
86,263.0,1.40,0,0,0.02
87,241.1,1.40,0,0,0.02
88,267.2,1.40,0,0,0.02
89,256.1,1.40,0,0,0.02
90,279.2,1.40,0,0,0.02
91,252.3,1.40,0,0,0.02
92,251.4,1.40,0,0,0.02
93,253.6,1.40,0,0,0.02
94,245.3,1.40,0,0,0.02
95,264.5,1.40,0,0,0.02
96,270.8,1.40,0,0,0.02
