round,loss,accuracy,precision,recall,f1,global_accuracy,weighted_accuracy
0,2.302667611761938,0.1012,0.025020408163265305,0.1012,0.023185185185185187,0.0,0.0
1,2.2276514632792415,0.1802,0.1505430979025205,0.1802,0.12127256212932122,0.1846630673865227,0.1846630673865227
2,2.113444046129154,0.2288,0.2496862722776482,0.22879999999999998,0.18895532777446006,0.22355528894221155,0.22355528894221155
3,2.1169883178759226,0.2491,0.31111383686729766,0.24910000000000004,0.21814404130753018,0.23565286942611477,0.23565286942611477
4,2.1123994483223445,0.2843,0.33573893438194735,0.28430000000000005,0.26060521587663354,0.27524495100979807,0.27524495100979807
5,1.983106635793855,0.3313,0.35407671877461294,0.33130000000000004,0.31152390770540156,0.3184363127374525,0.3184363127374525
6,1.8461616869214215,0.368,0.3773140363655001,0.368,0.3547904076995948,0.35042991401719653,0.3504299140171966
7,1.7728555640087853,0.3868,0.39846276662311353,0.38680000000000003,0.37392670539192696,0.3745250949810038,0.3745250949810038
8,1.7489001328432108,0.3881,0.4142712856591174,0.3881,0.3729881903908083,0.3844231153769246,0.38442311537692464
9,1.7019287709948383,0.3973,0.428519615745724,0.39729999999999993,0.3805389680829082,0.3929214157168566,0.3929214157168566
10,1.6190999097461942,0.4196,0.44606954511860114,0.4196,0.40209919558055046,0.41201759648070385,0.41201759648070385
11,1.538464882705785,0.4427,0.4560644018703714,0.4427,0.4279679095440314,0.43381323735252947,0.43381323735252947
12,1.4835049668444862,0.4573,0.46043950316181953,0.45730000000000004,0.44740818876723065,0.45340931813637275,0.45340931813637275
13,1.4531184419800964,0.4732,0.4713146062644181,0.47319999999999995,0.46555033909468835,0.4667066586682664,0.4667066586682663
14,1.4326909237270113,0.4811,0.478216349977732,0.48109999999999997,0.47488840868794246,0.4710057988402319,0.47100579884023197
15,1.4142618028423455,0.4876,0.48287273401570713,0.48760000000000003,0.48123609003790835,0.48060387922415515,0.48060387922415515
16,1.393107123012784,0.4946,0.48653845736330953,0.4946,0.48661732514881983,0.490501899620076,0.490501899620076
17,1.3741401524483403,0.5035,0.49517647841113177,0.5035000000000001,0.4934342072674484,0.497000599880024,0.497000599880024
18,1.3603479560417464,0.5102,0.5031892571080808,0.5102,0.49767096420027307,0.505998800239952,0.505998800239952
19,1.3433523419537121,0.5174,0.51157437706209,0.5174,0.5042358898402495,0.5132973405318936,0.5132973405318936
20,1.3244262511217142,0.5233,0.5160587662730867,0.5233000000000001,0.5112197767729832,0.5231953609278145,0.5231953609278145
21,1.3019470761093912,0.5304,0.5215661733595314,0.5304,0.5207449604185398,0.532993401319736,0.532993401319736
22,1.2831383309786832,0.5379,0.5308240197411507,0.5379,0.532135262522528,0.5409918016396721,0.5409918016396721
23,1.273944282833534,0.5419,0.5399450998653813,0.5418999999999999,0.5391740875653197,0.5458908218356329,0.5458908218356329
24,1.2654881416996824,0.5479,0.5478612980899283,0.5479,0.546817644997089,0.5496900619876025,0.5496900619876025
25,1.2553036922140965,0.5494,0.5494452797639259,0.5494,0.5486899283387606,0.5533893221355729,0.5533893221355729
26,1.248173778570151,0.5539,0.554653681878943,0.5539,0.5531975377445096,0.5573885222955409,0.5573885222955409
27,1.2407023831258845,0.5601,0.5607744514277604,0.5601,0.5586902115781187,0.5616876624675066,0.5616876624675065
28,1.23509175867974,0.5632,0.5650822811183159,0.5631999999999999,0.5623011669668949,0.5625874825034992,0.5625874825034993
29,1.226290316521367,0.5655,0.5663406649133054,0.5655,0.5646281357829757,0.5632873425314937,0.5632873425314937
30,1.2144432844994943,0.5723,0.5725253513132758,0.5723,0.571999565084134,0.5675864827034593,0.5675864827034593
31,1.2079730660100527,0.5769,0.5752328645695666,0.5769,0.575423838109284,0.5708858228354329,0.5708858228354329
32,1.2062505551531344,0.5756,0.5725137139917968,0.5756,0.5725446712534271,0.5714857028594281,0.5714857028594281
33,1.2067433158053626,0.5741,0.5707656680501287,0.5740999999999999,0.5704026142351186,0.5747850429914018,0.5747850429914018
34,1.2044972528385212,0.5754,0.5726152538297467,0.5754,0.571718483751247,0.5770845830833833,0.5770845830833833
35,1.1969296449347386,0.5804,0.5782187066158179,0.5803999999999999,0.5781166315674582,0.5792841431713657,0.5792841431713657
36,1.1913166091411929,0.5845,0.5842875056019122,0.5845,0.5831673998144927,0.5783843231353729,0.5783843231353729
37,1.1883050972902323,0.5864,0.5874092624064805,0.5864,0.5857358415044714,0.5829834033193361,0.5829834033193362
38,1.1882148060617568,0.5867,0.5879746814054101,0.5867,0.5857375430169258,0.585382923415317,0.585382923415317
39,1.190519686741165,0.5896,0.5901511485487415,0.5896,0.5880910127292448,0.5861827634473106,0.5861827634473106
40,1.190739808957788,0.5896,0.5895125019949571,0.5896,0.588011536495315,0.585382923415317,0.585382923415317
41,1.189725684968731,0.5888,0.5873072978130198,0.5888,0.5868230115271348,0.5864827034593082,0.5864827034593081
42,1.1877809219722506,0.5917,0.5892486791262199,0.5917000000000001,0.5895839937957092,0.5869826034793041,0.5869826034793041
43,1.1857980180390273,0.5925,0.5901812415886878,0.5925,0.5907068366668995,0.5860827834433113,0.5860827834433113
44,1.1907771305192876,0.5919,0.5908664434982992,0.5919000000000001,0.5910307992553893,0.586882623475305,0.586882623475305
45,1.199722062937821,0.5921,0.5932146064479168,0.5921000000000001,0.5920859393904652,0.5855828834233153,0.5855828834233153
46,1.2060201318958137,0.5891,0.5910220585425032,0.5891,0.5892580207152236,0.585382923415317,0.585382923415317
47,1.2080928600287135,0.5895,0.5913160551442623,0.5894999999999999,0.5895138436689692,0.5867826434713057,0.5867826434713057
48,1.2090884809252582,0.5932,0.5925461841516524,0.5932,0.5921810543578462,0.5852829434113177,0.5852829434113177
49,1.211409503146063,0.5958,0.593677426092111,0.5958,0.593992432302535,0.5875824835032993,0.5875824835032993
50,1.2170495639873455,0.5968,0.5939168085984596,0.5968,0.5945504535345041,0.5905818836232753,0.5905818836232753
51,1.2235683172563963,0.5967,0.5928311223387945,0.5966999999999999,0.5936674603937767,0.5912817436512697,0.5912817436512697
52,1.2305428272561183,0.5967,0.5925226146735693,0.5967,0.5936098033351653,0.589882023595281,0.589882023595281
53,1.2385234236717224,0.5937,0.5896652259464531,0.5936999999999999,0.5909568330854088,0.5882823435312937,0.5882823435312937
54,1.24615134921255,0.5921,0.5881441488984754,0.5921000000000001,0.5892420630549016,0.5877824435112977,0.5877824435112977
55,1.2566877060298678,0.5891,0.5865685393560024,0.5891,0.5868601972420033,0.5867826434713058,0.5867826434713057
56,1.2689363820643365,0.5873,0.5868231848681693,0.5873,0.5859324296468913,0.5870825834833033,0.5870825834833033
57,1.2853382101541833,0.5851,0.5856605257845103,0.5851,0.5843593800421225,0.586882623475305,0.586882623475305
58,1.3075174334682995,0.5842,0.5844127061894632,0.5841999999999998,0.5832937978359795,0.5861827634473106,0.5861827634473106
59,1.3336177883268912,0.5841,0.5830836016494512,0.5841000000000001,0.5829314859265345,0.5871825634873026,0.5871825634873026
60,1.3566130580781381,0.582,0.5804312815678254,0.5820000000000001,0.5804533228982741,0.5887822435512897,0.5887822435512897
61,1.3724204724348044,0.5842,0.5827116221551619,0.5841999999999999,0.5827358998953025,0.5854829034193162,0.5854829034193162
62,1.3758350897438918,0.5834,0.5833530664586138,0.5833999999999999,0.5827647446946441,0.5855828834233153,0.5855828834233153
63,1.3810718414149707,0.5799,0.5813505202739073,0.5799,0.579932598475193,0.5869826034793041,0.5869826034793041
64,1.3854690986343576,0.5798,0.5811661023341791,0.5798000000000001,0.5798013201920327,0.5859828034393121,0.5859828034393121
65,1.3944744490369965,0.5804,0.5810175358374841,0.5803999999999999,0.5801019700511892,0.5827834433113378,0.5827834433113377
66,1.4056631553022167,0.5816,0.5797939758508869,0.5816000000000001,0.5801995353772251,0.5829834033193361,0.5829834033193362
67,1.418425656572173,0.5804,0.5774078170081618,0.5804,0.5784689086762822,0.5843831233753249,0.5843831233753249
68,1.4332337319096433,0.5775,0.5737908006921277,0.5774999999999999,0.5749061696235243,0.5818836232753449,0.5818836232753449
69,1.4526285249975663,0.5792,0.5745491691186235,0.5792,0.5757641935791695,0.5829834033193361,0.5829834033193362
70,1.4693518650682666,0.5782,0.5737455895512811,0.5782,0.5748163978460173,0.5861827634473106,0.5861827634473106
71,1.4816528060768224,0.5763,0.5727397541884118,0.5763,0.5736532450426166,0.5847830433913218,0.5847830433913217
72,1.4957838435716266,0.5727,0.5699247222410196,0.5727,0.5708920601891283,0.5823835232953409,0.5823835232953409
73,1.5103247542924518,0.5712,0.5695429036017702,0.5712,0.5700496926394961,0.5767846430713858,0.5767846430713858
74,1.530372553233859,0.5702,0.5696230321519529,0.5702,0.5693240974245526,0.5747850429914018,0.5747850429914018
75,1.5516425084464158,0.57,0.5697329335244093,0.5700000000000001,0.5690496876808663,0.5753849230153969,0.5753849230153969
76,1.5718232906317409,0.5694,0.5693434972161665,0.5694,0.5686321639394171,0.5771845630873825,0.5771845630873825
77,1.593449432638627,0.5704,0.5708966144924409,0.5704,0.5701002906887853,0.5772845430913818,0.5772845430913818
78,1.6076965950712372,0.571,0.5716054929591623,0.5710000000000001,0.5710156005426363,0.5787842431513698,0.5787842431513697
79,1.6281371780588656,0.5706,0.5705924575697654,0.5706,0.5701215935257177,0.577984403119376,0.5779844031193762
80,1.6445562326455418,0.5707,0.5696973997098428,0.5707,0.5692385145067036,0.5803839232153569,0.5803839232153569
81,1.6584755363343637,0.5715,0.56847396507599,0.5715,0.568877077066237,0.5766846630673865,0.5766846630673865
82,1.676847833621351,0.5748,0.5706481475742121,0.5748,0.571589283959516,0.5758848230353929,0.5758848230353929
83,1.6909414756147167,0.5741,0.5710044396711668,0.5741,0.571967985624019,0.5751849630073985,0.5751849630073985
84,1.701580073260054,0.5722,0.5709580773499495,0.5722,0.5713428183188086,0.5736852629474105,0.5736852629474105
85,1.7065403491635867,0.5695,0.5714663272007764,0.5694999999999999,0.5701764858672783,0.5702859428114377,0.5702859428114377
86,1.710999482794653,0.5679,0.5714503151774414,0.5679000000000001,0.5692639609942328,0.5669866026794641,0.5669866026794641
87,1.7162890811509723,0.5643,0.5684797292752728,0.5643,0.5658889134009433,0.5647870425914817,0.5647870425914817
88,1.7193012780781034,0.5659,0.5682906377718591,0.5659,0.5666895495644771,0.5618876224755048,0.5618876224755049
89,1.7291048599194876,0.5635,0.5636531416833529,0.5635,0.5629265448141982,0.5655868826234753,0.5655868826234753
90,1.7612619279306145,0.5636,0.5622060459457716,0.5636,0.5620021221962241,0.5654869026194761,0.5654869026194761
91,1.8006468060650402,0.5652,0.5623461701693596,0.5652000000000001,0.5625614675307429,0.5659868026394721,0.5659868026394721
92,1.8350423800794384,0.5638,0.5607173217388995,0.5638000000000001,0.5612319096607614,0.5639872025594881,0.5639872025594881
93,1.8583677660060833,0.5647,0.562115960833004,0.5647,0.5627703324625828,0.5645870825834833,0.5645870825834833
