round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,114.9,1.34,0,0,0.02
1,6.8,1.38,0,0,0.02
2,221.6,1.38,0,0,0.02
3,242.4,1.39,0,0,0.02
4,233.3,1.39,0,0,0.02
5,251.8,1.39,0,0,0.02
6,239.3,1.39,0,0,0.02
7,264.7,1.39,0,0,0.02
8,285.5,1.39,0,0,0.02
9,262.1,1.39,0,0,0.02
10,242.8,1.39,0,0,0.02
11,241.2,1.39,0,0,0.02
12,258.0,1.39,0,0,0.02
13,267.3,1.39,0,0,0.02
14,246.2,1.39,0,0,0.02
15,286.3,1.39,0,0,0.02
16,274.0,1.39,0,0,0.02
17,254.6,1.39,0,0,0.02
18,275.4,1.39,0,0,0.02
19,278.4,1.39,0,0,0.02
20,242.3,1.39,0,0,0.02
21,260.6,1.39,0,0,0.02
22,257.6,1.39,0,0,0.02
23,284.7,1.39,0,0,0.02
24,263.2,1.39,0,0,0.02
25,263.7,1.39,0,0,0.02
26,261.9,1.39,0,0,0.02
27,242.1,1.39,0,0,0.02
28,272.0,1.39,0,0,0.02
29,248.3,1.39,0,0,0.02
30,258.5,1.39,0,0,0.02
31,271.7,1.39,0,0,0.02
32,288.6,1.39,0,0,0.02
33,285.1,1.39,0,0,0.02
34,271.2,1.39,0,0,0.02
35,281.9,1.39,0,0,0.02
36,246.4,1.39,0,0,0.02
37,279.3,1.39,0,0,0.02
38,279.4,1.39,0,0,0.02
39,250.7,1.39,0,0,0.02
40,264.1,1.39,0,0,0.02
41,249.5,1.40,0,0,0.02
42,289.6,1.40,0,0,0.02
43,276.3,1.40,0,0,0.02
44,271.8,1.40,0,0,0.02
45,278.4,1.40,0,0,0.02
46,254.5,1.40,0,0,0.02
47,250.1,1.40,0,0,0.02
48,255.8,1.40,0,0,0.02
49,258.9,1.40,0,0,0.02
50,285.2,1.40,0,0,0.02
51,272.3,1.40,0,0,0.02
52,277.0,1.40,0,0,0.02
53,260.2,1.40,0,0,0.02
54,271.9,1.40,0,0,0.02
55,257.4,1.40,0,0,0.02
56,287.6,1.40,0,0,0.02
57,273.1,1.40,0,0,0.02
58,246.6,1.40,0,0,0.02
59,260.2,1.40,0,0,0.02
60,247.1,1.40,0,0,0.02
61,265.3,1.40,0,0,0.02
62,276.3,1.40,0,0,0.02
63,276.7,1.40,0,0,0.02
64,289.1,1.40,0,0,0.02
65,277.5,1.40,0,0,0.02
66,281.2,1.40,0,0,0.02
67,264.4,1.40,0,0,0.02
68,275.3,1.40,0,0,0.02
69,289.0,1.40,0,0,0.02
70,259.4,1.40,0,0,0.02
71,252.0,1.40,0,0,0.02
72,253.4,1.40,0,0,0.02
73,249.4,1.40,0,0,0.02
74,250.5,1.40,0,0,0.02
75,278.4,1.40,0,0,0.02
76,286.9,1.40,0,0,0.02
77,285.1,1.40,0,0,0.02
78,272.9,1.40,0,0,0.02
79,276.9,1.40,0,0,0.02
80,261.0,1.40,0,0,0.02
81,282.5,1.40,0,0,0.02
82,268.5,1.40,0,0,0.02
83,252.3,1.40,0,0,0.02
84,277.8,1.40,0,0,0.02
85,241.8,1.40,0,0,0.02
86,267.7,1.40,0,0,0.02
87,276.8,1.40,0,0,0.02
88,281.3,1.40,0,0,0.02
89,265.3,1.40,0,0,0.02
90,251.5,1.40,0,0,0.02
91,267.9,1.40,0,0,0.02
92,243.7,1.40,0,0,0.02
93,267.4,1.40,0,0,0.02
94,273.9,1.40,0,0,0.02
95,255.0,1.40,0,0,0.02
96,262.2,1.40,0,0,0.02
97,260.0,1.40,0,0,0.02
98,267.7,1.40,0,0,0.02
99,263.8,1.40,0,0,0.02
100,278.5,1.40,0,0,0.02
101,255.5,1.40,0,0,0.02
102,257.1,1.40,0,0,0.02
103,266.9,1.40,0,0,0.02
104,267.3,1.40,0,0,0.02
105,241.0,1.40,0,0,0.02
106,264.6,1.40,0,0,0.02
107,277.9,1.40,0,0,0.02
108,276.9,1.40,0,0,0.02
109,265.0,1.40,0,0,0.02
110,273.1,1.40,0,0,0.02
111,256.2,1.40,0,0,0.02
112,293.0,1.40,0,0,0.02
113,283.9,1.40,0,0,0.02
114,292.3,1.40,0,0,0.02
115,255.6,1.40,0,0,0.02
116,281.1,1.40,0,0,0.02
117,264.1,1.40,0,0,0.02
118,285.6,1.40,0,0,0.02
119,276.1,1.40,0,0,0.02
120,267.9,1.40,0,0,0.02
121,245.8,1.40,0,0,0.02
122,274.0,1.40,0,0,0.02
123,276.6,1.40,0,0,0.02
124,271.5,1.40,0,0,0.02
125,283.1,1.40,0,0,0.02
126,280.9,1.40,0,0,0.02
127,268.3,1.40,0,0,0.02
128,259.6,1.40,0,0,0.02
