round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,107.3,1.35,0,0,0.02
1,7.9,1.38,0,0,0.02
2,125.1,1.39,0,0,0.02
3,112.8,1.39,0,0,0.02
4,135.6,1.39,0,0,0.02
5,136.6,1.39,0,0,0.02
6,129.6,1.39,0,0,0.02
7,131.5,1.40,0,0,0.02
8,146.8,1.40,0,0,0.02
9,146.9,1.40,0,0,0.02
10,148.2,1.40,0,0,0.02
11,136.9,1.40,0,0,0.02
12,137.4,1.40,0,0,0.02
13,135.6,1.40,0,0,0.02
14,137.9,1.40,0,0,0.02
15,140.4,1.40,0,0,0.02
16,143.5,1.40,0,0,0.02
17,137.6,1.40,0,0,0.02
18,134.9,1.40,0,0,0.02
19,153.7,1.40,0,0,0.02
20,142.4,1.40,0,0,0.02
21,142.8,1.40,0,0,0.02
22,135.1,1.40,0,0,0.02
23,149.1,1.40,0,0,0.02
24,142.1,1.40,0,0,0.02
25,139.0,1.40,0,0,0.02
26,137.8,1.40,0,0,0.02
27,143.1,1.40,0,0,0.02
28,148.2,1.40,0,0,0.02
29,140.6,1.40,0,0,0.02
30,144.1,1.40,0,0,0.02
31,145.1,1.40,0,0,0.02
32,149.7,1.40,0,0,0.02
33,138.6,1.40,0,0,0.02
34,137.1,1.40,0,0,0.02
35,146.2,1.40,0,0,0.02
36,154.0,1.40,0,0,0.02
37,140.9,1.40,0,0,0.02
38,149.1,1.40,0,0,0.02
39,146.5,1.40,0,0,0.02
40,149.7,1.40,0,0,0.02
41,140.0,1.40,0,0,0.02
42,133.8,1.40,0,0,0.02
43,135.1,1.40,0,0,0.02
44,147.8,1.40,0,0,0.02
45,135.7,1.40,0,0,0.02
46,133.9,1.40,0,0,0.02
47,146.5,1.40,0,0,0.02
48,127.0,1.40,0,0,0.02
49,136.7,1.40,0,0,0.02
50,139.6,1.40,0,0,0.02
51,138.6,1.40,0,0,0.02
52,130.8,1.40,0,0,0.02
53,140.0,1.40,0,0,0.02
54,136.7,1.40,0,0,0.02
55,140.3,1.40,0,0,0.02
56,133.5,1.40,0,0,0.02
57,137.0,1.40,0,0,0.02
58,141.8,1.40,0,0,0.02
59,134.6,1.40,0,0,0.02
60,136.8,1.40,0,0,0.02
61,138.9,1.40,0,0,0.02
62,142.1,1.40,0,0,0.02
63,148.3,1.40,0,0,0.02
64,134.7,1.40,0,0,0.02
65,140.6,1.40,0,0,0.02
66,139.7,1.40,0,0,0.02
67,144.8,1.40,0,0,0.02
68,141.2,1.40,0,0,0.02
69,136.2,1.40,0,0,0.02
70,146.5,1.40,0,0,0.02
71,143.4,1.40,0,0,0.02
72,149.8,1.40,0,0,0.02
73,142.7,1.40,0,0,0.02
74,137.6,1.40,0,0,0.02
75,134.9,1.40,0,0,0.02
76,144.9,1.40,0,0,0.02
77,142.0,1.40,0,0,0.02
78,139.3,1.40,0,0,0.02
79,134.8,1.40,0,0,0.02
80,141.9,1.40,0,0,0.02
81,138.0,1.40,0,0,0.02
82,133.4,1.40,0,0,0.02
83,142.9,1.40,0,0,0.02
84,142.0,1.40,0,0,0.02
85,140.6,1.40,0,0,0.02
86,139.4,1.40,0,0,0.02
87,151.4,1.40,0,0,0.02
88,144.3,1.40,0,0,0.02
89,144.3,1.40,0,0,0.02
90,141.4,1.40,0,0,0.02
91,132.6,1.40,0,0,0.02
92,142.9,1.40,0,0,0.02
93,133.8,1.40,0,0,0.02
94,132.9,1.40,0,0,0.02
95,148.1,1.40,0,0,0.02
96,138.9,1.40,0,0,0.02
97,127.8,1.40,0,0,0.02
98,137.7,1.40,0,0,0.02
99,142.4,1.40,0,0,0.02
100,139.0,1.40,0,0,0.02
101,138.4,1.40,0,0,0.02
102,140.3,1.40,0,0,0.02
103,134.3,1.40,0,0,0.02
104,138.5,1.40,0,0,0.02
105,136.8,1.40,0,0,0.02
106,145.2,1.40,0,0,0.02
107,140.3,1.40,0,0,0.02
108,149.6,1.40,0,0,0.02
109,146.1,1.40,0,0,0.02
110,141.7,1.40,0,0,0.02
111,147.1,1.40,0,0,0.02
112,141.0,1.40,0,0,0.02
113,141.2,1.40,0,0,0.02
114,144.0,1.40,0,0,0.02
115,140.4,1.40,0,0,0.02
116,138.1,1.40,0,0,0.02
117,139.6,1.40,0,0,0.02
118,136.9,1.40,0,0,0.02
119,137.5,1.40,0,0,0.02
120,135.7,1.40,0,0,0.02
121,140.4,1.40,0,0,0.02
122,138.8,1.40,0,0,0.02
123,130.3,1.40,0,0,0.02
124,129.2,1.40,0,0,0.02
125,134.6,1.40,0,0,0.02
126,144.2,1.40,0,0,0.02
127,141.7,1.40,0,0,0.02
128,136.8,1.40,0,0,0.02
129,144.9,1.40,0,0,0.02
130,143.0,1.40,0,0,0.02
131,137.0,1.40,0,0,0.02
132,141.7,1.40,0,0,0.02
