round,loss,accuracy,precision,recall,f1,global_accuracy,weighted_accuracy
0,2.3065808513496497,0.1,0.010002000400080016,0.1,0.01818512456810329,0.0,0.0
1,1.9853618386425549,0.3416,0.3516663706929146,0.3416,0.2780719029028761,0.3276,0.3276
2,1.7165936865384066,0.4017,0.4063252369829079,0.40169999999999995,0.3791638759606787,0.3975,0.3975
3,1.5771245820612847,0.4379,0.44167950610801565,0.43790000000000007,0.40606387224166224,0.4357,0.4357
4,1.5106494592714914,0.4628,0.4672109150084876,0.4628,0.4522030386511573,0.4604,0.4604
5,1.4183288178866422,0.4835,0.48315147174083223,0.4835000000000001,0.46683398986023006,0.4821,0.4821
6,1.410199856456322,0.4882,0.5049428855281248,0.4882000000000001,0.47791597430522553,0.4864,0.4864
7,1.3685626108435136,0.49,0.5068597493604439,0.48999999999999994,0.4774241418801376,0.494,0.494
8,1.394318470472022,0.4903,0.5185635254245132,0.49029999999999996,0.4711172062668404,0.4853,0.4853
9,1.3353498962861072,0.5085,0.5272175858911806,0.5085,0.4991013757083828,0.5134,0.5134
10,1.3391656800161433,0.5104,0.5352948973251389,0.5104,0.4960343489582367,0.5095,0.5095
11,1.307139437409896,0.5261,0.5397258065102983,0.5261000000000001,0.5224182561897874,0.5275,0.5275
12,1.290272754204424,0.5265,0.5395687030724925,0.5265000000000001,0.5158509544385047,0.528,0.528
13,1.2762904280348668,0.5421,0.5519991932565197,0.5421,0.5388331304426721,0.5423,0.5423
14,1.2881805700591848,0.5335,0.547464895202691,0.5335,0.5303244808269827,0.5380999999999999,0.5380999999999999
15,1.2644631922999514,0.5427,0.5438237797204024,0.5426999999999998,0.54105647800488,0.5498,0.5498
16,1.274732358093503,0.5438,0.5490112030494443,0.5438,0.5411619595209101,0.5513,0.5513
17,1.333965634997887,0.5252,0.5489875176946231,0.5252000000000001,0.5132255915333842,0.5302,0.5302
18,1.3721141332312474,0.5232,0.5480054149046015,0.5232,0.5110372313050323,0.5234,0.5234
19,1.3923990937727917,0.515,0.538934626105523,0.5149999999999999,0.502095320552211,0.519,0.519
20,1.365103694457042,0.5279,0.5475077472176009,0.5279,0.5191777681406602,0.5307000000000001,0.5307
21,1.4225501455838168,0.5154,0.5389706532630931,0.5154,0.5017130790928311,0.5193,0.5193
22,1.4052571812762489,0.5209,0.541640890259542,0.5208999999999999,0.5138967334746865,0.5235,0.5235
23,1.4350541256651093,0.5181,0.5351478164213743,0.5180999999999999,0.5075026148523174,0.5193,0.5193
24,1.4352997420709344,0.5224,0.5375123111386979,0.5224,0.5175568727435488,0.5362,0.5362
25,1.428662588324728,0.5236,0.5321356406231771,0.5235999999999998,0.5185277862277119,0.5356,0.5356
26,1.4490444509288933,0.5251,0.5317589051668576,0.5250999999999999,0.5211284674305389,0.5301,0.5301
27,1.4895421885236908,0.5152,0.5272741480616068,0.5152,0.5074194249123778,0.5249,0.5249
28,1.4716078767293617,0.5203,0.5299733615778642,0.5203,0.5169839395550517,0.5268,0.5268
29,1.585842130304892,0.5083,0.5285833814731682,0.5083,0.49954807583777694,0.5188,0.5188
30,1.5781551825849316,0.5163,0.5334381417129697,0.5163,0.5118818780260592,0.5255,0.5255
31,1.5841803550720215,0.5195,0.5264275874951918,0.5195,0.5133414420272834,0.5287000000000001,0.5287
32,1.6076785884326017,0.5167,0.5277863477317155,0.5166999999999999,0.5151593219915738,0.5251,0.5251
33,1.6048090020312538,0.5207,0.523495291633209,0.5206999999999999,0.5168980506462051,0.5271,0.5271
34,1.6445435964608495,0.5225,0.5263504636520635,0.5225000000000001,0.5198454218323816,0.5222,0.5222
35,1.6990989801249927,0.5129,0.524058923533968,0.5128999999999999,0.5114923785427222,0.5204000000000001,0.5204
36,1.7533712311636043,0.5226,0.5254413350108723,0.5226,0.5193959345757746,0.5259,0.5259
37,1.7282195679749115,0.5087,0.5213032420758593,0.5087,0.5048097181146913,0.5179,0.5179
38,1.8130418597897398,0.511,0.5162135803954013,0.511,0.5062431488239035,0.5199,0.5199
39,1.9155927821050716,0.494,0.515945648507971,0.49400000000000005,0.4875509616103221,0.505,0.505
40,1.9948834633525414,0.4997,0.5115184819700982,0.4997,0.4873599144334536,0.5039,0.5039
41,2.113801343531548,0.4769,0.5190849056222059,0.4769,0.4623818338313043,0.49,0.49
42,2.228738553916352,0.4848,0.5062716318244732,0.48480000000000006,0.4604132690165244,0.4878,0.4878
43,2.5304780278024794,0.4574,0.5158004476020389,0.4574000000000001,0.4296176246804803,0.46080000000000004,0.4608
44,2.494506131244611,0.4664,0.4959917476868637,0.4664,0.42761974323852475,0.4756,0.4756000000000001
45,2.4584984251215487,0.4636,0.5103242758948305,0.4635999999999999,0.44408382435070737,0.4737,0.47369999999999995
46,2.30649693329123,0.4799,0.5010158248376291,0.47990000000000005,0.454146918539143,0.4867000000000001,0.4867
47,2.380626293677318,0.4665,0.5201785015990404,0.4664999999999999,0.4556056262369913,0.4834,0.48339999999999994
48,2.2780918290343464,0.4902,0.5020798210914137,0.4901999999999999,0.47231247240861796,0.5008,0.5007999999999999
49,2.4426625650140306,0.4785,0.5167913270442241,0.47850000000000004,0.4688600776998232,0.4884,0.4884
50,2.2868948722187477,0.4901,0.5003662201451164,0.4901,0.4732563708632502,0.5018,0.5018
51,2.4199600974215736,0.4834,0.5122878072311796,0.48339999999999994,0.47152629033186616,0.49300000000000005,0.493
52,2.561943651754645,0.4772,0.49722506331933924,0.4772,0.4550411244499464,0.49090000000000006,0.4909
53,2.5505357211149193,0.4696,0.503230327787499,0.4696000000000001,0.4498245982591628,0.4834,0.4834
54,2.468707822546174,0.4934,0.5045749771128535,0.4934,0.4776031805371869,0.5108,0.5108
55,2.558443768114983,0.4824,0.5149674638017304,0.4824,0.47355886464748026,0.4978,0.4978000000000001
56,2.4705431370795528,0.4926,0.502725630211535,0.49260000000000004,0.48179709889833944,0.5063000000000001,0.5063
57,2.513550856445409,0.4917,0.5079279787070528,0.4917000000000001,0.48160359718178214,0.5002000000000001,0.5002000000000001
58,2.558441300935383,0.491,0.5038367198302938,0.491,0.48388476562467525,0.5054,0.5054
59,2.6315763781342327,0.4886,0.5058715257434172,0.48860000000000003,0.47775828676546983,0.4995,0.4995
60,2.591540523722202,0.4973,0.507639381894707,0.49729999999999996,0.49256849566427946,0.511,0.511
61,2.4938215620910067,0.488,0.5070080537745973,0.488,0.4810513520538288,0.4999,0.4999
62,2.6980022840862032,0.487,0.4966677600459476,0.487,0.471355927861849,0.49550000000000005,0.49550000000000005
63,3.012277625784089,0.477,0.4978859030429338,0.47700000000000004,0.4554150059209327,0.4875,0.4875
64,2.6200932762290856,0.4949,0.5070318777165713,0.4949,0.4857027575464269,0.5038,0.5038
65,2.810401500025882,0.4872,0.5025336208258886,0.4872000000000001,0.47745259690884234,0.49100000000000005,0.491
66,2.9625127194802974,0.4864,0.5040412395812357,0.48640000000000005,0.47402663150185215,0.5051,0.5051
67,2.836113271833975,0.4792,0.49885658704177127,0.47920000000000007,0.46529219418332274,0.49210000000000004,0.49210000000000004
68,2.9769459374343294,0.4862,0.5054027475240088,0.4862,0.4713947776168765,0.5035,0.5035
69,3.1942741991598393,0.464,0.49569709115560423,0.46399999999999997,0.4412858069411512,0.4791,0.4790999999999999
70,3.144551944129075,0.4666,0.49356914147839515,0.4666,0.44038127983046393,0.4796,0.4796
71,3.224444754516022,0.4563,0.49382594351914816,0.45630000000000004,0.43048966610575673,0.4684,0.4683999999999999
72,3.255950828141804,0.4692,0.49395839648555595,0.4692,0.4345072506075994,0.4804,0.48040000000000005
73,3.0694069605839402,0.4643,0.500627410042201,0.4643,0.4441690278177141,0.4783,0.47830000000000006
74,3.061935551558869,0.4821,0.5028759099733092,0.4821,0.46150841399900344,0.49879999999999997,0.4988
75,3.114390518091902,0.466,0.510760968615444,0.466,0.44990177472256276,0.4754,0.47539999999999993
76,3.316247375705574,0.4787,0.5034688654260134,0.4787,0.44888131536591525,0.49099999999999994,0.491
77,3.3499488468411602,0.451,0.5115569976442579,0.45099999999999996,0.42741211179995486,0.4691,0.4691
78,3.56771737714357,0.4541,0.48877922678353364,0.45409999999999984,0.40920913550307747,0.47069999999999995,0.4707
79,3.6619947137711923,0.4342,0.5175338916064298,0.4342,0.4028146562325408,0.4497,0.4497
80,3.598277007477193,0.4521,0.5016252262359562,0.4521,0.40197269842806904,0.46070000000000005,0.4607
81,3.695016794566867,0.426,0.5181230146551147,0.426,0.38925845804857173,0.44259999999999994,0.4426
82,3.97200474859793,0.4446,0.4920950953849177,0.4446,0.3825878549705911,0.4517,0.45170000000000005
83,4.101885593390163,0.4082,0.5130743977639014,0.4082,0.35603856351979984,0.4247,0.4247
84,3.778916358947754,0.4373,0.49135600257206785,0.4373,0.37822104870185475,0.4492,0.44919999999999993
85,3.655488478986523,0.4233,0.5009652666536495,0.42329999999999995,0.38632221592111227,0.4408,0.4408
86,3.558307587345944,0.4518,0.49584815206729116,0.4518000000000001,0.4014646892586432,0.461,0.461
87,3.453850408143635,0.4488,0.5105374697121285,0.44880000000000003,0.4202171481172117,0.46730000000000005,0.4673
88,3.3192517546158804,0.4763,0.5007004551259792,0.4763,0.43981763517123335,0.4873,0.48729999999999996
89,3.5313606322566167,0.4507,0.5108927710204627,0.4507,0.4292744443244626,0.4711,0.4711
90,3.4015922848182387,0.4786,0.508070653550417,0.47859999999999997,0.4465498734316644,0.48869999999999997,0.4886999999999999
91,3.448759290236461,0.453,0.5197215586977115,0.45299999999999996,0.43330063494732685,0.4693,0.4693
92,3.49382111996035,0.468,0.5016606879599854,0.46799999999999997,0.43038247421816755,0.4713,0.4713
93,3.4825278777110427,0.446,0.5109626587048676,0.4459999999999999,0.42465499494621,0.46619999999999995,0.4662
94,3.6795403233057336,0.4614,0.5034455254037937,0.4614,0.4160060976162308,0.4693,0.4693
95,3.9701012810574303,0.436,0.5239274788884347,0.43600000000000005,0.4041263370829494,0.44880000000000003,0.4488
96,3.6170882695837867,0.4668,0.5061190088990091,0.4668000000000001,0.4233908781834897,0.47219999999999995,0.4722
97,3.5724162421649015,0.441,0.5223406046360735,0.44099999999999995,0.4169422213294124,0.4584,0.4584
98,3.6110106027579008,0.4702,0.5056111147515864,0.4702,0.42948576576455516,0.47859999999999997,0.4786
99,3.5543428252014935,0.4454,0.5186032763351872,0.4454000000000001,0.42728557673017564,0.46,0.46
100,3.4624382936501803,0.4799,0.5063739822848835,0.47989999999999994,0.4503892792278725,0.4912,0.4912
101,3.5927252075340173,0.4482,0.52140337218891,0.4482000000000001,0.43144833019339546,0.4641,0.4641
102,3.6512504710426814,0.4734,0.5057410179488383,0.4734,0.43804772152029703,0.4814,0.48139999999999994
103,3.4997615633131582,0.4392,0.5131371210125172,0.43920000000000003,0.41639850033003556,0.45869999999999994,0.4587
104,3.5849494390849825,0.4676,0.49866141225318295,0.4676,0.4275894710710957,0.4765,0.47650000000000003
105,3.578005084508582,0.4465,0.5220658459355294,0.44650000000000006,0.4238506430537795,0.45999999999999996,0.46
106,3.849884392339972,0.4644,0.49882274885136824,0.46440000000000003,0.41882911011817947,0.47459999999999997,0.4746
107,3.682452826560298,0.4447,0.5162015736236185,0.4447,0.42164300009809014,0.4582,0.4582
108,3.471284205400491,0.475,0.5039839007776965,0.475,0.43994712338042097,0.48029999999999995,0.48029999999999995
109,3.681881071646002,0.45,0.5186619826249054,0.45,0.430515215789881,0.4637,0.46369999999999995
110,3.7176132443584975,0.4689,0.49868651414011034,0.4689,0.43070885881893056,0.4797,0.4797
111,3.7022071669373333,0.4413,0.5186054835402931,0.4413,0.42025322652751784,0.4531,0.4531
112,3.7365721237810354,0.4703,0.49959404040850197,0.47030000000000005,0.43160890534943996,0.4819,0.48190000000000005
113,4.02353413799141,0.4328,0.5171479109870782,0.4328,0.4015198362145731,0.4461,0.4461
114,3.6998436209521715,0.4562,0.4953221149802821,0.45620000000000005,0.40893104460919644,0.4683,0.46830000000000005
115,3.6557490523857408,0.4388,0.5167104317916253,0.4388000000000001,0.41080254258192206,0.4518,0.4517999999999999
116,3.698248980920526,0.4664,0.5015001120552705,0.4664,0.4244758632578523,0.47489999999999993,0.4749
117,3.658605807944189,0.4466,0.5207179324990032,0.4466,0.42550291682520347,0.45999999999999996,0.46
118,3.626510626153101,0.4763,0.5000871096642302,0.47630000000000006,0.4439490883437506,0.4819,0.4819
119,3.5920715362210816,0.4485,0.5229634115181515,0.44849999999999995,0.43220078168750764,0.4651,0.4651
120,3.558370173731937,0.4723,0.5031432897473767,0.47230000000000005,0.43808806367037983,0.47890000000000005,0.4789
121,3.545697815810578,0.4643,0.5220372100306846,0.4643,0.44864943342716596,0.47659999999999997,0.4766
122,3.714839250226564,0.4647,0.49461076101307044,0.4647,0.42803013560665926,0.4744,0.4744
123,3.8695678982553603,0.4356,0.5168678349583212,0.4356,0.4077660143656078,0.453,0.453
124,3.803229374221609,0.4697,0.5034907759097229,0.4697000000000001,0.4250358945853795,0.47500000000000003,0.475
125,3.7324796054936664,0.455,0.5248978593626139,0.45499999999999996,0.4330148866811748,0.4658,0.4658
126,3.799459864821615,0.47,0.5032692339789231,0.4699999999999999,0.43094353648814343,0.47809999999999997,0.4781
127,3.8041740520091,0.447,0.5184969602595257,0.44700000000000006,0.42122092703927316,0.4602,0.4602
128,3.7671380556082426,0.4737,0.5079041319901063,0.4737,0.43586273249302376,0.4785,0.4785
129,3.7877346835558927,0.445,0.522024844428153,0.445,0.4248687774111132,0.46259999999999996,0.4626
130,3.853210799301727,0.4687,0.5011550363437605,0.4687,0.4296362928829649,0.4779,0.4779
131,3.8701727692084975,0.4292,0.5119175426168441,0.42919999999999997,0.3960339055136136,0.4477,0.4477
132,3.7896079383318937,0.472,0.5049797352990217,0.472,0.43213319228205516,0.4797,0.4797
133,3.9090048361428176,0.4422,0.5274744952078706,0.4422,0.4175731686798,0.4583,0.45830000000000004
134,3.770684803588481,0.463,0.49950567075707025,0.46299999999999997,0.4207668742266021,0.47500000000000003,0.475
135,3.940220543100864,0.4329,0.5214746834261843,0.43289999999999995,0.40846046135399366,0.45039999999999997,0.4504
136,3.701172520842733,0.4669,0.5001590157721879,0.46690000000000004,0.4237883586790924,0.47300000000000003,0.473
137,3.6185466277448435,0.4554,0.5172094403252363,0.4553999999999999,0.43415528680543514,0.46819999999999995,0.4682
138,3.789831016637102,0.4786,0.5116997253771804,0.47859999999999997,0.4428102972506771,0.4835,0.48349999999999993
139,3.707706089261212,0.4616,0.5268794830244027,0.4615999999999999,0.4461638894512287,0.4766000000000001,0.4766000000000001
140,3.66744460033465,0.4889,0.5100641838752131,0.48889999999999995,0.4595211418262178,0.49699999999999994,0.497
141,3.76948491832878,0.4667,0.5307508323503566,0.4667,0.4528060811724789,0.4733,0.4733
142,3.5805370807647705,0.49,0.5115466360098255,0.49000000000000005,0.46281032364357894,0.49360000000000004,0.4936
143,3.6323305474051946,0.4596,0.519653996278503,0.4596,0.4449029607425974,0.46950000000000003,0.4695000000000001
144,3.6101641202274757,0.4807,0.5083174883003488,0.4807,0.45078530036464703,0.4850999999999999,0.4851
145,3.911235549781896,0.4458,0.5192572258495288,0.4457999999999999,0.42340331382282786,0.45249999999999996,0.4525
146,3.8827306499964074,0.4714,0.5038858786247644,0.47139999999999993,0.431515661256872,0.4798,0.4798
147,3.977668176723432,0.4343,0.5135162818316452,0.4343,0.4065376928033554,0.4437,0.4437
148,4.016956151286258,0.4614,0.5003149071569245,0.4614,0.41550663843320096,0.46680000000000005,0.46680000000000005
149,3.950107900402214,0.4314,0.5107082687259327,0.4313999999999999,0.4026198942623352,0.4432,0.4432
150,3.9985555938527555,0.4631,0.5040764151173338,0.46309999999999996,0.4181713804735998,0.468,0.4680000000000001
151,4.085314639006989,0.4319,0.5090708050165084,0.4319,0.39997839878399194,0.44780000000000003,0.4478000000000001
152,3.8823409110684937,0.4609,0.4989850798244718,0.4609,0.41669178923314476,0.4656,0.4656
153,3.9819035198115094,0.4429,0.5271348457505307,0.4429,0.4195234909570983,0.45,0.45
154,3.958822675898105,0.4713,0.5027857857045278,0.4713,0.43159376159263896,0.47740000000000005,0.47740000000000005
155,4.001547677607476,0.4415,0.5279953668315654,0.4415,0.4188258115791748,0.4501,0.4501
156,3.801763769946521,0.4793,0.5132987946623498,0.4793,0.44276618988909916,0.48079999999999995,0.4808
157,3.9077843835082233,0.44,0.519803254738324,0.43999999999999995,0.41422744008595264,0.455,0.455
158,3.886849690087234,0.4721,0.5063994295111194,0.4721,0.43181620142568133,0.47869999999999996,0.4787
159,3.8938781520988366,0.4499,0.5251315707151512,0.4499000000000001,0.43051462503002363,0.4671,0.4671
160,3.8857562813577773,0.479,0.5119421466142243,0.479,0.4428066402966562,0.4844,0.4844
161,3.836266737949999,0.4526,0.5224738093559963,0.4526,0.4339545689691571,0.4638,0.4638
162,3.9543951976148386,0.4731,0.5078628423486513,0.47309999999999997,0.4321282072093468,0.4799,0.4799
163,3.8531060399888437,0.4488,0.5123667646082561,0.4488,0.42906458528880753,0.4622,0.4622
164,3.8747978663142724,0.4732,0.5045318868864498,0.4732000000000001,0.43743543906899085,0.4783,0.4783
165,4.034639023527315,0.4459,0.5208016905946872,0.44589999999999996,0.42055820100361396,0.4571,0.4571
166,3.9155683607994756,0.4635,0.4989668021361884,0.4635000000000001,0.4188734354815148,0.46900000000000003,0.469
167,4.209505069104931,0.4322,0.5173759129432145,0.43220000000000003,0.39777661688928617,0.4458,0.4458
168,4.10826722881462,0.4546,0.5024078975083869,0.45459999999999995,0.4054582125612306,0.46120000000000005,0.46120000000000005
169,3.938717211349101,0.4382,0.5081264986029612,0.4382,0.41058011818715423,0.4516,0.45159999999999995
170,3.839466037629526,0.4709,0.505965398828436,0.47090000000000004,0.43617607942443176,0.47690000000000005,0.47690000000000005
171,3.8515206137789955,0.4529,0.5193954269722652,0.4529000000000001,0.43431026346620866,0.463,0.463
172,4.068244242969947,0.472,0.5051159972904486,0.4720000000000001,0.4314129156442216,0.4749999999999999,0.475
173,3.8748939339118667,0.4476,0.5186240298074044,0.4476,0.42689029284858443,0.45710000000000006,0.4571
174,3.8845708098592637,0.4778,0.5078861978843549,0.47779999999999995,0.44398836652510953,0.4818,0.48179999999999995
175,3.950515022760705,0.4552,0.5248137411109459,0.45520000000000005,0.4378137658630516,0.4619,0.4618999999999999
176,3.9335714291922654,0.4738,0.5061098802885902,0.47379999999999994,0.43892580226685585,0.47870000000000007,0.4787
177,3.914342967769768,0.4494,0.5199747635316332,0.44939999999999997,0.4342353060727088,0.4602,0.4602
178,3.9650035598610023,0.4816,0.5114380674490048,0.4816,0.4476883201954028,0.48400000000000004,0.484
179,4.208090812345095,0.4435,0.5230896922986737,0.44349999999999995,0.4204559478085372,0.45720000000000005,0.45720000000000005
180,4.14356904392001,0.4606,0.497219825077637,0.4606,0.41715592729342343,0.4703,0.4703
181,4.28811465939389,0.44,0.5254182188865841,0.43999999999999995,0.4081358502554077,0.4493,0.4493
182,3.9378074965899503,0.476,0.5092384598561126,0.4760000000000001,0.43992882653348026,0.47900000000000004,0.479
183,3.9424702789210064,0.4561,0.5277360182870618,0.4561,0.44118507117382866,0.4677,0.4677
184,3.981477885306636,0.4765,0.5093630120336685,0.47650000000000003,0.44202262782981716,0.4826,0.4826
185,4.107922161681743,0.4424,0.5214033219491909,0.4424,0.4192329525809634,0.4437,0.4437
186,4.019044631644141,0.4683,0.503794800394471,0.4683,0.43025522041830283,0.4722,0.4722
187,4.042352854451047,0.4506,0.5257655958832997,0.4506,0.42746763477113453,0.4562,0.4562
188,3.7798495171945308,0.4842,0.5065037331388302,0.4842000000000001,0.4554586703642866,0.4846,0.4846
189,3.934694416915314,0.4588,0.5221132957124317,0.4588,0.4419720821877623,0.4663,0.4663
190,3.7967059159580665,0.4838,0.5089461562159994,0.4838,0.45208907857710506,0.486,0.486
191,3.660711922223055,0.4617,0.5163570070480776,0.4616999999999999,0.4480001169246477,0.47069999999999995,0.47069999999999995
192,3.7398966928071613,0.4818,0.5091342923039865,0.48180000000000006,0.455095112235295,0.4859,0.4859
193,3.9192045911957947,0.4605,0.5171940851437377,0.46049999999999985,0.4440914292979513,0.4725,0.4725
194,4.000796127922928,0.4768,0.5100071945824391,0.4767999999999999,0.4436911734695987,0.4785,0.4785
195,3.9804594878908954,0.4495,0.5095539208562553,0.4495,0.42753397834260126,0.4611,0.4611
196,4.035331472565856,0.4735,0.5077700716194485,0.47350000000000003,0.43756527510028204,0.47469999999999996,0.4747
197,4.206920967826361,0.4485,0.5213727932767842,0.4485,0.4254013884294808,0.4575,0.4575
198,3.950683397582815,0.4813,0.5110477610792417,0.48130000000000006,0.4502579552004285,0.4853,0.4853
199,3.9213936057271837,0.46,0.5257641267223472,0.46000000000000013,0.4444329732894913,0.47070000000000006,0.4707
200,4.034077662455885,0.4789,0.5104115022171223,0.47890000000000005,0.4461870514927385,0.4804,0.48040000000000005
201,3.9918128297298767,0.4562,0.5230487729350741,0.45620000000000005,0.4435746014666274,0.46950000000000003,0.4695
202,3.9936038934731783,0.4798,0.5074425641821152,0.4798,0.4471419806749883,0.4833,0.48329999999999995
203,4.265796610071689,0.438,0.5190964750801624,0.43800000000000006,0.4135965823175736,0.4497,0.4497
204,4.149342856829679,0.4717,0.5037210917483563,0.47170000000000006,0.4348006532254793,0.4773,0.4773
205,4.128815146941173,0.4417,0.5276465444879586,0.4417,0.41848420957647814,0.44880000000000003,0.4488
206,4.000264050085334,0.4709,0.5061431417131186,0.47090000000000004,0.43459547960561135,0.4709999999999999,0.4709999999999999
207,3.97043743616418,0.4616,0.5216338267312497,0.46159999999999995,0.4446350038489282,0.4684,0.4684
208,3.9402101613298246,0.4819,0.5065367928724052,0.4819,0.45231689718399365,0.48699999999999993,0.487
209,3.8481225575072857,0.4713,0.5232335572871055,0.4713,0.4608209070088506,0.48279999999999995,0.4828
210,3.8996723845035217,0.4909,0.5118711373110392,0.49090000000000006,0.4645983086497706,0.49219999999999997,0.4922
211,4.018402081501635,0.4655,0.525859508083057,0.4655,0.45147680342404295,0.47490000000000004,0.4749
212,3.992549271523198,0.484,0.5074024466116575,0.4840000000000001,0.4527470415080791,0.4874,0.4874
213,4.031945599785334,0.452,0.5190309967017575,0.45199999999999996,0.4371739735612728,0.46,0.46
214,4.125274634059472,0.477,0.5115330381463787,0.477,0.44200264593615646,0.48089999999999994,0.4809
215,4.28806046896343,0.4383,0.5108876657496846,0.4383,0.41178532373924714,0.4452,0.4452
216,4.25931813747068,0.4629,0.5039139328283582,0.4629,0.4177574358833856,0.466,0.466
217,4.121966962572895,0.4386,0.5178103407678439,0.4386,0.4132764982402892,0.4449,0.4449
218,4.104120550276358,0.4688,0.5056515181698228,0.46880000000000005,0.4327864436326262,0.47680000000000006,0.4768
219,4.276402950286865,0.4435,0.518652939836634,0.44350000000000006,0.4207188247402174,0.45209999999999995,0.45209999999999995
220,4.088380940352814,0.4696,0.5017529009993723,0.46959999999999996,0.43160994520566814,0.47409999999999997,0.4741
221,4.235546434981914,0.4488,0.5258925462114457,0.4488,0.43027655794461694,0.4543,0.4543
222,4.093779017653646,0.4783,0.5101878184031168,0.47829999999999995,0.4448103833641219,0.4821,0.4821
223,4.070205238801014,0.4656,0.5267862913346075,0.46560000000000007,0.45103379029868884,0.46819999999999995,0.4682
224,4.027735269522365,0.4866,0.5097489716819058,0.4866,0.45983976949479527,0.48690000000000005,0.4869
225,4.168914897532403,0.4595,0.5243471913745272,0.45949999999999996,0.446397345174649,0.4661,0.4661
226,4.086289058757734,0.4888,0.5140646647103445,0.4888,0.4599529989592215,0.4941,0.4941
227,4.05245921883402,0.4707,0.525943112239646,0.4707,0.46069333023757686,0.4738,0.4738
228,4.130439088314394,0.4835,0.5130260541960789,0.4835,0.4580218376737156,0.4862,0.4862
229,4.3625829219818115,0.4531,0.5156090721779233,0.45309999999999995,0.4335454931150345,0.4603,0.4603
230,4.1646210332460045,0.4824,0.5129548673947631,0.4824,0.45004613311907465,0.484,0.484
231,4.344253247297263,0.4541,0.5167010337015759,0.45409999999999995,0.4330556223303447,0.4616,0.46160000000000007
232,4.271375097805941,0.4712,0.5052104820536245,0.47119999999999995,0.43833170366395013,0.4799,0.4799
233,4.2017876377588586,0.4575,0.5248190213478768,0.4575,0.4385019449631824,0.4617,0.4617
234,4.179302982137173,0.4771,0.5100539419460708,0.4771000000000001,0.44363672115385466,0.47669999999999996,0.4767
235,4.318603582020048,0.4462,0.5214751689924318,0.44620000000000004,0.4263839688160653,0.45530000000000004,0.4553
236,4.208602177945873,0.4809,0.5111364532641127,0.48089999999999994,0.44780700705087534,0.48300000000000004,0.48300000000000004
237,4.199189448658424,0.4597,0.5249638696019503,0.45970000000000005,0.4398685110525487,0.467,0.467
238,4.090038290506677,0.4843,0.5114182136966351,0.4843,0.4540184495534674,0.4879,0.48790000000000006
239,4.342772806747051,0.448,0.5201514439324015,0.44799999999999995,0.42668488933889054,0.457,0.45699999999999996
240,4.10304959514473,0.4817,0.5085465183988408,0.4817,0.45312503172901336,0.48560000000000003,0.4856
241,4.107265149490742,0.4585,0.5220727108463077,0.4584999999999999,0.44553572106197314,0.4677,0.4677
242,4.042217459859727,0.4852,0.5080978115853837,0.4852,0.45843449944169573,0.4943,0.4943
243,4.096912157686451,0.464,0.527149407315785,0.46399999999999997,0.4498908273049523,0.46540000000000004,0.4654
244,4.108046003534824,0.4834,0.5127415587396136,0.48340000000000005,0.4537194508242332,0.48889999999999995,0.4889
245,4.094775172728527,0.4579,0.5170004202631414,0.4579000000000001,0.44410530102192913,0.4673,0.4673
246,3.992847391321689,0.4847,0.5075323005800514,0.48469999999999996,0.45806251207393167,0.49079999999999996,0.4908
247,4.181185302855093,0.4585,0.5232760443752853,0.4584999999999999,0.4429333324350454,0.46469999999999995,0.4647
248,4.130034869230246,0.4831,0.5044708721355811,0.4831,0.45477373305075897,0.49079999999999996,0.49080000000000007
249,3.9664369172687772,0.4588,0.5266660119595172,0.4588,0.44598561729252495,0.4644,0.4644
250,4.035763550408279,0.4833,0.5090493178232643,0.4833,0.4551015461514128,0.4864,0.4864
251,4.282027359250225,0.4514,0.520284365768335,0.4513999999999999,0.4358933085934952,0.46090000000000003,0.4609
252,4.183408338812333,0.4786,0.5034924224986927,0.47859999999999997,0.44712315619906934,0.48879999999999996,0.4888
253,4.36210360708116,0.4474,0.522628445407606,0.4474,0.4299745854227739,0.45539999999999997,0.4554
254,4.278199271310734,0.4798,0.5096731468110804,0.4798,0.4465751420453866,0.4815,0.4815
255,4.410573286346242,0.445,0.5218133027683589,0.445,0.4239515729466018,0.4597,0.4597
256,4.22912530959407,0.47,0.49646303913504325,0.4699999999999999,0.4322321391241818,0.47870000000000007,0.4787
257,4.201965365228774,0.4479,0.5236791595913688,0.4478999999999999,0.42818159520625987,0.45669999999999994,0.4567
258,4.177139460286008,0.4688,0.5060473828212427,0.4688,0.4301890346170872,0.4736,0.4736
