round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,573.9,1.35,0,0,0.02
1,9.5,1.38,0,0,0.02
2,230.0,1.38,0,0,0.02
3,250.1,1.38,0,0,0.02
4,251.5,1.38,0,0,0.02
5,251.7,1.39,0,0,0.02
6,258.7,1.39,0,0,0.02
7,277.9,1.39,0,0,0.02
8,281.0,1.39,0,0,0.02
9,293.5,1.39,0,0,0.02
10,284.5,1.39,0,0,0.02
11,280.3,1.39,0,0,0.02
12,295.0,1.39,0,0,0.02
13,289.4,1.39,0,0,0.02
14,284.0,1.39,0,0,0.02
15,301.1,1.39,0,0,0.02
16,301.2,1.39,0,0,0.02
17,275.5,1.39,0,0,0.02
18,283.9,1.39,0,0,0.02
19,289.2,1.39,0,0,0.02
20,285.9,1.39,0,0,0.02
21,309.4,1.39,0,0,0.02
22,293.4,1.39,0,0,0.02
23,256.7,1.39,0,0,0.02
24,222.5,1.39,0,0,0.02
25,244.0,1.39,0,0,0.02
26,284.1,1.39,0,0,0.02
27,300.6,1.39,0,0,0.02
28,284.6,1.39,0,0,0.02
29,242.3,1.39,0,0,0.02
30,207.3,1.39,0,0,0.02
31,237.2,1.39,0,0,0.02
32,228.4,1.39,0,0,0.02
33,197.1,1.39,0,0,0.02
34,210.4,1.39,0,0,0.02
35,234.1,1.39,0,0,0.02
36,235.9,1.39,0,0,0.02
37,247.1,1.39,0,0,0.02
38,239.1,1.39,0,0,0.02
39,241.4,1.39,0,0,0.02
40,238.1,1.39,0,0,0.02
41,232.7,1.39,0,0,0.02
42,211.7,1.39,0,0,0.02
43,188.9,1.39,0,0,0.02
44,206.0,1.39,0,0,0.02
45,195.9,1.39,0,0,0.02
46,226.1,1.39,0,0,0.02
47,203.3,1.39,0,0,0.02
48,194.9,1.39,0,0,0.02
49,216.3,1.39,0,0,0.02
50,211.9,1.39,0,0,0.02
51,227.4,1.39,0,0,0.02
52,234.1,1.39,0,0,0.02
53,226.8,1.39,0,0,0.02
54,234.0,1.39,0,0,0.02
55,270.0,1.39,0,0,0.02
56,263.9,1.39,0,0,0.02
57,253.6,1.39,0,0,0.02
58,236.1,1.39,0,0,0.02
59,233.8,1.39,0,0,0.02
60,224.4,1.39,0,0,0.02
61,228.0,1.39,0,0,0.02
62,209.1,1.39,0,0,0.02
63,195.6,1.39,0,0,0.02
64,208.8,1.39,0,0,0.02
65,202.4,1.39,0,0,0.02
66,185.3,1.39,0,0,0.02
67,183.7,1.39,0,0,0.02
68,194.3,1.39,0,0,0.02
69,180.3,1.39,0,0,0.02
70,196.2,1.39,0,0,0.02
71,196.4,1.39,0,0,0.02
72,197.5,1.39,0,0,0.02
73,212.6,1.39,0,0,0.02
74,234.4,1.39,0,0,0.02
75,259.2,1.39,0,0,0.02
76,260.7,1.39,0,0,0.02
77,258.3,1.39,0,0,0.02
78,262.4,1.39,0,0,0.02
79,252.7,1.39,0,0,0.02
80,242.7,1.39,0,0,0.02
81,252.1,1.39,0,0,0.02
82,262.2,1.39,0,0,0.02
83,263.5,1.39,0,0,0.02
84,246.2,1.39,0,0,0.02
85,265.7,1.39,0,0,0.02
86,257.7,1.39,0,0,0.02
87,252.5,1.39,0,0,0.02
88,245.3,1.39,0,0,0.02
89,252.7,1.39,0,0,0.02
90,276.3,1.39,0,0,0.02
91,227.7,1.39,0,0,0.02
92,235.2,1.39,0,0,0.02
93,239.9,1.39,0,0,0.02
94,201.7,1.39,0,0,0.02
95,190.6,1.39,0,0,0.02
96,184.0,1.39,0,0,0.02
97,208.8,1.39,0,0,0.02
98,189.9,1.39,0,0,0.02
99,203.7,1.39,0,0,0.02
100,213.5,1.39,0,0,0.02
101,198.1,1.39,0,0,0.02
102,212.1,1.39,0,0,0.02
103,222.8,1.39,0,0,0.02
104,219.2,1.39,0,0,0.02
105,219.2,1.39,0,0,0.02
106,216.9,1.39,0,0,0.02
107,218.6,1.39,0,0,0.02
108,213.5,1.39,0,0,0.02
109,241.5,1.39,0,0,0.02
110,248.3,1.39,0,0,0.02
111,252.3,1.39,0,0,0.02
112,249.9,1.39,0,0,0.02
113,240.8,1.39,0,0,0.02
114,245.7,1.39,0,0,0.02
115,261.3,1.39,0,0,0.02
116,254.3,1.39,0,0,0.02
117,236.4,1.39,0,0,0.02
118,256.1,1.39,0,0,0.02
119,241.1,1.39,0,0,0.02
120,260.5,1.39,0,0,0.02
121,229.9,1.39,0,0,0.02
122,237.9,1.39,0,0,0.02
123,232.4,1.39,0,0,0.02
124,229.6,1.39,0,0,0.02
125,228.9,1.39,0,0,0.02
126,211.1,1.39,0,0,0.02
127,175.2,1.39,0,0,0.02
128,193.7,1.39,0,0,0.02
129,196.3,1.39,0,0,0.02
130,203.9,1.39,0,0,0.02
131,192.4,1.39,0,0,0.02
132,201.2,1.39,0,0,0.02
133,207.3,1.39,0,0,0.02
134,236.3,1.39,0,0,0.02
135,249.6,1.39,0,0,0.02
136,256.3,1.39,0,0,0.02
137,243.4,1.39,0,0,0.02
138,217.0,1.39,0,0,0.02
139,203.2,1.39,0,0,0.02
140,215.5,1.39,0,0,0.02
141,213.7,1.39,0,0,0.02
142,195.9,1.39,0,0,0.02
143,189.6,1.39,0,0,0.02
144,193.0,1.39,0,0,0.02
145,201.9,1.39,0,0,0.02
146,200.4,1.39,0,0,0.02
147,175.7,1.39,0,0,0.02
148,199.7,1.39,0,0,0.02
149,204.8,1.39,0,0,0.02
150,199.2,1.39,0,0,0.02
151,195.5,1.39,0,0,0.02
152,199.0,1.39,0,0,0.02
153,219.6,1.39,0,0,0.02
154,250.1,1.39,0,0,0.02
155,261.9,1.39,0,0,0.02
156,230.8,1.39,0,0,0.02
157,227.8,1.39,0,0,0.02
158,212.7,1.39,0,0,0.02
159,195.7,1.39,0,0,0.02
160,197.2,1.39,0,0,0.02
161,215.5,1.39,0,0,0.02
162,201.7,1.39,0,0,0.02
163,197.9,1.39,0,0,0.02
164,186.7,1.39,0,0,0.02
165,193.2,1.39,0,0,0.02
166,202.9,1.39,0,0,0.02
167,197.2,1.39,0,0,0.02
168,200.7,1.39,0,0,0.02
169,216.4,1.39,0,0,0.02
170,222.3,1.39,0,0,0.02
171,224.4,1.39,0,0,0.02
172,222.2,1.39,0,0,0.02
173,232.1,1.39,0,0,0.02
174,232.8,1.39,0,0,0.02
175,244.5,1.39,0,0,0.02
176,243.1,1.39,0,0,0.02
177,242.4,1.39,0,0,0.02
178,229.6,1.39,0,0,0.02
179,233.2,1.39,0,0,0.02
180,221.6,1.39,0,0,0.02
181,228.5,1.39,0,0,0.02
182,228.3,1.39,0,0,0.02
183,195.4,1.39,0,0,0.02
184,179.6,1.39,0,0,0.02
185,198.8,1.39,0,0,0.02
186,196.6,1.39,0,0,0.02
187,195.4,1.39,0,0,0.02
188,201.1,1.39,0,0,0.02
189,191.6,1.39,0,0,0.02
190,200.8,1.39,0,0,0.02
191,187.5,1.39,0,0,0.02
192,186.9,1.39,0,0,0.02
193,198.3,1.39,0,0,0.02
194,192.2,1.39,0,0,0.02
195,196.2,1.39,0,0,0.02
196,193.7,1.39,0,0,0.02
197,224.0,1.39,0,0,0.02
198,203.7,1.39,0,0,0.02
199,195.7,1.39,0,0,0.02
200,204.0,1.39,0,0,0.02
201,188.8,1.39,0,0,0.02
202,195.4,1.39,0,0,0.02
203,193.1,1.39,0,0,0.02
204,201.1,1.39,0,0,0.02
205,203.3,1.39,0,0,0.02
206,201.7,1.39,0,0,0.02
207,208.7,1.39,0,0,0.02
208,204.5,1.39,0,0,0.02
209,205.6,1.39,0,0,0.02
210,206.2,1.39,0,0,0.02
211,213.3,1.39,0,0,0.02
212,219.7,1.39,0,0,0.02
213,223.4,1.39,0,0,0.02
214,222.8,1.39,0,0,0.02
215,240.3,1.39,0,0,0.02
216,240.2,1.39,0,0,0.02
217,236.1,1.39,0,0,0.02
218,260.5,1.39,0,0,0.02
219,214.1,1.39,0,0,0.02
220,222.8,1.39,0,0,0.02
221,222.9,1.39,0,0,0.02
222,258.8,1.40,0,0,0.02
223,222.2,1.40,0,0,0.02
224,227.6,1.40,0,0,0.02
225,246.1,1.40,0,0,0.02
226,223.2,1.40,0,0,0.02
227,233.8,1.40,0,0,0.02
228,196.0,1.40,0,0,0.02
229,198.9,1.40,0,0,0.02
230,181.2,1.40,0,0,0.02
231,202.1,1.40,0,0,0.02
232,210.3,1.40,0,0,0.02
233,182.0,1.40,0,0,0.02
234,208.9,1.41,0,0,0.02
235,200.8,1.41,0,0,0.02
236,200.5,1.41,0,0,0.02
237,199.1,1.41,0,0,0.02
238,202.9,1.41,0,0,0.02
239,197.9,1.41,0,0,0.02
240,206.8,1.41,0,0,0.02
241,226.0,1.41,0,0,0.02
242,209.4,1.41,0,0,0.02
243,216.6,1.41,0,0,0.02
244,213.6,1.41,0,0,0.02
245,226.6,1.41,0,0,0.02
246,219.2,1.42,0,0,0.02
247,229.0,1.42,0,0,0.02
248,238.7,1.42,0,0,0.02
249,234.1,1.42,0,0,0.02
250,223.7,1.42,0,0,0.02
251,222.6,1.42,0,0,0.02
252,234.7,1.42,0,0,0.02
253,258.8,1.42,0,0,0.02
254,244.7,1.42,0,0,0.02
255,232.9,1.42,0,0,0.02
256,243.4,1.42,0,0,0.02
257,198.8,1.42,0,0,0.02
258,187.9,1.42,0,0,0.02
259,189.2,1.42,0,0,0.02
260,185.7,1.42,0,0,0.02
261,196.0,1.42,0,0,0.02
262,200.1,1.42,0,0,0.02
263,192.4,1.42,0,0,0.02
264,202.2,1.42,0,0,0.02
265,221.9,1.42,0,0,0.02
266,237.4,1.42,0,0,0.02
267,232.4,1.42,0,0,0.02
268,240.6,1.42,0,0,0.02
269,232.0,1.42,0,0,0.02
270,218.6,1.42,0,0,0.02
271,199.2,1.42,0,0,0.02
272,196.4,1.42,0,0,0.02
273,176.6,1.42,0,0,0.02
274,194.2,1.42,0,0,0.02
275,196.6,1.42,0,0,0.02
276,181.4,1.42,0,0,0.02
277,188.4,1.42,0,0,0.02
278,199.0,1.42,0,0,0.02
279,216.0,1.42,0,0,0.02
280,215.3,1.42,0,0,0.02
281,232.7,1.42,0,0,0.02
282,250.5,1.42,0,0,0.02
283,242.1,1.42,0,0,0.02
284,221.3,1.42,0,0,0.02
285,255.1,1.42,0,0,0.02
286,230.4,1.42,0,0,0.02
287,234.1,1.42,0,0,0.02
288,235.7,1.42,0,0,0.02
289,221.5,1.42,0,0,0.02
290,230.3,1.42,0,0,0.02
291,217.1,1.42,0,0,0.02
292,225.0,1.42,0,0,0.02
293,221.7,1.42,0,0,0.02
294,196.1,1.42,0,0,0.02
295,194.9,1.42,0,0,0.02
296,199.8,1.42,0,0,0.02
297,183.4,1.42,0,0,0.02
298,196.9,1.42,0,0,0.02
299,195.1,1.42,0,0,0.02
300,208.8,1.42,0,0,0.02
301,221.3,1.42,0,0,0.02
302,232.1,1.42,0,0,0.02
303,243.7,1.42,0,0,0.02
304,225.6,1.42,0,0,0.02
305,235.5,1.42,0,0,0.02
306,214.2,1.42,0,0,0.02
307,171.3,1.42,0,0,0.02
308,196.3,1.42,0,0,0.02
309,209.7,1.42,0,0,0.02
310,208.8,1.42,0,0,0.02
311,228.7,1.42,0,0,0.02
312,190.3,1.42,0,0,0.02
313,186.5,1.42,0,0,0.02
314,194.1,1.42,0,0,0.02
315,197.9,1.42,0,0,0.02
316,219.5,1.42,0,0,0.02
317,195.6,1.42,0,0,0.02
318,202.2,1.42,0,0,0.02
319,224.8,1.43,0,0,0.02
320,250.8,1.43,0,0,0.02
321,256.2,1.43,0,0,0.02
322,232.1,1.43,0,0,0.02
323,232.6,1.43,0,0,0.02
324,233.5,1.43,0,0,0.02
325,244.6,1.43,0,0,0.02
326,199.4,1.43,0,0,0.02
327,228.6,1.43,0,0,0.02
328,211.8,1.43,0,0,0.02
329,216.1,1.43,0,0,0.02
330,197.2,1.43,0,0,0.02
331,182.1,1.43,0,0,0.02
332,179.7,1.43,0,0,0.02
333,197.8,1.43,0,0,0.02
334,196.8,1.43,0,0,0.02
335,209.3,1.43,0,0,0.02
336,231.6,1.43,0,0,0.02
337,244.6,1.43,0,0,0.02
338,236.1,1.43,0,0,0.02
339,205.1,1.43,0,0,0.02
340,195.1,1.43,0,0,0.02
341,177.0,1.43,0,0,0.02
342,178.9,1.43,0,0,0.02
343,189.3,1.43,0,0,0.02
344,185.2,1.43,0,0,0.02
345,203.0,1.43,0,0,0.02
346,209.3,1.43,0,0,0.02
347,230.0,1.43,0,0,0.02
348,238.5,1.43,0,0,0.02
349,259.5,1.43,0,0,0.02
350,240.7,1.43,0,0,0.02
351,242.8,1.43,0,0,0.02
352,223.3,1.43,0,0,0.02
353,233.3,1.43,0,0,0.02
354,217.3,1.43,0,0,0.02
355,191.8,1.43,0,0,0.02
356,199.8,1.43,0,0,0.02
357,199.1,1.43,0,0,0.02
358,186.9,1.43,0,0,0.02
359,204.5,1.43,0,0,0.02
360,192.4,1.43,0,0,0.02
361,192.4,1.43,0,0,0.02
362,200.2,1.43,0,0,0.02
363,200.3,1.43,0,0,0.02
364,207.6,1.43,0,0,0.02
365,228.5,1.43,0,0,0.02
366,221.9,1.43,0,0,0.02
367,237.3,1.43,0,0,0.02
368,245.9,1.43,0,0,0.02
369,253.3,1.43,0,0,0.02
370,231.2,1.43,0,0,0.02
371,223.3,1.43,0,0,0.02
372,219.9,1.43,0,0,0.02
373,204.0,1.43,0,0,0.02
374,217.0,1.43,0,0,0.02
375,184.2,1.43,0,0,0.02
376,204.8,1.43,0,0,0.02
377,191.8,1.43,0,0,0.02
378,199.4,1.43,0,0,0.02
379,187.2,1.43,0,0,0.02
380,191.5,1.43,0,0,0.02
381,198.7,1.43,0,0,0.02
382,215.6,1.43,0,0,0.02
383,219.8,1.43,0,0,0.02
384,222.3,1.43,0,0,0.02
385,238.5,1.43,0,0,0.02
386,236.6,1.43,0,0,0.02
387,233.0,1.43,0,0,0.02
388,243.5,1.43,0,0,0.02
389,257.7,1.43,0,0,0.02
390,230.4,1.43,0,0,0.02
391,264.8,1.43,0,0,0.02
392,230.7,1.43,0,0,0.02
393,227.2,1.43,0,0,0.02
394,211.0,1.43,0,0,0.02
395,190.3,1.43,0,0,0.02
396,210.5,1.43,0,0,0.02
397,199.3,1.43,0,0,0.02
398,202.9,1.43,0,0,0.02
399,198.7,1.43,0,0,0.02
400,192.9,1.43,0,0,0.02
401,206.5,1.43,0,0,0.02
402,202.5,1.43,0,0,0.02
403,190.5,1.43,0,0,0.02
404,217.6,1.43,0,0,0.02
405,234.2,1.43,0,0,0.02
406,239.4,1.43,0,0,0.02
407,238.9,1.43,0,0,0.02
408,239.2,1.43,0,0,0.02
409,248.2,1.43,0,0,0.02
410,238.2,1.43,0,0,0.02
411,237.8,1.43,0,0,0.02
412,206.3,1.43,0,0,0.02
413,179.5,1.43,0,0,0.02
414,193.5,1.43,0,0,0.02
415,192.9,1.43,0,0,0.02
416,182.5,1.43,0,0,0.02
417,181.7,1.43,0,0,0.02
418,193.5,1.43,0,0,0.02
419,211.1,1.43,0,0,0.02
420,238.0,1.43,0,0,0.02
421,249.5,1.43,0,0,0.02
422,244.0,1.43,0,0,0.02
423,239.3,1.43,0,0,0.02
424,232.0,1.43,0,0,0.02
425,201.4,1.43,0,0,0.02
426,183.8,1.43,0,0,0.02
427,202.9,1.43,0,0,0.02
428,201.5,1.43,0,0,0.02
429,195.4,1.43,0,0,0.02
430,189.1,1.43,0,0,0.02
431,212.8,1.43,0,0,0.02
432,216.1,1.43,0,0,0.02
433,221.0,1.43,0,0,0.02
434,210.9,1.43,0,0,0.02
435,224.5,1.43,0,0,0.02
436,248.7,1.43,0,0,0.02
437,242.8,1.43,0,0,0.02
438,238.1,1.43,0,0,0.02
439,242.3,1.43,0,0,0.02
440,238.6,1.43,0,0,0.02
441,244.9,1.43,0,0,0.02
442,233.9,1.43,0,0,0.02
443,243.7,1.43,0,0,0.02
444,239.6,1.43,0,0,0.02
445,213.5,1.43,0,0,0.02
446,217.6,1.43,0,0,0.02
447,176.6,1.43,0,0,0.02
448,189.6,1.43,0,0,0.02
449,179.2,1.43,0,0,0.02
450,203.1,1.43,0,0,0.02
451,198.1,1.43,0,0,0.02
452,198.7,1.43,0,0,0.02
453,219.8,1.43,0,0,0.02
454,241.0,1.43,0,0,0.02
455,258.4,1.43,0,0,0.02
456,230.8,1.43,0,0,0.02
457,238.4,1.43,0,0,0.02
458,227.6,1.43,0,0,0.02
459,228.6,1.43,0,0,0.02
460,212.0,1.43,0,0,0.02
461,192.5,1.43,0,0,0.02
462,210.7,1.43,0,0,0.02
463,202.1,1.43,0,0,0.02
464,200.0,1.43,0,0,0.02
465,202.8,1.43,0,0,0.02
466,221.7,1.43,0,0,0.02
467,244.4,1.43,0,0,0.02
468,256.2,1.43,0,0,0.02
469,241.2,1.43,0,0,0.02
470,248.0,1.43,0,0,0.02
471,247.4,1.43,0,0,0.02
472,239.6,1.43,0,0,0.02
473,217.8,1.43,0,0,0.02
474,202.0,1.43,0,0,0.02
475,210.1,1.43,0,0,0.02
476,203.4,1.43,0,0,0.02
477,193.5,1.43,0,0,0.02
478,192.3,1.43,0,0,0.02
479,181.2,1.43,0,0,0.02
480,194.5,1.43,0,0,0.02
481,194.4,1.43,0,0,0.02
482,191.8,1.43,0,0,0.02
483,206.2,1.43,0,0,0.02
484,197.8,1.43,0,0,0.02
485,228.0,1.43,0,0,0.02
486,242.6,1.43,0,0,0.02
487,237.7,1.43,0,0,0.02
488,231.7,1.43,0,0,0.02
489,237.4,1.43,0,0,0.02
490,235.9,1.43,0,0,0.02
491,243.1,1.43,0,0,0.02
492,238.2,1.43,0,0,0.02
493,222.9,1.43,0,0,0.02
494,193.6,1.43,0,0,0.02
495,189.1,1.43,0,0,0.02
496,188.3,1.43,0,0,0.02
497,177.4,1.43,0,0,0.02
498,205.2,1.43,0,0,0.02
499,200.8,1.43,0,0,0.02
500,203.2,1.43,0,0,0.02
