round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,121.2,1.34,0,0,0.02
1,7.2,1.37,0,0,0.02
2,206.1,1.37,0,0,0.02
3,223.1,1.38,0,0,0.02
4,220.9,1.38,0,0,0.02
5,255.7,1.38,0,0,0.02
6,258.4,1.38,0,0,0.02
7,230.2,1.38,0,0,0.02
8,257.5,1.38,0,0,0.02
9,235.3,1.38,0,0,0.02
10,255.2,1.38,0,0,0.02
11,241.8,1.38,0,0,0.02
12,241.3,1.38,0,0,0.02
13,266.8,1.38,0,0,0.02
14,257.9,1.38,0,0,0.02
15,253.8,1.38,0,0,0.02
16,249.5,1.38,0,0,0.02
17,243.2,1.38,0,0,0.02
18,242.3,1.38,0,0,0.02
19,242.9,1.38,0,0,0.02
20,270.4,1.38,0,0,0.02
21,243.4,1.38,0,0,0.02
22,247.4,1.38,0,0,0.02
23,235.5,1.38,0,0,0.02
24,240.8,1.38,0,0,0.02
25,252.8,1.38,0,0,0.02
26,250.3,1.38,0,0,0.02
27,279.8,1.38,0,0,0.02
28,249.7,1.38,0,0,0.02
29,251.5,1.38,0,0,0.02
30,253.2,1.38,0,0,0.02
31,232.0,1.38,0,0,0.02
32,247.1,1.38,0,0,0.02
33,225.4,1.38,0,0,0.02
34,243.6,1.38,0,0,0.02
35,272.7,1.38,0,0,0.02
36,260.8,1.38,0,0,0.02
37,245.6,1.38,0,0,0.02
38,248.1,1.38,0,0,0.02
39,253.7,1.38,0,0,0.02
40,235.2,1.38,0,0,0.02
41,252.8,1.38,0,0,0.02
42,266.1,1.38,0,0,0.02
43,246.4,1.38,0,0,0.02
44,237.6,1.38,0,0,0.02
45,254.7,1.38,0,0,0.02
46,253.4,1.38,0,0,0.02
47,252.4,1.38,0,0,0.02
48,256.6,1.38,0,0,0.02
49,239.9,1.38,0,0,0.02
50,223.8,1.38,0,0,0.02
51,241.9,1.38,0,0,0.02
52,255.8,1.38,0,0,0.02
53,251.5,1.38,0,0,0.02
54,283.7,1.38,0,0,0.02
55,244.0,1.38,0,0,0.02
56,272.0,1.38,0,0,0.02
57,267.6,1.38,0,0,0.02
58,250.2,1.38,0,0,0.02
59,246.3,1.38,0,0,0.02
60,253.8,1.38,0,0,0.02
61,246.8,1.38,0,0,0.02
62,247.2,1.38,0,0,0.02
63,246.9,1.38,0,0,0.02
64,225.0,1.38,0,0,0.02
65,245.9,1.38,0,0,0.02
66,233.9,1.38,0,0,0.02
67,236.0,1.38,0,0,0.02
68,258.2,1.38,0,0,0.02
69,282.6,1.38,0,0,0.02
70,246.3,1.38,0,0,0.02
71,235.3,1.38,0,0,0.02
72,240.8,1.38,0,0,0.02
73,265.4,1.38,0,0,0.02
74,248.1,1.38,0,0,0.02
75,238.7,1.38,0,0,0.02
76,251.9,1.38,0,0,0.02
77,244.9,1.38,0,0,0.02
78,240.7,1.38,0,0,0.02
79,255.0,1.38,0,0,0.02
80,244.5,1.38,0,0,0.02
81,245.4,1.38,0,0,0.02
82,257.7,1.38,0,0,0.02
83,236.1,1.38,0,0,0.02
84,243.1,1.38,0,0,0.02
85,242.5,1.38,0,0,0.02
86,261.7,1.38,0,0,0.02
87,242.8,1.38,0,0,0.02
88,241.5,1.38,0,0,0.02
89,261.6,1.38,0,0,0.02
90,261.9,1.38,0,0,0.02
91,243.9,1.38,0,0,0.02
92,241.4,1.38,0,0,0.02
93,268.4,1.38,0,0,0.02
94,246.5,1.38,0,0,0.02
95,242.4,1.38,0,0,0.02
96,231.2,1.38,0,0,0.02
97,267.4,1.38,0,0,0.02
98,249.2,1.38,0,0,0.02
99,227.8,1.38,0,0,0.02
100,258.8,1.38,0,0,0.02
101,246.7,1.38,0,0,0.02
102,258.8,1.38,0,0,0.02
103,272.8,1.38,0,0,0.02
104,262.1,1.38,0,0,0.02
105,240.5,1.38,0,0,0.02
106,272.5,1.38,0,0,0.02
107,248.3,1.38,0,0,0.02
108,242.6,1.38,0,0,0.02
109,266.9,1.38,0,0,0.02
110,272.8,1.38,0,0,0.02
111,255.2,1.38,0,0,0.02
112,241.4,1.38,0,0,0.02
113,249.7,1.38,0,0,0.02
114,233.4,1.38,0,0,0.02
115,240.8,1.38,0,0,0.02
116,242.0,1.38,0,0,0.02
117,249.3,1.38,0,0,0.02
118,250.2,1.38,0,0,0.02
119,236.9,1.38,0,0,0.02
120,230.2,1.38,0,0,0.02
121,251.4,1.38,0,0,0.02
122,231.6,1.38,0,0,0.02
123,251.7,1.38,0,0,0.02
124,265.3,1.38,0,0,0.02
125,253.8,1.38,0,0,0.02
126,258.5,1.38,0,0,0.02
127,250.9,1.38,0,0,0.02
128,236.1,1.38,0,0,0.02
129,230.1,1.38,0,0,0.02
130,242.8,1.38,0,0,0.02
131,252.9,1.38,0,0,0.02
132,235.0,1.38,0,0,0.02
133,272.8,1.38,0,0,0.02
134,259.3,1.38,0,0,0.02
135,238.1,1.38,0,0,0.02
136,270.2,1.38,0,0,0.02
137,237.0,1.38,0,0,0.02
138,242.3,1.38,0,0,0.02
139,266.3,1.38,0,0,0.02
140,248.3,1.38,0,0,0.02
141,243.2,1.38,0,0,0.02
142,240.6,1.38,0,0,0.02
143,245.7,1.38,0,0,0.02
144,249.1,1.38,0,0,0.02
145,250.2,1.38,0,0,0.02
146,249.0,1.38,0,0,0.02
147,248.0,1.38,0,0,0.02
148,258.3,1.38,0,0,0.02
149,248.6,1.38,0,0,0.02
150,248.6,1.38,0,0,0.02
151,275.5,1.38,0,0,0.02
152,263.6,1.38,0,0,0.02
153,246.4,1.38,0,0,0.02
154,271.9,1.38,0,0,0.02
155,262.5,1.38,0,0,0.02
156,265.9,1.38,0,0,0.02
157,240.2,1.38,0,0,0.02
158,264.8,1.38,0,0,0.02
159,253.8,1.38,0,0,0.02
160,256.1,1.38,0,0,0.02
161,247.5,1.38,0,0,0.02
162,259.5,1.38,0,0,0.02
163,272.7,1.38,0,0,0.02
164,225.8,1.38,0,0,0.02
165,240.1,1.38,0,0,0.02
166,236.1,1.38,0,0,0.02
167,264.1,1.38,0,0,0.02
168,243.1,1.38,0,0,0.02
169,247.7,1.38,0,0,0.02
170,241.9,1.38,0,0,0.02
171,240.7,1.38,0,0,0.02
172,242.5,1.38,0,0,0.02
173,264.1,1.38,0,0,0.02
174,252.4,1.38,0,0,0.02
175,243.9,1.38,0,0,0.02
176,240.9,1.38,0,0,0.02
177,255.0,1.38,0,0,0.02
178,265.7,1.38,0,0,0.02
179,261.0,1.38,0,0,0.02
180,252.3,1.38,0,0,0.02
181,237.2,1.38,0,0,0.02
182,264.4,1.38,0,0,0.02
183,252.9,1.38,0,0,0.02
184,239.4,1.38,0,0,0.02
185,246.1,1.38,0,0,0.02
186,268.2,1.38,0,0,0.02
187,248.0,1.38,0,0,0.02
188,241.4,1.38,0,0,0.02
189,249.2,1.38,0,0,0.02
190,266.6,1.38,0,0,0.02
191,271.1,1.38,0,0,0.02
192,273.6,1.38,0,0,0.02
193,261.0,1.38,0,0,0.02
194,258.2,1.38,0,0,0.02
195,246.9,1.38,0,0,0.02
196,253.0,1.38,0,0,0.02
197,233.2,1.38,0,0,0.02
198,262.4,1.38,0,0,0.02
199,264.0,1.38,0,0,0.02
200,244.6,1.38,0,0,0.02
201,271.0,1.38,0,0,0.02
202,240.4,1.38,0,0,0.02
203,273.3,1.38,0,0,0.02
204,245.7,1.38,0,0,0.02
205,243.1,1.38,0,0,0.02
206,254.5,1.38,0,0,0.02
207,238.6,1.38,0,0,0.02
208,242.4,1.38,0,0,0.02
209,268.1,1.38,0,0,0.02
210,260.8,1.38,0,0,0.02
211,258.9,1.38,0,0,0.02
212,248.3,1.38,0,0,0.02
213,254.0,1.38,0,0,0.02
214,257.5,1.38,0,0,0.02
215,233.7,1.38,0,0,0.02
216,273.8,1.38,0,0,0.02
217,239.4,1.38,0,0,0.02
218,260.5,1.38,0,0,0.02
219,244.8,1.38,0,0,0.02
220,236.3,1.38,0,0,0.02
221,257.2,1.38,0,0,0.02
222,249.9,1.38,0,0,0.02
223,246.7,1.38,0,0,0.02
224,275.0,1.38,0,0,0.02
225,256.8,1.38,0,0,0.02
226,260.1,1.38,0,0,0.02
227,258.4,1.38,0,0,0.02
228,245.5,1.38,0,0,0.02
229,254.1,1.38,0,0,0.02
230,247.9,1.38,0,0,0.02
231,256.7,1.38,0,0,0.02
232,240.1,1.38,0,0,0.02
233,264.1,1.38,0,0,0.02
234,256.6,1.38,0,0,0.02
235,253.2,1.38,0,0,0.02
236,256.5,1.38,0,0,0.02
237,259.4,1.38,0,0,0.02
238,270.3,1.38,0,0,0.02
239,243.0,1.38,0,0,0.02
240,238.3,1.38,0,0,0.02
241,251.0,1.38,0,0,0.02
242,249.2,1.38,0,0,0.02
243,226.4,1.38,0,0,0.02
244,228.0,1.38,0,0,0.02
245,240.9,1.38,0,0,0.02
246,278.6,1.38,0,0,0.02
247,245.7,1.38,0,0,0.02
248,232.3,1.38,0,0,0.02
249,239.8,1.38,0,0,0.02
250,261.5,1.38,0,0,0.02
251,240.4,1.38,0,0,0.02
252,257.6,1.38,0,0,0.02
253,249.8,1.38,0,0,0.02
254,272.2,1.38,0,0,0.02
255,235.5,1.38,0,0,0.02
256,277.0,1.38,0,0,0.02
257,261.1,1.38,0,0,0.02
258,253.2,1.38,0,0,0.02
259,256.6,1.38,0,0,0.02
260,249.5,1.38,0,0,0.02
261,251.5,1.38,0,0,0.02
262,249.2,1.38,0,0,0.02
263,251.7,1.38,0,0,0.02
264,251.8,1.38,0,0,0.02
265,225.1,1.38,0,0,0.02
266,240.6,1.38,0,0,0.02
267,236.1,1.38,0,0,0.02
268,272.4,1.38,0,0,0.02
269,263.1,1.38,0,0,0.02
270,258.5,1.38,0,0,0.02
271,252.4,1.38,0,0,0.02
272,252.5,1.38,0,0,0.02
273,260.0,1.38,0,0,0.02
274,247.5,1.38,0,0,0.02
275,261.5,1.38,0,0,0.02
276,263.9,1.38,0,0,0.02
277,271.1,1.38,0,0,0.02
278,251.7,1.38,0,0,0.02
279,259.0,1.38,0,0,0.02
280,251.8,1.38,0,0,0.02
281,263.6,1.38,0,0,0.02
282,240.0,1.38,0,0,0.02
283,258.3,1.38,0,0,0.02
284,240.6,1.38,0,0,0.02
285,237.1,1.38,0,0,0.02
286,245.1,1.38,0,0,0.02
287,241.5,1.38,0,0,0.02
288,255.1,1.38,0,0,0.02
289,249.7,1.38,0,0,0.02
290,238.4,1.38,0,0,0.02
291,270.6,1.38,0,0,0.02
292,220.8,1.38,0,0,0.02
293,238.9,1.38,0,0,0.02
294,254.6,1.38,0,0,0.02
295,254.9,1.38,0,0,0.02
296,261.4,1.38,0,0,0.02
297,251.3,1.38,0,0,0.02
298,270.4,1.38,0,0,0.02
299,267.4,1.38,0,0,0.02
300,271.5,1.38,0,0,0.02
301,273.4,1.38,0,0,0.02
302,260.5,1.38,0,0,0.02
303,263.0,1.38,0,0,0.02
