round,loss,accuracy,precision,recall,f1,global_accuracy,weighted_accuracy
0,2.304849443556387,0.1,0.01,0.1,0.01818181818181818,0.0,0.0
1,2.237436463561239,0.2207,0.2194866377035551,0.22069999999999998,0.18005972096931538,0.21535692861427713,0.21535692861427713
2,1.9562223998806145,0.2958,0.2812515785735217,0.2958,0.2524224554294888,0.28424315136972605,0.28424315136972605
3,1.794964283327513,0.3523,0.3391667862266557,0.3523,0.3261781222615613,0.3414317136572686,0.34143171365726854
4,1.676447041427033,0.3914,0.38757626269049167,0.39139999999999997,0.37202167735159253,0.387622475504899,0.38762247550489903
5,1.5823501695560505,0.425,0.4276086356243868,0.4250000000000001,0.41137628784483715,0.41561687662467506,0.41561687662467506
6,1.4968798869772801,0.458,0.45341102252819604,0.458,0.44843014221849276,0.4538092381523695,0.4538092381523695
7,1.4524185385885118,0.4692,0.46997553804286774,0.4692,0.4581377035738572,0.47010597880423916,0.47010597880423916
8,1.419218594514871,0.4801,0.47829802653201464,0.4801,0.4651043905555964,0.47860427914417114,0.47860427914417114
9,1.3669904379905025,0.5054,0.49823393843575603,0.5054000000000001,0.49582594024390375,0.5002999400119976,0.5002999400119976
10,1.3425135884103896,0.5109,0.5126287897640831,0.5109,0.49985781128361123,0.5111977604479104,0.5111977604479104
11,1.3205577240714543,0.5255,0.5219356693153298,0.5255000000000001,0.5203634872690112,0.5297940411917617,0.5297940411917617
12,1.288528967507278,0.5439,0.5394512271005656,0.5439,0.5377418364976243,0.5392921415716857,0.5392921415716857
13,1.259211138833927,0.5528,0.5465357577563048,0.5528000000000001,0.545055637681255,0.5508898220355929,0.5508898220355929
14,1.2419882001756113,0.5572,0.5542285548307281,0.5572,0.5501723399218681,0.5531893621275744,0.5531893621275745
15,1.2248149257671983,0.5614,0.5582997792419018,0.5614000000000001,0.5548427811884035,0.5619876024795042,0.5619876024795041
16,1.2065858667409872,0.5752,0.5722404219544873,0.5752,0.5709607604300436,0.5761847630473905,0.5761847630473905
17,1.189641142193275,0.5809,0.5811277320098795,0.5809,0.5789958612919855,0.5738852229554089,0.5738852229554089
18,1.1743377432038513,0.5856,0.5831959179187881,0.5856,0.5814781396854822,0.5821835632873426,0.5821835632873426
