round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,122.5,1.34,0,0,0.02
1,7.6,1.37,0,0,0.02
2,218.0,1.38,0,0,0.02
3,261.9,1.38,0,0,0.02
4,223.1,1.38,0,0,0.02
5,234.0,1.38,0,0,0.02
6,239.1,1.38,0,0,0.02
7,242.9,1.38,0,0,0.02
8,272.4,1.38,0,0,0.02
9,265.4,1.38,0,0,0.02
10,263.9,1.38,0,0,0.02
11,255.0,1.38,0,0,0.02
12,249.3,1.38,0,0,0.02
13,257.7,1.38,0,0,0.02
14,248.6,1.38,0,0,0.02
15,245.3,1.38,0,0,0.02
16,256.3,1.38,0,0,0.02
17,258.8,1.38,0,0,0.02
18,268.5,1.38,0,0,0.02
19,255.6,1.38,0,0,0.02
20,268.2,1.38,0,0,0.02
21,262.8,1.38,0,0,0.02
22,275.5,1.38,0,0,0.02
23,254.0,1.38,0,0,0.02
24,252.8,1.38,0,0,0.02
25,261.8,1.38,0,0,0.02
26,251.3,1.38,0,0,0.02
27,254.9,1.38,0,0,0.02
28,256.2,1.38,0,0,0.02
29,273.1,1.38,0,0,0.02
30,264.8,1.38,0,0,0.02
31,282.6,1.38,0,0,0.02
32,281.3,1.38,0,0,0.02
33,251.0,1.38,0,0,0.02
34,251.0,1.38,0,0,0.02
35,254.4,1.38,0,0,0.02
36,275.7,1.38,0,0,0.02
37,282.1,1.38,0,0,0.02
38,256.0,1.38,0,0,0.02
39,243.0,1.38,0,0,0.02
40,244.8,1.38,0,0,0.02
41,267.5,1.38,0,0,0.02
42,256.8,1.38,0,0,0.02
43,265.3,1.38,0,0,0.02
44,257.2,1.38,0,0,0.02
45,257.3,1.38,0,0,0.02
46,270.1,1.38,0,0,0.02
47,278.7,1.38,0,0,0.02
48,294.7,1.38,0,0,0.02
49,281.3,1.38,0,0,0.02
50,265.3,1.38,0,0,0.02
51,272.4,1.38,0,0,0.02
52,272.4,1.38,0,0,0.02
53,288.5,1.38,0,0,0.02
54,281.0,1.38,0,0,0.02
55,265.2,1.38,0,0,0.02
56,260.0,1.38,0,0,0.02
57,267.4,1.38,0,0,0.02
58,287.6,1.38,0,0,0.02
59,279.4,1.38,0,0,0.02
60,250.3,1.38,0,0,0.02
61,259.4,1.38,0,0,0.02
62,253.6,1.38,0,0,0.02
63,257.0,1.38,0,0,0.02
64,268.2,1.38,0,0,0.02
65,254.2,1.38,0,0,0.02
66,260.9,1.38,0,0,0.02
67,281.5,1.38,0,0,0.02
68,277.1,1.38,0,0,0.02
69,261.8,1.38,0,0,0.02
70,248.5,1.38,0,0,0.02
71,244.7,1.38,0,0,0.02
72,235.2,1.38,0,0,0.02
73,258.2,1.38,0,0,0.02
74,286.0,1.38,0,0,0.02
75,259.4,1.38,0,0,0.02
76,265.2,1.38,0,0,0.02
77,249.9,1.38,0,0,0.02
78,246.1,1.38,0,0,0.02
79,252.8,1.38,0,0,0.02
80,269.1,1.38,0,0,0.02
81,271.6,1.38,0,0,0.02
82,259.0,1.38,0,0,0.02
83,241.3,1.38,0,0,0.02
84,278.6,1.38,0,0,0.02
85,243.7,1.38,0,0,0.02
86,277.4,1.38,0,0,0.02
87,262.2,1.38,0,0,0.02
88,252.8,1.38,0,0,0.02
89,266.5,1.38,0,0,0.02
90,262.6,1.38,0,0,0.02
91,270.4,1.38,0,0,0.02
92,251.2,1.38,0,0,0.02
93,246.2,1.38,0,0,0.02
94,273.2,1.38,0,0,0.02
95,267.4,1.38,0,0,0.02
96,282.3,1.38,0,0,0.02
97,255.0,1.38,0,0,0.02
98,244.6,1.38,0,0,0.02
99,269.3,1.38,0,0,0.02
100,251.0,1.38,0,0,0.02
101,255.0,1.38,0,0,0.02
102,261.7,1.38,0,0,0.02
103,238.3,1.38,0,0,0.02
104,279.0,1.38,0,0,0.02
105,291.4,1.38,0,0,0.02
106,278.0,1.38,0,0,0.02
107,280.7,1.38,0,0,0.02
108,263.1,1.38,0,0,0.02
109,261.3,1.38,0,0,0.02
110,263.4,1.38,0,0,0.02
111,266.5,1.38,0,0,0.02
112,256.8,1.38,0,0,0.02
113,243.7,1.38,0,0,0.02
114,252.0,1.38,0,0,0.02
115,250.7,1.38,0,0,0.02
116,281.3,1.38,0,0,0.02
117,257.6,1.38,0,0,0.02
118,250.2,1.38,0,0,0.02
119,244.4,1.38,0,0,0.02
120,268.2,1.38,0,0,0.02
121,273.3,1.38,0,0,0.02
122,257.5,1.38,0,0,0.02
123,249.8,1.38,0,0,0.02
124,284.9,1.38,0,0,0.02
125,253.6,1.38,0,0,0.02
126,284.4,1.38,0,0,0.02
127,238.5,1.38,0,0,0.02
128,283.7,1.38,0,0,0.02
129,265.2,1.38,0,0,0.02
130,262.1,1.38,0,0,0.02
131,267.2,1.38,0,0,0.02
132,250.1,1.38,0,0,0.02
133,258.9,1.38,0,0,0.02
134,256.7,1.38,0,0,0.02
135,245.9,1.38,0,0,0.02
136,246.6,1.38,0,0,0.02
137,246.8,1.38,0,0,0.02
138,259.2,1.38,0,0,0.02
139,255.5,1.38,0,0,0.02
140,254.8,1.38,0,0,0.02
141,270.1,1.38,0,0,0.02
142,275.3,1.38,0,0,0.02
143,274.9,1.38,0,0,0.02
144,273.6,1.38,0,0,0.02
145,250.7,1.38,0,0,0.02
146,257.0,1.38,0,0,0.02
147,249.8,1.38,0,0,0.02
148,275.1,1.38,0,0,0.02
149,245.5,1.38,0,0,0.02
150,272.4,1.38,0,0,0.02
151,260.2,1.38,0,0,0.02
152,269.7,1.38,0,0,0.02
153,295.0,1.38,0,0,0.02
154,256.6,1.38,0,0,0.02
155,255.1,1.38,0,0,0.02
156,267.1,1.38,0,0,0.02
157,262.9,1.38,0,0,0.02
158,254.7,1.38,0,0,0.02
159,267.4,1.38,0,0,0.02
160,257.7,1.38,0,0,0.02
161,265.2,1.38,0,0,0.02
162,271.0,1.38,0,0,0.02
163,255.9,1.38,0,0,0.02
164,271.4,1.38,0,0,0.02
165,271.5,1.38,0,0,0.02
166,274.0,1.38,0,0,0.02
167,288.5,1.38,0,0,0.02
168,289.5,1.38,0,0,0.02
169,286.1,1.38,0,0,0.02
170,240.8,1.38,0,0,0.02
171,263.3,1.38,0,0,0.02
172,280.3,1.38,0,0,0.02
173,245.8,1.38,0,0,0.02
174,290.3,1.38,0,0,0.02
175,256.0,1.38,0,0,0.02
176,259.1,1.38,0,0,0.02
177,257.6,1.38,0,0,0.02
178,251.9,1.38,0,0,0.02
179,239.6,1.38,0,0,0.02
180,251.6,1.38,0,0,0.02
181,249.1,1.38,0,0,0.02
182,258.0,1.38,0,0,0.02
183,268.5,1.38,0,0,0.02
184,269.5,1.38,0,0,0.02
185,270.5,1.38,0,0,0.02
186,260.4,1.38,0,0,0.02
187,252.9,1.38,0,0,0.02
188,281.3,1.38,0,0,0.02
189,287.8,1.38,0,0,0.02
190,242.7,1.38,0,0,0.02
191,247.3,1.38,0,0,0.02
192,256.6,1.38,0,0,0.02
193,268.2,1.38,0,0,0.02
194,256.0,1.38,0,0,0.02
195,256.4,1.38,0,0,0.02
196,258.2,1.38,0,0,0.02
197,247.3,1.38,0,0,0.02
198,262.8,1.38,0,0,0.02
199,237.2,1.38,0,0,0.02
200,249.7,1.38,0,0,0.02
201,257.7,1.38,0,0,0.02
202,249.5,1.38,0,0,0.02
203,250.2,1.38,0,0,0.02
204,253.6,1.38,0,0,0.02
205,262.1,1.38,0,0,0.02
206,251.6,1.38,0,0,0.02
207,262.2,1.38,0,0,0.02
208,246.8,1.38,0,0,0.02
209,245.0,1.38,0,0,0.02
210,288.5,1.38,0,0,0.02
211,281.3,1.38,0,0,0.02
212,278.2,1.38,0,0,0.02
213,290.3,1.38,0,0,0.02
214,262.1,1.38,0,0,0.02
215,280.6,1.38,0,0,0.02
216,273.8,1.38,0,0,0.02
217,256.4,1.38,0,0,0.02
218,263.3,1.38,0,0,0.02
219,270.5,1.38,0,0,0.02
220,244.1,1.38,0,0,0.02
221,267.6,1.38,0,0,0.02
222,249.8,1.38,0,0,0.02
223,242.4,1.38,0,0,0.02
224,255.0,1.38,0,0,0.02
225,254.7,1.38,0,0,0.02
226,258.0,1.38,0,0,0.02
227,271.6,1.38,0,0,0.02
228,243.7,1.38,0,0,0.02
229,255.7,1.38,0,0,0.02
230,255.2,1.38,0,0,0.02
231,263.3,1.38,0,0,0.02
232,254.8,1.38,0,0,0.02
233,247.8,1.38,0,0,0.02
234,266.4,1.38,0,0,0.02
235,251.7,1.38,0,0,0.02
236,260.3,1.38,0,0,0.02
237,266.9,1.38,0,0,0.02
238,244.1,1.38,0,0,0.02
239,250.5,1.38,0,0,0.02
240,263.4,1.38,0,0,0.02
241,281.9,1.38,0,0,0.02
242,254.8,1.38,0,0,0.02
243,243.1,1.38,0,0,0.02
244,283.7,1.38,0,0,0.02
245,263.8,1.38,0,0,0.02
246,249.6,1.38,0,0,0.02
247,244.0,1.38,0,0,0.02
248,267.1,1.38,0,0,0.02
249,268.2,1.38,0,0,0.02
250,258.8,1.38,0,0,0.02
251,254.1,1.39,0,0,0.02
252,260.9,1.39,0,0,0.02
253,265.7,1.39,0,0,0.02
254,257.1,1.39,0,0,0.02
255,254.7,1.39,0,0,0.02
256,255.2,1.39,0,0,0.02
257,260.3,1.39,0,0,0.02
258,252.4,1.39,0,0,0.02
259,258.7,1.39,0,0,0.02
260,281.7,1.39,0,0,0.02
261,249.4,1.39,0,0,0.02
262,255.2,1.39,0,0,0.02
263,250.7,1.39,0,0,0.02
264,251.6,1.39,0,0,0.02
265,270.0,1.39,0,0,0.02
266,266.3,1.39,0,0,0.02
267,240.7,1.39,0,0,0.02
268,256.6,1.39,0,0,0.02
269,252.2,1.39,0,0,0.02
270,253.0,1.39,0,0,0.02
271,263.6,1.39,0,0,0.02
272,245.7,1.39,0,0,0.02
273,278.2,1.39,0,0,0.02
274,276.3,1.39,0,0,0.02
275,248.0,1.39,0,0,0.02
276,254.8,1.39,0,0,0.02
277,249.6,1.39,0,0,0.02
278,255.4,1.39,0,0,0.02
279,249.8,1.39,0,0,0.02
280,255.6,1.39,0,0,0.02
281,248.0,1.39,0,0,0.02
282,257.3,1.39,0,0,0.02
283,249.5,1.39,0,0,0.02
284,257.1,1.39,0,0,0.02
285,254.3,1.39,0,0,0.02
286,275.9,1.39,0,0,0.02
287,243.7,1.39,0,0,0.02
288,244.7,1.39,0,0,0.02
289,267.3,1.39,0,0,0.02
290,247.4,1.39,0,0,0.02
291,249.6,1.39,0,0,0.02
292,265.3,1.39,0,0,0.02
293,260.0,1.39,0,0,0.02
294,254.1,1.39,0,0,0.02
295,246.4,1.39,0,0,0.02
296,281.3,1.39,0,0,0.02
297,270.6,1.39,0,0,0.02
298,272.9,1.39,0,0,0.02
299,240.7,1.39,0,0,0.02
300,260.6,1.39,0,0,0.02
301,239.6,1.39,0,0,0.02
302,260.2,1.39,0,0,0.02
303,279.6,1.39,0,0,0.02
304,259.1,1.39,0,0,0.02
305,254.7,1.39,0,0,0.02
306,248.8,1.39,0,0,0.02
307,255.0,1.39,0,0,0.02
308,278.5,1.39,0,0,0.02
309,241.5,1.39,0,0,0.02
310,256.3,1.39,0,0,0.02
311,249.8,1.39,0,0,0.02
312,275.1,1.39,0,0,0.02
313,249.1,1.39,0,0,0.02
314,280.9,1.39,0,0,0.02
315,243.5,1.39,0,0,0.02
316,264.5,1.39,0,0,0.02
317,262.2,1.39,0,0,0.02
318,254.1,1.39,0,0,0.02
319,249.4,1.39,0,0,0.02
320,275.8,1.39,0,0,0.02
321,275.2,1.39,0,0,0.02
322,266.9,1.39,0,0,0.02
323,242.3,1.39,0,0,0.02
324,255.7,1.39,0,0,0.02
325,257.5,1.39,0,0,0.02
326,242.6,1.39,0,0,0.02
327,277.1,1.39,0,0,0.02
328,273.0,1.39,0,0,0.02
329,252.8,1.39,0,0,0.02
330,260.5,1.39,0,0,0.02
331,254.1,1.39,0,0,0.02
332,247.6,1.39,0,0,0.02
333,250.2,1.39,0,0,0.02
