round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,110.6,1.34,0,0,0.02
1,7.7,1.38,0,0,0.02
2,118.7,1.38,0,0,0.02
3,126.2,1.38,0,0,0.02
4,125.2,1.38,0,0,0.02
5,135.7,1.38,0,0,0.02
6,140.3,1.38,0,0,0.02
7,148.6,1.38,0,0,0.02
8,140.9,1.38,0,0,0.02
9,130.6,1.38,0,0,0.02
10,134.6,1.38,0,0,0.02
11,142.3,1.38,0,0,0.02
12,142.6,1.38,0,0,0.02
13,142.5,1.38,0,0,0.02
14,143.3,1.38,0,0,0.02
15,131.4,1.38,0,0,0.02
16,131.1,1.38,0,0,0.02
17,143.5,1.38,0,0,0.02
18,137.9,1.38,0,0,0.02
19,141.7,1.38,0,0,0.02
20,136.7,1.38,0,0,0.02
21,138.1,1.38,0,0,0.02
22,139.5,1.38,0,0,0.02
23,150.9,1.38,0,0,0.02
24,141.2,1.38,0,0,0.02
25,138.4,1.38,0,0,0.02
26,148.0,1.38,0,0,0.02
27,133.4,1.38,0,0,0.02
28,141.5,1.38,0,0,0.02
29,133.8,1.38,0,0,0.02
30,140.7,1.38,0,0,0.02
31,137.8,1.38,0,0,0.02
32,126.0,1.38,0,0,0.02
33,130.8,1.38,0,0,0.02
34,145.0,1.38,0,0,0.02
35,140.8,1.38,0,0,0.02
36,138.6,1.38,0,0,0.02
37,138.0,1.38,0,0,0.02
38,145.4,1.38,0,0,0.02
39,145.5,1.38,0,0,0.02
40,145.1,1.38,0,0,0.02
41,146.2,1.38,0,0,0.02
42,140.5,1.38,0,0,0.02
43,145.0,1.38,0,0,0.02
44,138.8,1.38,0,0,0.02
45,143.0,1.38,0,0,0.02
46,144.6,1.38,0,0,0.02
47,144.2,1.38,0,0,0.02
48,144.9,1.38,0,0,0.02
49,144.2,1.38,0,0,0.02
50,140.1,1.38,0,0,0.02
51,135.1,1.38,0,0,0.02
52,128.1,1.38,0,0,0.02
53,136.7,1.38,0,0,0.02
54,139.3,1.38,0,0,0.02
55,137.8,1.38,0,0,0.02
56,138.8,1.38,0,0,0.02
57,145.8,1.38,0,0,0.02
58,148.6,1.38,0,0,0.02
59,142.5,1.38,0,0,0.02
60,133.4,1.38,0,0,0.02
61,151.6,1.38,0,0,0.02
62,142.2,1.38,0,0,0.02
63,141.6,1.38,0,0,0.02
64,127.8,1.38,0,0,0.02
65,135.0,1.38,0,0,0.02
66,134.7,1.38,0,0,0.02
67,145.9,1.38,0,0,0.02
68,134.3,1.38,0,0,0.02
69,142.3,1.38,0,0,0.02
70,137.6,1.38,0,0,0.02
