round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,119.3,1.34,0,0,0.02
1,9.0,1.38,0,0,0.02
2,208.4,1.38,0,0,0.02
3,209.8,1.38,0,0,0.02
4,214.6,1.38,0,0,0.02
5,235.7,1.38,0,0,0.02
6,239.5,1.38,0,0,0.02
7,213.6,1.38,0,0,0.02
8,233.5,1.38,0,0,0.02
9,240.2,1.38,0,0,0.02
10,236.7,1.38,0,0,0.02
11,240.4,1.38,0,0,0.02
12,237.5,1.38,0,0,0.02
13,229.7,1.38,0,0,0.02
14,244.5,1.38,0,0,0.02
15,220.1,1.38,0,0,0.02
16,256.6,1.38,0,0,0.02
17,219.9,1.38,0,0,0.02
18,262.1,1.38,0,0,0.02
19,230.8,1.38,0,0,0.02
20,228.0,1.38,0,0,0.02
21,239.3,1.38,0,0,0.02
22,234.3,1.38,0,0,0.02
23,218.6,1.38,0,0,0.02
24,233.3,1.38,0,0,0.02
25,230.2,1.38,0,0,0.02
26,250.7,1.38,0,0,0.02
27,218.1,1.38,0,0,0.02
28,227.8,1.38,0,0,0.02
29,236.9,1.38,0,0,0.02
30,233.4,1.38,0,0,0.02
31,269.1,1.38,0,0,0.02
32,213.5,1.38,0,0,0.02
33,240.5,1.38,0,0,0.02
34,262.0,1.38,0,0,0.02
35,248.5,1.38,0,0,0.02
36,239.7,1.38,0,0,0.02
37,222.6,1.38,0,0,0.02
38,252.3,1.38,0,0,0.02
39,247.4,1.38,0,0,0.02
40,239.6,1.38,0,0,0.02
41,238.2,1.38,0,0,0.02
42,229.0,1.38,0,0,0.02
43,242.4,1.39,0,0,0.02
44,241.1,1.39,0,0,0.02
45,242.4,1.39,0,0,0.02
46,234.3,1.39,0,0,0.02
47,256.9,1.39,0,0,0.02
48,237.3,1.39,0,0,0.02
49,243.0,1.39,0,0,0.02
50,225.8,1.39,0,0,0.02
51,232.4,1.39,0,0,0.02
52,228.5,1.39,0,0,0.02
53,220.3,1.39,0,0,0.02
54,248.1,1.39,0,0,0.02
55,253.5,1.39,0,0,0.02
56,249.6,1.39,0,0,0.02
57,257.1,1.39,0,0,0.02
58,247.6,1.39,0,0,0.02
59,219.9,1.39,0,0,0.02
60,232.2,1.39,0,0,0.02
61,230.8,1.39,0,0,0.02
62,221.7,1.39,0,0,0.02
63,228.1,1.39,0,0,0.02
64,234.6,1.39,0,0,0.02
65,211.8,1.39,0,0,0.02
66,256.6,1.39,0,0,0.02
67,229.7,1.39,0,0,0.02
68,244.3,1.39,0,0,0.02
69,228.0,1.39,0,0,0.02
70,227.9,1.39,0,0,0.02
71,240.9,1.39,0,0,0.02
72,223.3,1.39,0,0,0.02
73,249.9,1.39,0,0,0.02
74,230.4,1.39,0,0,0.02
75,261.5,1.39,0,0,0.02
76,264.0,1.39,0,0,0.02
77,241.4,1.39,0,0,0.02
78,233.2,1.39,0,0,0.02
79,255.6,1.39,0,0,0.02
80,224.3,1.39,0,0,0.02
81,220.9,1.39,0,0,0.02
82,227.6,1.39,0,0,0.02
83,243.1,1.39,0,0,0.02
84,246.4,1.39,0,0,0.02
85,236.5,1.39,0,0,0.02
86,234.5,1.39,0,0,0.02
87,232.9,1.39,0,0,0.02
88,257.0,1.39,0,0,0.02
89,218.4,1.39,0,0,0.02
90,231.9,1.39,0,0,0.02
91,217.0,1.39,0,0,0.02
92,235.8,1.39,0,0,0.02
93,230.5,1.39,0,0,0.02
94,251.4,1.39,0,0,0.02
95,222.6,1.39,0,0,0.02
96,239.5,1.39,0,0,0.02
97,217.4,1.39,0,0,0.02
98,248.8,1.39,0,0,0.02
99,243.8,1.39,0,0,0.02
100,243.7,1.39,0,0,0.02
101,223.9,1.39,0,0,0.02
102,226.7,1.39,0,0,0.02
103,234.3,1.39,0,0,0.02
104,229.1,1.39,0,0,0.02
105,228.3,1.39,0,0,0.02
106,235.8,1.39,0,0,0.02
107,246.3,1.39,0,0,0.02
108,237.8,1.39,0,0,0.02
109,222.3,1.39,0,0,0.02
110,253.6,1.39,0,0,0.02
111,217.4,1.39,0,0,0.02
112,219.0,1.39,0,0,0.02
113,227.6,1.39,0,0,0.02
114,225.6,1.39,0,0,0.02
115,205.3,1.39,0,0,0.02
116,219.4,1.39,0,0,0.02
117,229.7,1.39,0,0,0.02
118,225.2,1.39,0,0,0.02
119,248.5,1.39,0,0,0.02
120,238.6,1.39,0,0,0.02
