round,loss,accuracy,precision,recall,f1,global_accuracy,weighted_accuracy
0,2.3055035796346544,0.1002,0.01771837546852586,0.1002,0.018614758754610845,0.0,0.0
1,2.292573448977893,0.1577,0.06335619010994742,0.1577,0.08189632265158915,0.14434788682128913,0.1504548635409377
2,2.1294093222557744,0.2158,0.19342001270947148,0.2158,0.1447839249998969,0.20596922748833482,0.2091372588223533
3,2.3826446865178363,0.2553,0.2606301217693243,0.25529999999999997,0.19830924806035483,0.2476129259917675,0.25192442267319803
4,3.5387914361833017,0.3021,0.28322289478100565,0.30210000000000004,0.2508358414035196,0.2913074299112666,0.30000999700089975
5,3.2525311270846595,0.3527,0.36062590596717314,0.3527,0.3201808603848756,0.3485634010114563,0.3567929621113666
6,2.544213038456591,0.3471,0.3696710976981138,0.34709999999999996,0.32109444412518073,0.3473066497458734,0.3568929321203639
7,1.9575850254372706,0.3486,0.37751652440386574,0.34859999999999997,0.32122102529465607,0.3550904635055658,0.3617914625612316
8,1.8065989756885963,0.3601,0.4039609863006775,0.3601,0.34423239090536384,0.36025633969320375,0.36509047285814256
9,1.6926125212560725,0.3966,0.43349700168790256,0.3966,0.3901218814494506,0.39752913465606393,0.40137958612416275
10,1.5713000478623789,0.4317,0.4473460482460004,0.43170000000000003,0.4224552504726408,0.42854009264844994,0.4291712486254124
11,1.6272098716301253,0.4521,0.4614453692755288,0.4521,0.44230765127199884,0.43541903980208657,0.43786863940817755
12,1.5873484385164478,0.473,0.4739764592338499,0.473,0.46451250928305254,0.4621099070268169,0.4668599420173948
13,1.4494735409941855,0.496,0.4972713967487036,0.496,0.48845959802799915,0.48834424800461473,0.4967509747075877
14,1.408945611760586,0.5054,0.5110642422494853,0.5054000000000001,0.5004317016654626,0.49859474106225843,0.5063480955713286
15,1.4171347165409522,0.4877,0.503657803295033,0.48769999999999997,0.4829439588365565,0.48685004444068003,0.4939518144556633
16,1.419579107550126,0.488,0.5057111683708257,0.4879999999999999,0.4842431534418523,0.48851960073918604,0.4946516045186444
17,1.380605481847932,0.5101,0.5198865320180546,0.5101000000000001,0.5087278024094039,0.5062214980976235,0.5137458762371289
18,1.3265369753294354,0.534,0.5359017202313632,0.534,0.5324072993075852,0.5246412687703198,0.5325402379286214
19,1.328741417655462,0.5382,0.5372510297767468,0.5382,0.5335618694059019,0.5209837545483272,0.5295411376587024
20,1.355151043662542,0.5344,0.5349124190102957,0.5344,0.5286629614398175,0.5200823769996931,0.5272418274517645
21,1.309754339954521,0.5474,0.5456522845862986,0.5474,0.541984719530068,0.5344572718648791,0.5409377186843947
22,1.288579307024992,0.5474,0.5519808496890855,0.5474,0.5454966471889747,0.546904695583725,0.5524342697190843
23,1.28722557840468,0.5473,0.5573994717733846,0.5473000000000001,0.5472674865509655,0.5440237834307232,0.5514345696291113
24,1.2826976202711273,0.5491,0.561668403794666,0.5490999999999999,0.5495396618275886,0.5398633699495506,0.5469359192242327
