round,loss,accuracy,precision,recall,f1,global_accuracy,weighted_accuracy
0,2.3044898932493187,0.1008,0.015397393304370049,0.1008,0.01998799724138279,0.0,0.0
1,2.2927790231342557,0.1908,0.1169633967213417,0.1908,0.12374310391783641,0.1872625474905019,0.1872625474905019
2,2.0453144311904907,0.2545,0.3233210031061853,0.2545,0.20692740781196553,0.25254949010197963,0.2525494901019796
3,4.769431699680377,0.2947,0.23547991805623525,0.2947,0.24082692519207996,0.28904219156168764,0.28904219156168764
4,3.0172613331034213,0.2973,0.29103966437929635,0.2973,0.22262470626813896,0.29834033193361326,0.29834033193361326
5,2.0764592086212543,0.3239,0.32737258653031676,0.32389999999999997,0.30359997098302033,0.31543691261747653,0.31543691261747653
6,1.993654243553741,0.2922,0.34141152960784843,0.29219999999999996,0.2840198992511199,0.28394321135772843,0.28394321135772843
7,1.8522477466848832,0.3586,0.39773831205451343,0.3586,0.3492910608607477,0.3585282943411318,0.35852829434113176
8,1.8701700937898853,0.3981,0.4100891922809887,0.3981,0.36193188150345834,0.39342131573685263,0.39342131573685263
9,1.7506685860549347,0.4297,0.43566252836578795,0.42969999999999997,0.39770404010111143,0.4225154969006199,0.4225154969006199
10,1.593143932427032,0.4356,0.4535414996674142,0.4356,0.41424291008174274,0.43641271745650867,0.4364127174565087
11,1.518432633786262,0.4612,0.484156403916308,0.4612,0.46393022750239954,0.46720655868826233,0.46720655868826233
12,1.509214297125611,0.4662,0.5027481633827293,0.46620000000000006,0.4707263864158813,0.4647070585882824,0.4647070585882823
13,1.4236035346984863,0.4922,0.5117357805982459,0.4922000000000001,0.4820774315481356,0.4878024395120975,0.48780243951209756
14,1.4580046270467057,0.5008,0.5065093109262483,0.5008,0.48226484311882034,0.5043991201759648,0.5043991201759648
15,1.3971772344806526,0.5188,0.5123272420613906,0.5187999999999999,0.5078009799735771,0.528494301139772,0.528494301139772
16,1.3751269714741767,0.5126,0.5258857943817771,0.5126,0.5036132909823066,0.5176964607078585,0.5176964607078585
17,1.3780973123598703,0.5131,0.5343304332891736,0.5131,0.5138793837566318,0.5205958808238352,0.5205958808238352
18,1.3573421224763123,0.5234,0.5460964898025822,0.5234,0.5283512319304055,0.5273945210957808,0.5273945210957809
19,1.3450435052944134,0.5368,0.5483572676012253,0.5367999999999999,0.5347712852521228,0.5422915416916617,0.5422915416916617
20,1.3517257820201825,0.547,0.5451092892398033,0.547,0.535757604579242,0.5481903619276145,0.5481903619276145
21,1.3541794336294826,0.5513,0.5465441079492213,0.5513,0.5394930549902673,0.5546890621875624,0.5546890621875625
22,1.309764975233923,0.5575,0.5618333503723878,0.5575,0.5539311726595295,0.5638872225554888,0.563887222555489
23,1.314377421065222,0.5525,0.5714032452933779,0.5525,0.5567019252341139,0.5607878424315137,0.5607878424315137
24,1.3086253827131247,0.558,0.5810498298235419,0.5579999999999999,0.5637304512366598,0.5590881823635273,0.5590881823635273
25,1.3229001096532316,0.5659,0.5661248082806211,0.5659000000000001,0.5629445256807156,0.5665866826634672,0.5665866826634673
26,1.3818597189987762,0.5586,0.5585998721188876,0.5586,0.5459898352702357,0.5601879624075184,0.5601879624075184
27,1.3445426617996603,0.5705,0.5664739335717092,0.5704999999999999,0.5605444422219503,0.5744851029794041,0.5744851029794041
28,1.3493225695211677,0.562,0.5667556456098121,0.5619999999999999,0.5621594690831492,0.5730853829234154,0.5730853829234153
29,1.3866588903378836,0.557,0.5730990489061624,0.557,0.5593910182963996,0.563387322535493,0.563387322535493
30,1.3976084989837454,0.5593,0.5750731333762172,0.5592999999999999,0.5625089971854208,0.5641871625674865,0.5641871625674865
31,1.3855329118197477,0.5696,0.5715121092016279,0.5695999999999999,0.5693847365898541,0.5767846430713858,0.5767846430713858
32,1.440465207341351,0.5671,0.5693087245320562,0.5671,0.5619994342819177,0.575984803039392,0.5759848030393921
33,1.4409385768673089,0.574,0.5739533847093041,0.5740000000000001,0.5702125680801935,0.5765846830633873,0.5765846830633873
34,1.4657750039161006,0.5644,0.5695464405386124,0.5644,0.564539137871409,0.5699860027994401,0.5699860027994401
35,1.4649516721315021,0.5663,0.573260050136408,0.5662999999999999,0.5669298263298178,0.569386122775445,0.5693861227754449
36,1.4552652730217464,0.5706,0.5767750514977185,0.5706000000000001,0.5725990623343628,0.5721855628874225,0.5721855628874225
37,1.5258533260490321,0.5679,0.5750295121999766,0.5679,0.568112600682954,0.5731853629274145,0.5731853629274145
38,1.582056480117991,0.5679,0.5698253003586229,0.5679000000000001,0.5653969561454637,0.5752849430113978,0.5752849430113978
