round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,172.9,1.34,0,0,0.02
1,7.5,1.38,0,0,0.02
2,214.6,1.38,0,0,0.02
3,258.6,1.38,0,0,0.02
4,235.2,1.38,0,0,0.02
5,231.8,1.38,0,0,0.02
6,269.7,1.38,0,0,0.02
7,227.6,1.38,0,0,0.02
8,245.7,1.38,0,0,0.02
9,267.1,1.38,0,0,0.02
10,280.2,1.38,0,0,0.02
11,265.3,1.38,0,0,0.02
12,289.5,1.38,0,0,0.02
13,262.5,1.38,0,0,0.02
14,266.1,1.38,0,0,0.02
15,308.3,1.38,0,0,0.02
16,230.7,1.38,0,0,0.02
17,298.3,1.38,0,0,0.02
18,311.8,1.39,0,0,0.02
19,298.3,1.39,0,0,0.02
20,268.1,1.39,0,0,0.02
21,288.1,1.39,0,0,0.02
22,266.1,1.39,0,0,0.02
23,287.8,1.39,0,0,0.02
24,269.7,1.39,0,0,0.02
25,252.1,1.39,0,0,0.02
26,273.5,1.39,0,0,0.02
27,293.8,1.39,0,0,0.02
28,257.1,1.39,0,0,0.02
29,269.9,1.39,0,0,0.02
30,294.2,1.39,0,0,0.02
31,270.7,1.39,0,0,0.02
32,297.2,1.39,0,0,0.02
33,277.3,1.39,0,0,0.02
34,252.8,1.39,0,0,0.02
35,265.1,1.39,0,0,0.02
36,292.6,1.39,0,0,0.02
37,276.8,1.39,0,0,0.02
38,293.8,1.39,0,0,0.02
39,271.9,1.39,0,0,0.02
40,290.2,1.39,0,0,0.02
41,302.6,1.39,0,0,0.02
42,266.6,1.39,0,0,0.02
43,278.3,1.39,0,0,0.02
44,253.8,1.39,0,0,0.02
45,284.2,1.39,0,0,0.02
46,256.1,1.39,0,0,0.02
47,283.2,1.39,0,0,0.02
48,291.6,1.39,0,0,0.02
49,269.7,1.39,0,0,0.02
50,250.7,1.39,0,0,0.02
51,286.0,1.39,0,0,0.02
52,291.4,1.39,0,0,0.02
53,221.6,1.39,0,0,0.02
54,295.1,1.39,0,0,0.02
55,285.9,1.39,0,0,0.02
56,324.1,1.39,0,0,0.02
57,290.3,1.39,0,0,0.02
58,276.1,1.39,0,0,0.02
59,205.8,1.39,0,0,0.02
60,229.3,1.39,0,0,0.02
61,260.8,1.39,0,0,0.02
62,300.0,1.39,0,0,0.02
63,282.2,1.39,0,0,0.02
64,249.6,1.39,0,0,0.02
65,221.4,1.39,0,0,0.02
66,240.4,1.39,0,0,0.02
67,252.1,1.39,0,0,0.02
68,276.3,1.39,0,0,0.02
69,292.0,1.39,0,0,0.02
70,310.1,1.39,0,0,0.02
71,275.6,1.39,0,0,0.02
72,241.3,1.39,0,0,0.02
73,249.0,1.39,0,0,0.02
74,227.3,1.39,0,0,0.02
75,227.5,1.39,0,0,0.02
76,204.5,1.39,0,0,0.02
77,199.7,1.39,0,0,0.02
78,220.6,1.39,0,0,0.02
79,242.6,1.39,0,0,0.02
80,209.3,1.39,0,0,0.02
81,233.6,1.39,0,0,0.02
82,244.0,1.39,0,0,0.02
83,244.3,1.39,0,0,0.02
84,295.6,1.39,0,0,0.02
85,304.4,1.39,0,0,0.02
86,247.2,1.39,0,0,0.02
87,240.3,1.39,0,0,0.02
88,215.5,1.39,0,0,0.02
89,226.0,1.39,0,0,0.02
90,237.0,1.39,0,0,0.02
91,226.3,1.39,0,0,0.02
92,245.3,1.39,0,0,0.02
93,276.2,1.39,0,0,0.02
94,251.9,1.39,0,0,0.02
95,307.3,1.39,0,0,0.02
96,284.2,1.39,0,0,0.02
97,284.3,1.39,0,0,0.02
98,257.3,1.39,0,0,0.02
99,258.6,1.39,0,0,0.02
100,236.7,1.39,0,0,0.02
101,243.4,1.39,0,0,0.02
102,229.1,1.39,0,0,0.02
103,220.0,1.39,0,0,0.02
104,209.7,1.39,0,0,0.02
105,221.6,1.39,0,0,0.02
106,265.9,1.39,0,0,0.02
107,317.8,1.39,0,0,0.02
108,276.1,1.39,0,0,0.02
109,256.4,1.39,0,0,0.02
110,243.2,1.39,0,0,0.02
111,216.4,1.39,0,0,0.02
112,224.0,1.39,0,0,0.02
113,204.5,1.39,0,0,0.02
114,232.3,1.39,0,0,0.02
115,221.4,1.39,0,0,0.02
116,204.9,1.39,0,0,0.02
117,239.7,1.39,0,0,0.02
118,215.9,1.39,0,0,0.02
119,275.6,1.39,0,0,0.02
120,282.4,1.39,0,0,0.02
121,318.6,1.39,0,0,0.02
122,268.9,1.39,0,0,0.02
123,261.7,1.39,0,0,0.02
124,251.4,1.39,0,0,0.02
125,269.4,1.39,0,0,0.02
126,220.7,1.39,0,0,0.02
127,217.9,1.39,0,0,0.02
128,220.1,1.39,0,0,0.02
129,248.2,1.39,0,0,0.02
130,220.0,1.39,0,0,0.02
131,227.3,1.39,0,0,0.02
132,260.8,1.39,0,0,0.02
133,308.2,1.39,0,0,0.02
134,326.8,1.39,0,0,0.02
135,293.6,1.39,0,0,0.02
136,269.7,1.39,0,0,0.02
137,244.8,1.39,0,0,0.02
138,233.6,1.39,0,0,0.02
139,220.5,1.39,0,0,0.02
140,213.7,1.39,0,0,0.02
141,217.5,1.39,0,0,0.02
142,224.3,1.39,0,0,0.02
143,205.4,1.39,0,0,0.02
144,249.5,1.39,0,0,0.02
145,290.8,1.39,0,0,0.02
146,307.1,1.39,0,0,0.02
147,309.3,1.39,0,0,0.02
148,248.9,1.39,0,0,0.02
149,233.9,1.39,0,0,0.02
150,235.6,1.39,0,0,0.02
151,211.8,1.39,0,0,0.02
152,255.4,1.39,0,0,0.02
153,212.2,1.39,0,0,0.02
154,232.7,1.39,0,0,0.02
155,260.6,1.39,0,0,0.02
156,283.9,1.39,0,0,0.02
157,294.0,1.39,0,0,0.02
158,287.8,1.39,0,0,0.02
159,285.6,1.39,0,0,0.02
160,269.8,1.39,0,0,0.02
161,250.0,1.39,0,0,0.02
162,232.8,1.39,0,0,0.02
163,305.4,1.39,0,0,0.02
164,243.2,1.39,0,0,0.02
165,205.9,1.39,0,0,0.02
166,219.5,1.39,0,0,0.02
167,222.6,1.39,0,0,0.02
168,256.9,1.39,0,0,0.02
169,280.7,1.39,0,0,0.02
170,259.9,1.39,0,0,0.02
171,308.3,1.39,0,0,0.02
172,331.3,1.39,0,0,0.02
173,293.5,1.39,0,0,0.02
174,295.7,1.39,0,0,0.02
175,269.8,1.39,0,0,0.02
176,275.0,1.39,0,0,0.02
177,271.5,1.39,0,0,0.02
178,249.0,1.39,0,0,0.02
179,232.3,1.39,0,0,0.02
180,214.5,1.39,0,0,0.02
181,215.3,1.39,0,0,0.02
182,212.4,1.39,0,0,0.02
183,235.9,1.39,0,0,0.02
184,240.7,1.39,0,0,0.02
185,251.2,1.39,0,0,0.02
186,248.8,1.39,0,0,0.02
187,293.8,1.39,0,0,0.02
188,290.0,1.39,0,0,0.02
189,271.6,1.39,0,0,0.02
190,298.8,1.39,0,0,0.02
191,284.7,1.39,0,0,0.02
192,236.7,1.39,0,0,0.02
193,221.9,1.39,0,0,0.02
194,213.5,1.39,0,0,0.02
195,251.9,1.39,0,0,0.02
196,230.3,1.39,0,0,0.02
197,211.9,1.39,0,0,0.02
198,216.0,1.39,0,0,0.02
199,216.3,1.39,0,0,0.02
200,241.3,1.39,0,0,0.02
201,252.6,1.39,0,0,0.02
202,297.0,1.39,0,0,0.02
203,318.1,1.39,0,0,0.02
204,279.9,1.39,0,0,0.02
205,267.2,1.39,0,0,0.02
206,282.6,1.39,0,0,0.02
207,285.1,1.39,0,0,0.02
208,302.3,1.39,0,0,0.02
209,250.1,1.39,0,0,0.02
210,240.7,1.39,0,0,0.02
211,219.6,1.39,0,0,0.02
212,230.6,1.39,0,0,0.02
213,223.9,1.39,0,0,0.02
214,231.0,1.39,0,0,0.02
215,231.7,1.39,0,0,0.02
216,224.0,1.39,0,0,0.02
217,230.0,1.39,0,0,0.02
218,236.0,1.39,0,0,0.02
219,216.0,1.39,0,0,0.02
220,211.1,1.39,0,0,0.02
221,231.1,1.39,0,0,0.02
222,247.2,1.39,0,0,0.02
223,276.3,1.39,0,0,0.02
224,294.7,1.39,0,0,0.02
225,299.5,1.39,0,0,0.02
226,272.0,1.39,0,0,0.02
227,261.3,1.39,0,0,0.02
228,258.5,1.39,0,0,0.02
229,238.2,1.39,0,0,0.02
230,210.0,1.39,0,0,0.02
231,211.5,1.39,0,0,0.02
232,214.7,1.39,0,0,0.02
233,223.0,1.39,0,0,0.02
234,254.5,1.39,0,0,0.02
235,247.0,1.39,0,0,0.02
236,242.3,1.39,0,0,0.02
237,241.0,1.39,0,0,0.02
238,280.7,1.39,0,0,0.02
239,277.3,1.39,0,0,0.02
240,279.4,1.39,0,0,0.02
241,286.1,1.39,0,0,0.02
242,296.7,1.39,0,0,0.02
243,261.2,1.39,0,0,0.02
244,244.7,1.39,0,0,0.02
245,225.1,1.39,0,0,0.02
246,219.5,1.39,0,0,0.02
247,224.8,1.39,0,0,0.02
248,251.0,1.39,0,0,0.02
249,270.2,1.39,0,0,0.02
250,305.6,1.39,0,0,0.02
251,284.8,1.39,0,0,0.02
252,254.0,1.39,0,0,0.02
253,243.0,1.39,0,0,0.02
254,230.1,1.39,0,0,0.02
255,273.5,1.39,0,0,0.02
256,243.3,1.39,0,0,0.02
257,295.3,1.39,0,0,0.02
258,300.8,1.39,0,0,0.02
259,284.4,1.39,0,0,0.02
260,276.2,1.39,0,0,0.02
261,302.2,1.39,0,0,0.02
262,287.4,1.39,0,0,0.02
263,255.1,1.39,0,0,0.02
264,253.3,1.39,0,0,0.02
265,238.8,1.39,0,0,0.02
266,237.5,1.39,0,0,0.02
267,230.8,1.39,0,0,0.02
268,228.7,1.39,0,0,0.02
269,235.8,1.39,0,0,0.02
270,246.3,1.39,0,0,0.02
271,277.1,1.39,0,0,0.02
272,345.3,1.39,0,0,0.02
273,265.0,1.39,0,0,0.02
274,238.4,1.39,0,0,0.02
275,231.0,1.39,0,0,0.02
276,224.5,1.39,0,0,0.02
277,231.0,1.39,0,0,0.02
278,239.5,1.39,0,0,0.02
279,217.2,1.39,0,0,0.02
280,225.5,1.39,0,0,0.02
281,201.7,1.39,0,0,0.02
282,310.8,1.39,0,0,0.02
283,303.5,1.39,0,0,0.02
284,290.2,1.39,0,0,0.02
285,264.9,1.39,0,0,0.02
286,258.5,1.39,0,0,0.02
287,248.3,1.39,0,0,0.02
288,247.9,1.39,0,0,0.02
289,240.8,1.39,0,0,0.02
290,264.3,1.39,0,0,0.02
291,226.7,1.39,0,0,0.02
292,221.4,1.39,0,0,0.02
293,216.8,1.39,0,0,0.02
294,277.6,1.39,0,0,0.02
295,285.1,1.39,0,0,0.02
296,290.7,1.39,0,0,0.02
297,307.5,1.39,0,0,0.02
298,308.5,1.39,0,0,0.02
299,287.5,1.39,0,0,0.02
300,234.5,1.39,0,0,0.02
301,220.9,1.39,0,0,0.02
302,238.5,1.39,0,0,0.02
303,224.9,1.39,0,0,0.02
304,210.4,1.39,0,0,0.02
305,219.2,1.39,0,0,0.02
306,220.9,1.39,0,0,0.02
307,225.4,1.39,0,0,0.02
308,265.7,1.39,0,0,0.02
309,274.5,1.39,0,0,0.02
310,301.0,1.39,0,0,0.02
311,291.9,1.39,0,0,0.02
312,326.3,1.39,0,0,0.02
313,268.9,1.39,0,0,0.02
314,262.0,1.39,0,0,0.02
315,242.9,1.39,0,0,0.02
316,219.6,1.39,0,0,0.02
317,237.4,1.39,0,0,0.02
318,218.4,1.39,0,0,0.02
319,235.7,1.39,0,0,0.02
320,235.3,1.39,0,0,0.02
321,265.4,1.39,0,0,0.02
322,318.9,1.39,0,0,0.02
323,295.6,1.39,0,0,0.02
324,295.2,1.39,0,0,0.02
325,257.0,1.39,0,0,0.02
326,203.4,1.39,0,0,0.02
327,221.0,1.39,0,0,0.02
328,219.8,1.39,0,0,0.02
329,264.6,1.39,0,0,0.02
330,273.6,1.39,0,0,0.02
331,338.9,1.39,0,0,0.02
332,282.8,1.39,0,0,0.02
333,250.8,1.39,0,0,0.02
334,220.6,1.39,0,0,0.02
335,238.7,1.39,0,0,0.02
336,214.2,1.39,0,0,0.02
337,240.6,1.39,0,0,0.02
338,226.3,1.40,0,0,0.02
339,201.7,1.40,0,0,0.02
340,216.1,1.40,0,0,0.02
341,220.7,1.40,0,0,0.02
342,245.7,1.40,0,0,0.02
343,251.2,1.40,0,0,0.02
344,217.7,1.40,0,0,0.02
345,228.1,1.40,0,0,0.02
346,234.6,1.40,0,0,0.02
347,235.6,1.40,0,0,0.02
348,263.2,1.40,0,0,0.02
349,285.1,1.40,0,0,0.02
350,272.2,1.40,0,0,0.02
351,270.2,1.40,0,0,0.02
352,313.9,1.41,0,0,0.02
353,306.4,1.41,0,0,0.02
354,280.7,1.41,0,0,0.02
355,252.1,1.41,0,0,0.02
356,225.2,1.41,0,0,0.02
357,234.5,1.41,0,0,0.02
358,233.6,1.41,0,0,0.02
359,213.1,1.41,0,0,0.02
360,203.7,1.41,0,0,0.02
361,225.7,1.41,0,0,0.02
362,248.7,1.41,0,0,0.02
363,269.1,1.41,0,0,0.02
364,318.1,1.41,0,0,0.02
365,465.7,1.41,0,0,0.02
366,292.4,1.41,0,0,0.02
367,277.6,1.41,0,0,0.02
368,236.4,1.41,0,0,0.02
369,200.8,1.41,0,0,0.02
370,233.6,1.41,0,0,0.02
371,214.1,1.41,0,0,0.02
372,221.7,1.41,0,0,0.02
373,280.8,1.41,0,0,0.02
374,223.4,1.41,0,0,0.02
375,308.1,1.42,0,0,0.02
376,296.6,1.42,0,0,0.02
377,294.6,1.42,0,0,0.02
378,238.2,1.42,0,0,0.02
379,232.9,1.42,0,0,0.02
380,201.6,1.42,0,0,0.02
381,221.8,1.42,0,0,0.02
382,229.1,1.42,0,0,0.02
383,242.1,1.42,0,0,0.02
384,305.5,1.42,0,0,0.02
385,294.4,1.42,0,0,0.02
386,287.9,1.42,0,0,0.02
387,248.0,1.42,0,0,0.02
388,225.9,1.42,0,0,0.02
389,248.7,1.42,0,0,0.02
390,214.6,1.42,0,0,0.02
391,252.4,1.42,0,0,0.02
392,262.1,1.42,0,0,0.02
393,322.2,1.42,0,0,0.02
394,298.3,1.42,0,0,0.02
395,272.6,1.42,0,0,0.02
396,247.4,1.42,0,0,0.02
397,217.5,1.42,0,0,0.02
398,227.8,1.42,0,0,0.02
399,225.8,1.42,0,0,0.02
400,226.7,1.42,0,0,0.02
401,218.5,1.42,0,0,0.02
402,237.1,1.42,0,0,0.02
403,212.2,1.42,0,0,0.02
404,266.7,1.42,0,0,0.02
405,299.8,1.42,0,0,0.02
406,317.6,1.42,0,0,0.02
407,283.4,1.42,0,0,0.02
408,279.9,1.42,0,0,0.02
409,227.4,1.42,0,0,0.02
410,228.9,1.42,0,0,0.02
411,234.0,1.42,0,0,0.02
412,217.8,1.42,0,0,0.02
413,224.2,1.42,0,0,0.02
414,223.1,1.42,0,0,0.02
415,213.2,1.42,0,0,0.02
416,212.0,1.42,0,0,0.02
417,222.7,1.42,0,0,0.02
418,225.1,1.42,0,0,0.02
419,219.4,1.42,0,0,0.02
420,274.5,1.42,0,0,0.02
421,305.8,1.42,0,0,0.02
422,279.5,1.42,0,0,0.02
423,264.5,1.42,0,0,0.02
424,214.3,1.42,0,0,0.02
425,249.9,1.42,0,0,0.02
426,222.2,1.42,0,0,0.02
427,241.0,1.42,0,0,0.02
428,235.8,1.42,0,0,0.02
429,212.1,1.42,0,0,0.02
430,236.5,1.42,0,0,0.02
431,213.8,1.42,0,0,0.02
432,227.8,1.42,0,0,0.02
433,241.9,1.42,0,0,0.02
