round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,104.6,1.34,0,0,0.02
1,7.1,1.38,0,0,0.02
2,214.1,1.38,0,0,0.02
3,222.2,1.38,0,0,0.02
4,238.3,1.38,0,0,0.02
5,230.0,1.38,0,0,0.02
6,261.1,1.39,0,0,0.02
7,252.7,1.39,0,0,0.02
8,236.6,1.39,0,0,0.02
9,248.2,1.39,0,0,0.02
10,275.7,1.39,0,0,0.02
11,251.4,1.39,0,0,0.02
12,250.4,1.39,0,0,0.02
13,245.6,1.39,0,0,0.02
14,233.8,1.39,0,0,0.02
15,246.2,1.39,0,0,0.02
16,261.6,1.39,0,0,0.02
17,254.3,1.39,0,0,0.02
18,257.7,1.39,0,0,0.02
19,243.1,1.39,0,0,0.02
20,226.4,1.39,0,0,0.02
21,259.4,1.39,0,0,0.02
22,249.7,1.39,0,0,0.02
23,230.3,1.39,0,0,0.02
24,261.2,1.39,0,0,0.02
25,246.0,1.39,0,0,0.02
26,253.7,1.39,0,0,0.02
27,270.1,1.39,0,0,0.02
28,258.6,1.39,0,0,0.02
29,247.8,1.39,0,0,0.02
30,246.3,1.39,0,0,0.02
31,260.2,1.39,0,0,0.02
32,259.4,1.39,0,0,0.02
33,250.8,1.39,0,0,0.02
34,248.4,1.39,0,0,0.02
35,246.6,1.39,0,0,0.02
36,281.3,1.39,0,0,0.02
37,266.5,1.39,0,0,0.02
38,243.7,1.39,0,0,0.02
39,239.8,1.39,0,0,0.02
40,278.1,1.39,0,0,0.02
41,258.0,1.39,0,0,0.02
42,252.2,1.39,0,0,0.02
43,255.9,1.39,0,0,0.02
44,250.0,1.39,0,0,0.02
45,269.2,1.39,0,0,0.02
46,272.8,1.39,0,0,0.02
47,240.1,1.39,0,0,0.02
48,264.3,1.39,0,0,0.02
49,247.4,1.39,0,0,0.02
50,244.2,1.39,0,0,0.02
51,249.2,1.39,0,0,0.02
52,231.3,1.39,0,0,0.02
53,238.8,1.39,0,0,0.02
54,256.1,1.39,0,0,0.02
55,252.7,1.39,0,0,0.02
56,264.9,1.39,0,0,0.02
57,272.1,1.39,0,0,0.02
58,268.6,1.39,0,0,0.02
59,254.1,1.39,0,0,0.02
60,245.0,1.39,0,0,0.02
61,261.1,1.39,0,0,0.02
62,230.0,1.39,0,0,0.02
63,268.6,1.39,0,0,0.02
64,258.0,1.39,0,0,0.02
65,257.3,1.39,0,0,0.02
66,239.3,1.39,0,0,0.02
67,257.5,1.39,0,0,0.02
68,257.5,1.39,0,0,0.02
69,266.4,1.39,0,0,0.02
70,255.0,1.39,0,0,0.02
71,260.3,1.39,0,0,0.02
72,258.7,1.39,0,0,0.02
73,260.6,1.39,0,0,0.02
74,236.4,1.39,0,0,0.02
75,253.5,1.39,0,0,0.02
76,243.3,1.39,0,0,0.02
77,264.2,1.39,0,0,0.02
78,273.3,1.39,0,0,0.02
79,235.7,1.39,0,0,0.02
80,239.1,1.39,0,0,0.02
81,256.7,1.39,0,0,0.02
82,260.7,1.39,0,0,0.02
83,247.7,1.39,0,0,0.02
84,257.7,1.39,0,0,0.02
85,242.8,1.39,0,0,0.02
86,251.8,1.39,0,0,0.02
87,227.3,1.39,0,0,0.02
88,260.2,1.39,0,0,0.02
89,243.6,1.39,0,0,0.02
90,257.7,1.39,0,0,0.02
91,264.9,1.39,0,0,0.02
92,275.9,1.39,0,0,0.02
93,257.4,1.39,0,0,0.02
94,239.5,1.39,0,0,0.02
95,255.9,1.39,0,0,0.02
96,259.5,1.39,0,0,0.02
97,263.4,1.39,0,0,0.02
98,235.2,1.39,0,0,0.02
99,256.5,1.39,0,0,0.02
100,253.7,1.39,0,0,0.02
101,255.0,1.39,0,0,0.02
102,230.9,1.39,0,0,0.02
103,249.6,1.39,0,0,0.02
104,263.3,1.39,0,0,0.02
105,253.9,1.39,0,0,0.02
