round,loss,accuracy,precision,recall,f1,global_accuracy,weighted_accuracy
0,2.3044954372357718,0.1012,0.02624554443078201,0.1012,0.04004618505133392,0.0,0.0
1,2.223450286478936,0.1966,0.1500206588643301,0.19660000000000002,0.11721934131155036,0.18680867411320343,0.19124262721183644
2,2.537911395483379,0.2294,0.31167646287774203,0.22940000000000005,0.17953484773473066,0.22598921782879813,0.23173048085574327
3,3.0635646385482596,0.2977,0.3479541801933815,0.29769999999999996,0.2519775765283067,0.2917909689663393,0.29371188643406976
4,3.4518038894556744,0.2776,0.25993756923111333,0.27759999999999996,0.22324041998946392,0.27520692141966285,0.28481455563331
5,2.3671323045899597,0.2545,0.26800087578590026,0.25449999999999995,0.20090123645015073,0.2382375505809792,0.25442367289813056
6,1.791364796553986,0.3248,0.37766601495544877,0.3248,0.3012498058062172,0.3175232577954154,0.3307007897630711
7,1.6226842403411865,0.4156,0.4243223281949621,0.41559999999999997,0.4009879744944248,0.42130110403239523,0.419074277716685
8,1.6848285002044485,0.4263,0.435195945440013,0.4263,0.41776865134932084,0.43699602264591136,0.432370288913326
9,1.5427550635760343,0.4535,0.45062385833864027,0.4534999999999999,0.4458418009934766,0.45558145896037433,0.4580625812256323
10,1.6888910547087463,0.4242,0.4416981816461313,0.4242,0.41179606690326265,0.41749620973554835,0.4311706488053584
11,1.6207941921451423,0.4081,0.45968629716765985,0.40809999999999996,0.3906030058195615,0.4051538942851011,0.4214735579326202
12,1.4754962000665786,0.4727,0.4956891966635978,0.4727,0.47014419925595796,0.47140816810651304,0.481555533339998
13,1.4827125645891022,0.4864,0.5044352015972822,0.4864,0.48247750070913,0.49511553761027455,0.4943516944916525
14,1.5231111336357985,0.488,0.515262291759129,0.488,0.483080995422828,0.49755673183569255,0.4960511846446066
15,1.4115330659890477,0.5054,0.5167087019178235,0.5054,0.4989884036373125,0.5102403531734127,0.5160451864440668
16,1.4170521120481854,0.5107,0.5198236665404131,0.5107,0.5063846990123049,0.49337071937828897,0.5068479456163151
17,1.3963333458840093,0.5158,0.52587378806066,0.5157999999999999,0.5070786307821991,0.49776660232912523,0.5128461461561532
18,1.3220140918900696,0.5428,0.5401841741955399,0.5428,0.5346143245454831,0.5325232106040179,0.5431370588823353
19,1.452255380304554,0.5176,0.5239706162572132,0.5176000000000001,0.5145617444447065,0.5212132766288508,0.5260421873437968
20,1.4706186961524095,0.5187,0.54661951896461,0.5186999999999999,0.521321195491787,0.5158679627449513,0.5191442567229831
21,1.3465737376031996,0.5439,0.5645029750933986,0.5439,0.5435134529876191,0.5293661209033363,0.5356393082075377
22,1.3963765132276318,0.5347,0.5402933101490772,0.5347000000000001,0.5308068635793937,0.5158319230089894,0.5265420373887834
23,1.3910623985000803,0.5369,0.5315460358791287,0.5369,0.5235861459272635,0.5176813646013749,0.5323402979106268
24,1.3616746543328972,0.5458,0.5423732305070255,0.5458000000000001,0.5352744221458752,0.5350110665078877,0.549035289413176
25,1.3934786017936995,0.5488,0.5557654172884086,0.5488,0.5472921889362172,0.5397373600749341,0.5480355893232031
26,1.4737073711202116,0.5358,0.568537785197768,0.5358,0.5403601903882438,0.5301388840864522,0.5343396980905728
27,1.411845880218699,0.5477,0.5602143223961062,0.5477000000000001,0.5479000520515397,0.5369974622958421,0.5436369089273217
28,1.4055817866627174,0.5523,0.545476209213487,0.5523,0.5453689625292518,0.5393137038317286,0.5500349895031491
29,1.4465055510967593,0.546,0.5362326290864398,0.546,0.5357058980649698,0.5339605266652294,0.5474357692692192
30,1.4300780100158499,0.549,0.5455760542297499,0.5489999999999999,0.5421792079220149,0.5479010901962905,0.5594321703488954
31,1.4802880845492399,0.5499,0.5620086554994981,0.5499,0.5505312144614785,0.5482769529280563,0.5576327101869439
32,1.565308326407324,0.5376,0.5596192163241336,0.5376000000000001,0.5409844801384429,0.5392590858235361,0.5451364590622814
33,1.5349572353725192,0.5434,0.5521179959898914,0.5433999999999999,0.543892498332678,0.5447530352363913,0.5512346296111167
34,1.5215580206883104,0.5497,0.547441312726998,0.5497,0.5460456770216295,0.5374674630922437,0.5477356792962111
35,1.5401366436028783,0.5476,0.5419860627856841,0.5475999999999999,0.5413004908931768,0.5379893297595796,0.5477356792962111
36,1.5784582593772984,0.5521,0.5521556110488607,0.5521,0.5475307657099144,0.5467498694266718,0.5559332200339898
37,1.625300653373139,0.5442,0.5554920397694852,0.5442000000000001,0.5420549797552159,0.5440464903781889,0.5531340597820654
38,1.6343548328061648,0.5414,0.5525508161711171,0.5414,0.5414145080594752,0.5426140476976818,0.5501349595121463
39,1.6240929516055915,0.5388,0.5482866022487638,0.5388,0.5385233866702832,0.5409956191186697,0.5448365490352894
40,1.649543649033655,0.5376,0.5409783489866612,0.5376,0.5361486322608233,0.5412281926118082,0.5457362791162651
41,1.6846095685717426,0.5425,0.5394116392060759,0.5425,0.5396333383610761,0.5400995411606165,0.5484354693591923
42,1.7291335818133777,0.5421,0.5442610375127248,0.5421,0.5388979329512433,0.5389470927091847,0.5477356792962111
43,1.7848378782030903,0.5333,0.5430688750683903,0.5333,0.5299569665276697,0.5317701512329099,0.5407377786664
44,1.802609941627406,0.537,0.5485093849537019,0.537,0.536919295401723,0.5337952739101688,0.5419374187743677
45,1.852974983710277,0.5336,0.5436107541807498,0.5336000000000001,0.5335259217682007,0.5355798734775205,0.5427371788463461
46,1.8285607899291605,0.5383,0.5428434471939074,0.5383,0.536457720033684,0.5299337663293742,0.5386384084774568
47,1.818104870711701,0.5413,0.5393628844549853,0.5412999999999999,0.5380320343243182,0.5327513201307522,0.5427371788463461
48,1.9233101772356638,0.5357,0.5441106634033802,0.5357000000000001,0.531242399592595,0.5258756335475601,0.5361391582525242
49,1.9691852768765221,0.5394,0.5444868267488869,0.5393999999999999,0.5350148216701897,0.5347122438895427,0.544036788963311
50,1.9748249084134646,0.544,0.5436556311280734,0.5439999999999999,0.5417305161193042,0.5386046258325586,0.5486354093771868
51,1.9932859532440765,0.5404,0.5438434901281057,0.5404,0.5382595649869304,0.5359774610281348,0.5434369689093272
52,1.9838960231104983,0.5387,0.5453846874058084,0.5387000000000001,0.5377219423174521,0.5303080042542837,0.5375387383784864
53,1.9825438170493404,0.5429,0.544695581668745,0.5429,0.5422796723633134,0.5328593049844144,0.5408377486753974
54,2.0651481000682974,0.5368,0.5451828774052213,0.5368,0.5368067380054861,0.5330913884707508,0.5404378686394081
55,2.111249458940723,0.5367,0.544492523824246,0.5367,0.5347677622700714,0.5289868936330597,0.5388383484954513
56,2.1232416871227797,0.5428,0.5419433823128184,0.5428000000000001,0.5379237686178981,0.5341083497157757,0.5451364590622814
57,2.120953125289724,0.5333,0.5309149565936743,0.5332999999999999,0.5283066998222667,0.5327782651171694,0.5421373587923622
58,2.092012016079094,0.5312,0.5350958041191277,0.5311999999999999,0.5288919688842701,0.530104720987404,0.5391382585224432
59,2.1099661045436617,0.5309,0.5397648417302887,0.5309,0.5318863291389653,0.5288621453663901,0.5390382885134459
60,2.197022359582442,0.5338,0.5400796331400568,0.5338,0.5338350335916096,0.5302287729287053,0.5403378986304109
61,2.293747492983371,0.5415,0.5400729799781399,0.5415,0.5383622878417966,0.5257729635909653,0.535739278216535
62,2.234870924225336,0.5377,0.5336944219124146,0.5377,0.5331713371328212,0.5306629718515438,0.5389383185044486
63,2.20796505408951,0.5291,0.5338387776080714,0.5291,0.5283600692567553,0.5297195151080146,0.5371388583424973
64,2.227466616449477,0.5229,0.5345642378352116,0.5228999999999999,0.5243412691283934,0.5260611828377793,0.5323402979106268
65,2.2112143326409255,0.5287,0.5387125752590036,0.5287000000000001,0.5307877786996524,0.5265304698175056,0.5343396980905728
66,2.2912970871864995,0.5315,0.5317054879371884,0.5315000000000001,0.5290216382879545,0.5269010166476348,0.5375387383784864
67,2.3560478973992263,0.5267,0.5250265826143435,0.5267000000000001,0.5237317642082513,0.5217917645418036,0.5340397880635809
68,2.372629650031464,0.5354,0.5363352058257537,0.5353999999999999,0.5331799905508302,0.5296089595874592,0.5390382885134459
69,2.3387790737272818,0.5286,0.5371330137130699,0.5286,0.5292609609660804,0.5252106307908263,0.5328401479556133
70,2.275654764115056,0.525,0.5323626139873117,0.525,0.5251825031944111,0.5255666295241634,0.5319404178746376
71,2.2829075040696543,0.5299,0.5383298266463106,0.5298999999999999,0.5300148473054797,0.5234550845155836,0.5290412876137159
72,2.3925756729101835,0.5305,0.5309399525104712,0.5305000000000001,0.5280896782961849,0.5191188265111579,0.5295411376587024
73,2.4877785549888127,0.5263,0.5268278780391503,0.5263,0.5230306962329456,0.5172834463846532,0.528741377586724
74,2.463064856167081,0.5287,0.5309333824783815,0.5287000000000001,0.5279125144286422,0.5220226712048843,0.5311406578026592
75,2.48612381838545,0.5219,0.531227142747235,0.5219,0.5227693305451477,0.5234440898015768,0.529741077676697
76,2.4305489033083374,0.5231,0.5311121777603358,0.5231,0.5227349758308895,0.5270899399048805,0.532740177946616
77,2.3284562433822247,0.523,0.52946445741096,0.5230000000000001,0.5228257508106502,0.5265046664938683,0.532040387883635
78,2.422472808934465,0.5278,0.5276000734039649,0.5278,0.5267294696847857,0.5238025333246655,0.5315405378386484
79,2.579462971868394,0.5284,0.5309458005122227,0.5283999999999999,0.5279751946975154,0.5226941674165998,0.5299410176946916
80,2.597205050383942,0.5252,0.5338482821667768,0.5252,0.5255903508227706,0.5236511892368472,0.5338398480455864
81,2.562166484096382,0.5216,0.5340589358272654,0.5216,0.5233647431788301,0.5175488238601418,0.5280415875237429
82,2.471418892280965,0.5265,0.534019856673749,0.5265,0.5257599892130818,0.5181387197674198,0.5279416175147456
83,2.450019007996668,0.5213,0.5245921086728809,0.5213,0.5187193026772822,0.5117448780496507,0.5205438368489453
84,2.5437544810621042,0.5237,0.5234912614448846,0.5237,0.5218030074347492,0.5126485794058676,0.5221433569929022
85,2.6122805845888357,0.525,0.5324153862935502,0.525,0.5249581757049466,0.5209901135947649,0.5326402079376187
86,2.588587237309806,0.5287,0.5383881404237769,0.5287,0.5301795283462447,0.5214338415009868,0.5332400279916025
87,2.576330452025691,0.5206,0.5314561889445526,0.5206000000000001,0.5225519781295292,0.5192458684618605,0.5272418274517645
88,2.471028027655203,0.5259,0.5360312781483175,0.5258999999999999,0.5252657055192,0.5197473290209991,0.5255423372988104
89,2.452040338818031,0.5128,0.5168848618012482,0.5128,0.5120665306581638,0.514959011596359,0.5211436569029291
90,2.598509038550944,0.5072,0.5153458586591882,0.5072,0.5067228023408241,0.5052241825873195,0.5135459362191342
91,2.690876725353772,0.5088,0.5251635968137722,0.5088000000000001,0.5090375671650544,0.5058520131326166,0.515445366390083
92,2.684293082997769,0.5192,0.5263358443711945,0.5191999999999999,0.5188444330914769,0.5230675736758169,0.5328401479556133
93,2.6050144931938073,0.521,0.5226206232276442,0.521,0.5184374833808573,0.518463860321874,0.5272418274517645
94,2.508895388132409,0.5256,0.5254592010177042,0.5256000000000001,0.5219452313142952,0.5191006157498469,0.5284414675597321
95,2.5205138061620014,0.5265,0.5283953052268228,0.5265,0.5264988868007376,0.5247317369355057,0.5315405378386484
96,2.6502603051028673,0.5138,0.5303043665562722,0.5138,0.5165934258581679,0.5171386414287554,0.5227431770468859
97,2.6536251729047753,0.5104,0.5305017570556408,0.5104,0.5127264803364495,0.5128845261693047,0.521443566929921
98,2.6076978641220285,0.5229,0.529191221017292,0.5229,0.5230822044337587,0.525919506660888,0.5351394581625513
99,2.5983034885382352,0.5304,0.5315521117948679,0.5304,0.5278140683618667,0.5173328608397969,0.5298410476856943
100,2.614259689669066,0.5299,0.5297613863136263,0.5298999999999999,0.5279259846808391,0.5167589805531408,0.5269419174247726
101,2.67151338541055,0.5109,0.5130045366540285,0.5109,0.5105899962363044,0.5115382686334099,0.519444166749975
102,2.793847672546966,0.502,0.5213367226753658,0.502,0.5031229717200503,0.5071556617301071,0.5111466560031991
103,2.817799859409091,0.5064,0.5283117791297797,0.5064,0.5082691105598814,0.5096979485467507,0.5133459962011396
104,2.7841730993005296,0.5206,0.5266075572423232,0.5206000000000001,0.5180730275156896,0.5094182521701552,0.5196441067679696
105,2.6592722844473924,0.5234,0.5219809039763289,0.5234,0.5171427826677754,0.5108064347157913,0.5228431470558832
106,2.5937932186488863,0.5147,0.5135642891023259,0.5146999999999999,0.5116687224905287,0.5172617325236741,0.523742877136859
107,2.6668624032901813,0.5113,0.5143547519396748,0.5113,0.5106670471907714,0.5225047300746537,0.5245426372088373
108,2.7492968432510954,0.516,0.5241883656947551,0.5159999999999999,0.5166756305516828,0.521865461089686,0.5242427271818454
109,2.7594719265080707,0.5141,0.5242940423691256,0.5140999999999999,0.5144967899855245,0.5181206729585647,0.5245426372088373
110,2.821506779405135,0.5077,0.5153856478956883,0.5077,0.5056495576562108,0.5126005142498422,0.5213435969209237
111,2.7610304521608957,0.5132,0.5182933232272569,0.5132,0.5104493169580921,0.5043809657767291,0.5157452764170749
112,2.6732624723941467,0.5209,0.5223055068055996,0.5209,0.5209617491317097,0.5118167462001412,0.520443866839948
113,2.693159622482107,0.5236,0.5243389197334857,0.5236,0.5224773918267857,0.5253037966399604,0.5300409877036889
114,2.834927205797992,0.5217,0.5267930504229634,0.5216999999999999,0.5224175600707871,0.5248178451559334,0.5312406278116565
115,2.7856139850012864,0.5085,0.5190884638524104,0.5085,0.5098355752281805,0.516964149176951,0.5253423972808158
116,2.7377224330660663,0.512,0.5186942282138595,0.512,0.5094217447073345,0.5075758967889841,0.5180445866240128
117,2.7210080035125155,0.5169,0.5174314752567455,0.5169,0.5126744984491025,0.5060339226003028,0.5166450064980506
