round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,121.5,1.34,0,0,0.02
1,7.5,1.38,0,0,0.02
2,216.2,1.38,0,0,0.02
3,234.0,1.38,0,0,0.02
4,259.3,1.38,0,0,0.02
5,267.0,1.38,0,0,0.02
6,246.0,1.38,0,0,0.02
7,267.2,1.38,0,0,0.02
8,281.8,1.38,0,0,0.02
9,265.9,1.38,0,0,0.02
10,263.5,1.38,0,0,0.02
11,256.6,1.38,0,0,0.02
12,298.6,1.38,0,0,0.02
13,311.0,1.38,0,0,0.02
14,286.8,1.38,0,0,0.02
15,286.3,1.38,0,0,0.02
16,284.3,1.38,0,0,0.02
17,280.1,1.38,0,0,0.02
18,278.4,1.38,0,0,0.02
19,268.8,1.38,0,0,0.02
20,277.0,1.38,0,0,0.02
21,264.7,1.38,0,0,0.02
22,270.6,1.38,0,0,0.02
23,270.3,1.38,0,0,0.02
24,257.3,1.38,0,0,0.02
25,282.9,1.38,0,0,0.02
26,278.4,1.38,0,0,0.02
27,275.5,1.38,0,0,0.02
28,265.8,1.38,0,0,0.02
29,265.9,1.38,0,0,0.02
30,264.7,1.38,0,0,0.02
31,289.9,1.38,0,0,0.02
32,274.7,1.38,0,0,0.02
33,265.5,1.38,0,0,0.02
34,255.1,1.38,0,0,0.02
35,267.1,1.38,0,0,0.02
36,239.3,1.38,0,0,0.02
37,246.8,1.38,0,0,0.02
38,272.1,1.38,0,0,0.02
39,251.1,1.38,0,0,0.02
40,265.0,1.38,0,0,0.02
41,231.0,1.38,0,0,0.02
42,267.0,1.38,0,0,0.02
43,254.0,1.38,0,0,0.02
44,267.7,1.38,0,0,0.02
45,266.6,1.39,0,0,0.02
46,279.9,1.39,0,0,0.02
47,281.8,1.39,0,0,0.02
48,258.0,1.39,0,0,0.02
49,258.0,1.39,0,0,0.02
50,251.1,1.39,0,0,0.02
51,270.4,1.39,0,0,0.02
52,255.8,1.39,0,0,0.02
53,276.0,1.39,0,0,0.02
54,255.2,1.39,0,0,0.02
55,268.9,1.39,0,0,0.02
56,262.6,1.39,0,0,0.02
57,278.6,1.39,0,0,0.02
58,268.7,1.39,0,0,0.02
59,260.6,1.39,0,0,0.02
60,271.9,1.39,0,0,0.02
61,252.6,1.39,0,0,0.02
62,274.3,1.39,0,0,0.02
63,277.4,1.39,0,0,0.02
64,252.5,1.39,0,0,0.02
65,254.4,1.39,0,0,0.02
66,269.1,1.39,0,0,0.02
67,275.8,1.39,0,0,0.02
68,248.9,1.39,0,0,0.02
69,259.6,1.39,0,0,0.02
70,268.1,1.39,0,0,0.02
71,269.9,1.39,0,0,0.02
72,255.6,1.39,0,0,0.02
73,266.1,1.39,0,0,0.02
74,255.0,1.39,0,0,0.02
75,279.2,1.39,0,0,0.02
76,287.7,1.39,0,0,0.02
77,273.6,1.39,0,0,0.02
78,276.0,1.39,0,0,0.02
79,270.4,1.39,0,0,0.02
80,260.1,1.39,0,0,0.02
81,276.1,1.39,0,0,0.02
82,284.9,1.39,0,0,0.02
83,256.7,1.39,0,0,0.02
84,276.2,1.39,0,0,0.02
85,261.3,1.39,0,0,0.02
86,270.3,1.39,0,0,0.02
87,250.8,1.39,0,0,0.02
88,263.2,1.39,0,0,0.02
89,265.3,1.39,0,0,0.02
90,255.0,1.39,0,0,0.02
91,268.0,1.39,0,0,0.02
92,242.4,1.39,0,0,0.02
93,281.2,1.39,0,0,0.02
94,260.7,1.39,0,0,0.02
