round,loss,accuracy,precision,recall,f1
0,2.3068560226054133,0.0766,0.015061349515463441,0.0766,0.02204052716086304
1,nan,0.1,0.01,0.1,0.01818181818181818
2,nan,0.1,0.01,0.1,0.01818181818181818
3,nan,0.1,0.01,0.1,0.01818181818181818
4,nan,0.1,0.01,0.1,0.01818181818181818
5,nan,0.1,0.01,0.1,0.01818181818181818
6,nan,0.1,0.01,0.1,0.01818181818181818
7,nan,0.1,0.01,0.1,0.01818181818181818
8,nan,0.1,0.01,0.1,0.01818181818181818
9,nan,0.1,0.01,0.1,0.01818181818181818
10,nan,0.1,0.01,0.1,0.01818181818181818
