round,loss,accuracy,precision,recall,f1,global_accuracy,weighted_accuracy
0,2.305918678452697,0.1,0.01,0.1,0.01818181818181818,0.0,0.0
1,2.3483028230787832,0.1545,0.03097501869789132,0.1545,0.051418838861219174,0.25733333333333336,0.25733333333333336
2,2.2860649869411804,0.1656,0.03313348971523037,0.16560000000000002,0.05519011278449382,0.2755,0.2755
3,2.234572612786595,0.1716,0.034751792524678526,0.1716,0.05766201776653419,0.289,0.289
4,2.115021803711034,0.1948,0.21591440042392346,0.1948,0.09465849293161836,0.3025833333333333,0.3025833333333333
5,2.1329727429377883,0.1903,0.21275469935049202,0.1903,0.08938716204435262,0.3014166666666667,0.30141666666666667
6,2.002419474758679,0.2473,0.2622884426221316,0.2473,0.16869333534184652,0.34141666666666665,0.34141666666666665
7,2.0449429418467266,0.2121,0.29623540928092545,0.2121,0.11617927641991724,0.32141666666666663,0.3214166666666667
8,1.9211988901790185,0.298,0.322164884174328,0.29799999999999993,0.2503036498318374,0.37108333333333327,0.3710833333333333
9,1.963437561747394,0.2412,0.3033880303290456,0.2412,0.15921942749089257,0.34933333333333333,0.34933333333333333
10,1.86047133916541,0.334,0.338589550045979,0.33399999999999996,0.3144206403796292,0.39408333333333334,0.39408333333333334
11,2.0026288802110694,0.2305,0.3262597538849654,0.2305,0.14540346393922898,0.3418333333333334,0.3418333333333333
12,1.8491992995708804,0.3476,0.36984285247915044,0.3476,0.3388679622777457,0.37516666666666665,0.37516666666666665
13,1.937252393251733,0.2582,0.3128295037458409,0.2582,0.1785951519966026,0.3666666666666667,0.36666666666666664
14,1.7993081687371941,0.355,0.3733251166954842,0.355,0.34172135107490587,0.4053333333333333,0.4053333333333333
15,1.8463279778444315,0.3043,0.3438066805294819,0.3043,0.2448097645917468,0.40149999999999997,0.4015
16,1.75827957105033,0.3773,0.3847419976248805,0.3773,0.36005067248825606,0.4355,0.4355
17,1.8056639523445805,0.3423,0.36684963119163394,0.3423,0.3129852363336415,0.42175,0.42175
18,1.7148420312736607,0.4012,0.4018563077542844,0.40119999999999995,0.3914978294300969,0.4461666666666666,0.44616666666666666
19,1.7867124291914929,0.3487,0.38007111784552444,0.34869999999999995,0.31641009563822176,0.4298333333333333,0.42983333333333335
20,1.6893085482754284,0.4053,0.4144772913934493,0.4053,0.39524454936257686,0.45649999999999996,0.4565
