round,client_id,phase,loss,accuracy,precision,recall,f1,num_examples
0,0,evaluate,1.8440091190338135,0.46425,0.6120366513792489,0.46669184441274253,0.44780189277078514,4000
0,1,evaluate,2.5100893535614013,0.0,0.0,0.0,0.0,4000
0,2,evaluate,2.53251868057251,0.0,0.0,0.0,0.0,4000
0,3,evaluate,2.090662001609802,0.29125,0.11370080198122923,0.18906400752408922,0.12039343596795872,4000
0,4,evaluate,2.2204656181335447,0.18975,0.17721979621542938,0.12743411069236926,0.14407717592445166,4000
0,5,evaluate,1.8440091190338135,0.46425,0.6120366513792489,0.46669184441274253,0.44780189277078514,4000
1,0,evaluate,1.4603340978622437,0.63325,0.3826326222799991,0.36297797445596397,0.35814025257590737,4000
1,1,evaluate,2.365658941268921,0.00275,0.2222222222222222,0.0012357568076969807,0.002448713323176475,4000
1,2,evaluate,1.9391173219680786,0.2845,0.19192482930179025,0.15864318653203724,0.11703192426269904,4000
1,3,evaluate,1.4603340978622437,0.63325,0.3826326222799991,0.36297797445596397,0.35814025257590737,4000
1,4,evaluate,2.389070640563965,0.00275,0.209375,0.0014002168866080157,0.0027806138855838184,4000
1,5,evaluate,1.819487689971924,0.363,0.31589534668887825,0.2464931257362417,0.18614371590560588,4000
2,0,evaluate,2.2777907676696776,0.0385,0.21252937538651823,0.0158964934318252,0.028148922621083122,4000
2,1,evaluate,2.196130506515503,0.075,0.31675502084721985,0.03022708107848358,0.054095485506605145,4000
2,2,evaluate,1.6019005002975464,0.41225,0.24373399062964687,0.16759027831969073,0.14429729275551437,4000
2,3,evaluate,1.2416415462493897,0.68775,0.32108196968412067,0.3061736436824096,0.3087390156180672,4000
2,4,evaluate,1.2416415462493897,0.68775,0.32108196968412067,0.3061736436824096,0.3087390156180672,4000
2,5,evaluate,1.7782978773117066,0.3355,0.22372545925907916,0.13127307917307102,0.09893674167463176,4000
3,0,evaluate,1.1910225548744202,0.69225,0.30163457492618134,0.2769863450383818,0.2877655030410435,4000
3,1,evaluate,2.056729969024658,0.168,0.2691838875351306,0.06805150757007258,0.10509426918362638,4000
3,2,evaluate,1.1910225548744202,0.69225,0.30163457492618134,0.2769863450383818,0.2877655030410435,4000
3,3,evaluate,1.9989470720291138,0.21425,0.3511913262720716,0.0858812812902315,0.13495869311396275,4000
3,4,evaluate,1.493742950439453,0.46025,0.25441342706304787,0.18677830337165874,0.18319384582449608,4000
3,5,evaluate,1.635512267112732,0.39875,0.21881335410725714,0.1568953333423972,0.14084739131276475,4000
4,0,evaluate,1.1556303997039794,0.67875,0.3108870668198275,0.2716352483009504,0.28900502983823245,4000
4,1,evaluate,1.8719455890655519,0.298,0.28717552327925466,0.12037721820615621,0.16050035739208673,4000
4,2,evaluate,1.252567898273468,0.56025,0.2768010395432282,0.22694782444954126,0.22783833465331904,4000
4,3,evaluate,1.7095319519042969,0.36375,0.3533127218460278,0.14565033296692242,0.20391531823341308,4000
4,4,evaluate,1.1556303997039794,0.67875,0.3108870668198275,0.2716352483009504,0.28900502983823245,4000
4,5,evaluate,1.6478834047317505,0.414,0.23393554950769596,0.16358465344944223,0.1677405779726387,4000
5,0,evaluate,1.0062001481056213,0.7095,0.3122291397707365,0.28378526571745677,0.29711390708658325,4000
5,1,evaluate,1.5304406356811524,0.44175,0.24269287520501748,0.17475743958652196,0.17808872952459817,4000
5,2,evaluate,1.8720067138671874,0.297,0.2991879316612141,0.11971085973460568,0.16835936775447355,4000
5,3,evaluate,1.0062001481056213,0.7095,0.3122291397707365,0.28378526571745677,0.29711390708658325,4000
5,4,evaluate,1.7416471195220948,0.35325,0.3669332614770032,0.14169360193086106,0.20289967951908658,4000
5,5,evaluate,1.1866615595817567,0.57325,0.2844569978919684,0.23168972453772524,0.23428188335886527,4000
6,0,evaluate,1.0153565216064453,0.6955,0.31864939213190413,0.2781752825494487,0.296722991690744,4000
6,1,evaluate,1.6793891277313233,0.38625,0.30160468877446067,0.15552366062272424,0.2011464325066051,4000
6,2,evaluate,1.2128731656074523,0.5745,0.2902654019372311,0.23262789199922565,0.23668233979716238,4000
6,3,evaluate,1.4609815931320191,0.46925,0.2460832616662056,0.1861060598831778,0.19624406168035033,4000
6,4,evaluate,1.0153565216064453,0.6955,0.31864939213190413,0.2781752825494487,0.296722991690744,4000
6,5,evaluate,1.6297318077087402,0.41825,0.37007506668011675,0.167030844394126,0.22772511372048418,4000
7,0,evaluate,1.608226508140564,0.423,0.3013147831680028,0.16979234692716613,0.2143342798962577,4000
7,1,evaluate,1.0464872422218323,0.67575,0.3236025799502788,0.2702596262299658,0.29354457409957435,4000
7,2,evaluate,1.0464872422218323,0.67575,0.3236025799502788,0.2702596262299658,0.29354457409957435,4000
7,3,evaluate,1.4499898824691773,0.4865,0.24974872296351447,0.1933773726882521,0.20913209520737958,4000
7,4,evaluate,1.4976681432724,0.4695,0.36689872101188403,0.18750278560863962,0.24770156818293448,4000
7,5,evaluate,1.0822832822799682,0.6245,0.292991895589705,0.2522993629089445,0.25813955010402695,4000
8,0,evaluate,1.4780786409378053,0.481,0.36548156681650196,0.1919344504373702,0.2496278327413269,4000
8,1,evaluate,1.6051269693374635,0.42575,0.3075304754356377,0.1710263301430359,0.21536307351554657,4000
8,2,evaluate,1.009467483997345,0.68525,0.3240311279014333,0.2740491607595489,0.296626682453953,4000
8,3,evaluate,1.0795553107261657,0.631,0.2980544845929642,0.2551814424174446,0.2622426512204009,4000
8,4,evaluate,1.009467483997345,0.68525,0.3240311279014333,0.2740491607595489,0.296626682453953,4000
8,5,evaluate,1.4039059257507325,0.50025,0.25417757666943963,0.19861556739559552,0.20969489067521416,4000
9,0,evaluate,1.0782781925201417,0.62675,0.3000679983908309,0.2533008319854091,0.2616367787106131,4000
9,1,evaluate,1.3753381462097167,0.50275,0.2599975068135799,0.1995563697590999,0.21001232240138218,4000
9,2,evaluate,1.6385568408966065,0.40575,0.3158770791952449,0.16282698568662113,0.21188425721815546,4000
9,3,evaluate,0.9499189138412476,0.71175,0.32545652805806996,0.28456279481238816,0.3031518738240214,4000
9,4,evaluate,1.5178112468719482,0.46825,0.37223753907004736,0.1868856429433073,0.24761065650695735,4000
9,5,evaluate,0.9499189138412476,0.71175,0.32545652805806996,0.28456279481238816,0.3031518738240214,4000
10,0,evaluate,1.312492199897766,0.53425,0.2620956867305186,0.21244012663359566,0.2240644156550407,4000
10,1,evaluate,1.0687946162223816,0.632,0.3037330181479282,0.2552751023552139,0.26680889893048554,4000
10,2,evaluate,0.9871452097892761,0.686,0.32877803221105023,0.274234182028544,0.29863484556561887,4000
10,3,evaluate,1.4148003730773926,0.50025,0.368401033424931,0.19969108000999322,0.2578920012977023,4000
10,4,evaluate,1.4956595916748048,0.4695,0.31426327643968993,0.18822920980505825,0.2304559809489894,4000
10,5,evaluate,0.9871452097892761,0.686,0.32877803221105023,0.274234182028544,0.29863484556561887,4000
11,0,evaluate,1.582347900390625,0.43625,0.31946309401781753,0.17509753003165923,0.22221621267190486,4000
11,1,evaluate,1.3851209030151368,0.52,0.3704187348691988,0.2078596568860899,0.2654224813775413,4000
11,2,evaluate,0.9769422631263733,0.66725,0.30750071376266924,0.26907827544537394,0.279114084950361,4000
11,3,evaluate,1.3597834510803222,0.516,0.26168185162247487,0.2048315893259204,0.2168740825436058,4000
11,4,evaluate,0.9484055342674256,0.70525,0.32906255035631043,0.28208235775141793,0.3034613005314076,4000
11,5,evaluate,0.9484055342674256,0.70525,0.32906255035631043,0.28208235775141793,0.3034613005314076,4000
12,0,evaluate,0.8946818771362305,0.71975,0.3270669756569549,0.2876127320966503,0.304231225128324,4000
12,1,evaluate,1.3606640214920045,0.51275,0.2667190930487534,0.20366513194447214,0.21565323041617238,4000
12,2,evaluate,1.4522918167114258,0.49275,0.3745161788367152,0.19681651304254005,0.25756726618969017,4000
12,3,evaluate,0.8946818771362305,0.71975,0.3270669756569549,0.2876127320966503,0.304231225128324,4000
12,4,evaluate,1.5776982870101928,0.4345,0.32428354066650933,0.17453219241688095,0.22452548184226834,4000
12,5,evaluate,1.0436810102462768,0.63725,0.3074841480907179,0.25727293160193143,0.2669162849307484,4000
13,0,evaluate,1.250505581855774,0.54925,0.2642956204158068,0.2182040510091893,0.22812577969930317,4000
13,1,evaluate,0.931491189956665,0.697,0.3316478595327622,0.2788154522986285,0.3027497559235307,4000
13,2,evaluate,0.931491189956665,0.697,0.3316478595327622,0.2788154522986285,0.3027497559235307,4000
13,3,evaluate,1.4603327522277831,0.47875,0.31731859705289994,0.19189273444220684,0.2332874238679345,4000
13,4,evaluate,1.0629160656929015,0.6425,0.31252832586680235,0.2588504107525028,0.27588887676696455,4000
13,5,evaluate,1.3888660397529602,0.52225,0.3711039243813256,0.20858915949313514,0.2666432952578018,4000
14,0,evaluate,1.5024035167694092,0.4645,0.3175492814580977,0.18618980698336568,0.230660015585455,4000
14,1,evaluate,0.8985619430541992,0.71075,0.3342198262754586,0.28428733563624914,0.3067191302230797,4000
14,2,evaluate,0.8985619430541992,0.71075,0.3342198262754586,0.28428733563624914,0.3067191302230797,4000
14,3,evaluate,1.2799176096916198,0.5425,0.2677591512288128,0.21552298680163634,0.22803789180913334,4000
14,4,evaluate,0.9502982349395752,0.6835,0.3146849216511851,0.27571420303577754,0.2857581895219103,4000
14,5,evaluate,1.3400205821990967,0.53625,0.37106856974345803,0.21410184291172857,0.27053549857438675,4000
15,0,evaluate,1.0200617518424988,0.661,0.3156869329731914,0.2665622431942985,0.2788760300774781,4000
