round,loss,accuracy,precision,recall,f1,global_accuracy,weighted_accuracy
0,2.3055433834655377,0.0999,0.009994997498749375,0.0999,0.0181718963165075,0.0,0.0
1,2.036663342125808,0.2641,0.3173244737623146,0.26409999999999995,0.1942836103401859,0.2624992489041094,0.26562031390582824
2,1.6557257220714907,0.4017,0.4028194907360715,0.40170000000000006,0.366834912370496,0.39593893877855546,0.39988003598920324
3,1.5292185137543497,0.4399,0.44461967553433646,0.43990000000000007,0.4269949255491968,0.43971665795911646,0.44156752974107766
4,1.453705820856215,0.4703,0.46905752904537634,0.47030000000000005,0.45486190735043175,0.45880483808618405,0.46666000199940016
5,1.4241861497299582,0.4825,0.49114956582613534,0.48250000000000004,0.47149243314512096,0.4834465952292313,0.48705388383484954
6,1.3743065142933326,0.5,0.5080637756498039,0.5000000000000001,0.4958375250673063,0.49982454912775354,0.5070478856343097
7,1.3268808156629153,0.5177,0.521682643486989,0.5177,0.5026986804623232,0.5140235371362362,0.5199440167949615
8,1.2886654500719867,0.5388,0.5393676902044124,0.5388,0.5286660373045581,0.5274214744941678,0.5370388883335
9,1.2455781547329094,0.5572,0.5503651239692029,0.5572000000000001,0.5504042906009197,0.5445064526344978,0.5534339698090572
10,1.2467500424083275,0.5566,0.5578131013589159,0.5566000000000001,0.5494199125820509,0.5424789114852319,0.5537338798360492
11,1.2148836156989955,0.5671,0.5730632899179667,0.5670999999999999,0.5628868018379436,0.5538283269173085,0.5622313306008198
12,1.1991477525686915,0.5727,0.5762286363823856,0.5727,0.5691197247543648,0.5658048192240666,0.5726282115365391
13,1.17853222768518,0.5784,0.5791935178953541,0.5784,0.5747332057387531,0.5748721748957176,0.5816255123462961
14,1.1834116751634622,0.5814,0.5868332522919887,0.5813999999999999,0.5793543842590274,0.5743650912972603,0.5854243726881936
15,1.1455209881444521,0.5899,0.5907685554168868,0.5899,0.5876556222013279,0.5872625795553854,0.5958212536239128
16,1.150346244437785,0.5881,0.5925170130565791,0.5881000000000001,0.5845249416907112,0.5821829959863868,0.5934219734079776
17,1.1356554816040811,0.5937,0.5921788510341244,0.5936999999999999,0.5868427836535763,0.5879064441973322,0.5987203838848345
18,1.1250957937180242,0.5987,0.6012977221186242,0.5987,0.5961731997128007,0.5920803799156177,0.6017194841547536
19,1.1122569992572446,0.6032,0.6042788599635698,0.6032,0.6001321771384847,0.5932037815354144,0.6033190042987104
20,1.11275257717205,0.6028,0.6018806983010373,0.6028,0.5961847846056736,0.6008755250190655,0.6120163950814755
