round,client_id,phase,loss,accuracy,precision,recall,f1,num_examples
0,0,evaluate,1.9709891987883525,0.2909585316111489,0.27548611008277907,0.28163872732544093,0.23656266618506033,1471
0,1,evaluate,1.918822709394961,0.32928388746803067,0.31762916209379355,0.3056023489722449,0.26318919497799625,1564
0,2,evaluate,1.9312226977841607,0.2969598262757872,0.27423260279773043,0.2889106539960873,0.2418306037490218,1842
0,3,evaluate,1.9373617323962125,0.28848346636259975,0.2787514479678793,0.29007708128652077,0.23447683781476414,1754
0,4,evaluate,1.979047172719782,0.2559214326978625,0.26965431910844284,0.2946820721562583,0.22888091296049717,1731
0,5,evaluate,1.9621221927496104,0.2845825716026813,0.25784826278801515,0.29121945836271246,0.2422965637265447,1641
1,0,evaluate,1.7010272946851006,0.38762214983713356,0.3793126206239793,0.3803536974408699,0.36195285739738403,1842
1,1,evaluate,1.6825289052465688,0.39360978925900747,0.36799608121982363,0.3721285736559933,0.35388319587895917,1471
1,2,evaluate,1.6485061669836238,0.3881074168797954,0.3695774969286179,0.3672291776070798,0.34705997681836875,1564
1,3,evaluate,1.6973119779066606,0.3922462941847206,0.3916491478855368,0.3958782732369802,0.36058124962507,1754
1,4,evaluate,1.7680858677083795,0.3506643558636626,0.3697406381442757,0.39270217275022967,0.34270525714346545,1731
1,5,evaluate,1.7070746100865877,0.3802559414990859,0.3731658549374134,0.3881767333683062,0.35463079256267294,1641
2,0,evaluate,1.5228662563830007,0.44501278772378516,0.42625742985580634,0.42925401245818184,0.42064926867279073,1564
2,1,evaluate,1.5585181013397549,0.45615227736233854,0.4408591834440728,0.44509657054033164,0.43792851617035683,1471
2,2,evaluate,1.5433900035344637,0.43205362583790374,0.42423157958165386,0.4320176181617043,0.4232459043595891,1641
2,3,evaluate,1.5451896168968895,0.43899657924743446,0.42323628328875573,0.4390576085766966,0.4208169376999004,1754
2,4,evaluate,1.5576624089273914,0.4245385450597177,0.4168281814934952,0.4213816176048132,0.41552761668933413,1842
2,5,evaluate,1.6004512440074574,0.4067013287117273,0.41290367406610723,0.4393545211559221,0.41291913078165277,1731
3,0,evaluate,1.4306699280836144,0.4833759590792839,0.45925452541840955,0.4657973688849196,0.45179238034929636,1564
3,1,evaluate,1.464429643647424,0.4587404994571118,0.4494523280863296,0.4610921361957291,0.44512855323343825,1842
3,2,evaluate,1.455391159424415,0.46130408287629493,0.4493170982917615,0.46040466942760083,0.4475507291620332,1641
3,3,evaluate,1.4567728172177854,0.47926580557443915,0.4683377261682199,0.4644419567232112,0.45580604522631385,1471
