round,loss,accuracy,precision,recall,f1,global_accuracy,weighted_accuracy
0,2.3071351534203637,0.1003,0.01814854829930656,0.10029999999999999,0.02030018535357495,0.0,0.0
1,2.2825996241992033,0.1681,0.22505234377412373,0.16809999999999997,0.09872859229175326,0.16816636672665466,0.16816636672665466
2,1.9469034551065179,0.2917,0.3040429921696616,0.2917,0.2433685161885534,0.29094181163767247,0.29094181163767247
3,1.7758884942984279,0.3495,0.34067359993293883,0.3495,0.32286624969041827,0.349130173965207,0.34913017396520696
4,1.6679742155195791,0.3923,0.38543956027777715,0.39230000000000004,0.3718428042392095,0.3849230153969206,0.38492301539692064
5,1.5724032151548168,0.4268,0.4192129497146356,0.42679999999999996,0.411280882585785,0.4238152369526094,0.4238152369526095
6,1.5024579612514641,0.4452,0.4380006100191271,0.4452,0.43861754558326965,0.44581083783243347,0.4458108378324335
7,1.461084346228008,0.47,0.4576251393961309,0.47000000000000003,0.4570375647026224,0.46350729854029193,0.46350729854029193
8,1.4279821884783008,0.4773,0.4641260167304668,0.47730000000000006,0.4644364993555377,0.47260547890421917,0.47260547890421917
9,1.3934441578539112,0.4992,0.49264528340603997,0.4992,0.4897580231435901,0.4889022195560888,0.48890221955608876
10,1.370335634750656,0.5015,0.49586738341872305,0.5015,0.4891666269547999,0.5001999600079984,0.5001999600079984
11,1.348160159738758,0.5143,0.5127391900935389,0.5143000000000001,0.508651592358226,0.5105978804239152,0.5105978804239152
12,1.3176001838490934,0.5265,0.5225971730656112,0.5265000000000001,0.5194532583163325,0.5202959408118376,0.5202959408118376
13,1.2922455328929274,0.5361,0.5311505134538002,0.5361,0.5305508244822038,0.5363927214557088,0.5363927214557088
14,1.2711163879949836,0.545,0.5386944451188515,0.545,0.5333606483852863,0.5462907418516296,0.5462907418516296
15,1.2506488169295877,0.5509,0.5433106779021166,0.5509,0.5407975105597954,0.5513897220555889,0.5513897220555889
16,1.226914640468887,0.5643,0.5614910703464908,0.5643,0.557481504048533,0.5655868826234753,0.5655868826234753
17,1.204679561566703,0.5753,0.5726598053586888,0.5753,0.5699641210163439,0.5723855228954209,0.5723855228954209
18,1.201105989987337,0.5776,0.5791708354337565,0.5776,0.5718197769115989,0.5722855428914216,0.5722855428914218
19,1.1732885890369174,0.5874,0.5902892243899182,0.5874,0.5847826940002642,0.5791841631673665,0.5791841631673665
20,1.1569286977188498,0.594,0.5916424568943704,0.594,0.5909998605550777,0.586882623475305,0.586882623475305
21,1.1510430981841269,0.5968,0.590016287824396,0.5968,0.5894308771588886,0.592381523695261,0.592381523695261
