round,loss,accuracy,precision,recall,f1,global_accuracy,weighted_accuracy
0,2.3060997105851957,0.1,0.01,0.1,0.01818181818181818,0.0,0.0
1,2.379445939124385,0.1,0.01,0.1,0.01818181818181818,0.16533333333333333,0.16533333333333333
2,2.245135186593744,0.1879,0.14707677218245385,0.18789999999999998,0.10340702717205094,0.26791666666666664,0.2679166666666667
3,2.3064111456086365,0.1679,0.03420378570914223,0.1679,0.056705655147684844,0.27999999999999997,0.28
4,2.1051546199412288,0.2803,0.30604356226646556,0.2803,0.25456821283941755,0.2728333333333333,0.2728333333333333
5,2.301586259769488,0.1754,0.035392436334726406,0.1754,0.05881377532854346,0.28983333333333333,0.28983333333333333
6,2.0422250892542584,0.2988,0.2656732395905409,0.29880000000000007,0.27249552175280384,0.2866666666666667,0.2866666666666667
7,2.252457030211823,0.1788,0.03585758242351232,0.17880000000000001,0.05970429086052824,0.294,0.294
8,1.982854702804662,0.315,0.28560310702374087,0.31500000000000006,0.2898674683934071,0.2813333333333333,0.2813333333333333
9,2.205148099343988,0.1818,0.14989822177968107,0.18180000000000002,0.06199802608432377,0.29783333333333334,0.29783333333333334
10,1.9319305072856854,0.325,0.3130528273760586,0.32500000000000007,0.2925265324949142,0.27458333333333335,0.27458333333333335
11,2.201604118830041,0.1859,0.2850658665209562,0.18589999999999998,0.06734823937669514,0.303,0.303
12,1.8734960420222222,0.3429,0.3297454357642231,0.3429,0.3106671367254192,0.288,0.288
13,2.203829206997835,0.1926,0.27125209782258436,0.19260000000000002,0.07923765483049183,0.3109166666666667,0.3109166666666667
14,1.8555644358260721,0.3418,0.4202083113210874,0.3418,0.30654296039356693,0.2850833333333333,0.28508333333333336
15,2.10016083868244,0.2046,0.30401482602116453,0.20460000000000003,0.10047474818740773,0.32008333333333333,0.32008333333333333
16,1.7754801406136043,0.3795,0.4050965156333818,0.3795,0.3681279274675452,0.36233333333333334,0.36233333333333334
17,2.0281281184546556,0.2192,0.4912950383972318,0.2192,0.12623552656933992,0.331,0.331
18,1.7429425399514693,0.3914,0.41357217076353986,0.3914,0.38369603768730276,0.39441666666666664,0.3944166666666667
19,1.9760667311994335,0.2488,0.5609482618590074,0.24879999999999997,0.1715969063063688,0.3538333333333333,0.35383333333333333
20,1.7299702031702935,0.4003,0.4326784516004117,0.4003,0.3965967595657248,0.39916666666666667,0.39916666666666667
21,1.953519188905064,0.2575,0.4744894257108359,0.25749999999999995,0.18599100471466,0.3615833333333333,0.3615833333333333
22,1.7044772679292703,0.4016,0.4361121903586763,0.4016,0.39725686281950956,0.40458333333333335,0.40458333333333335
23,2.0758104203622554,0.2348,0.49032562240465627,0.23479999999999998,0.15555890311488424,0.341,0.341
24,1.7815226150464407,0.3659,0.4322301951959336,0.3659,0.35352482170973476,0.35725,0.35725
25,2.0647253099876113,0.245,0.5283918518716273,0.24500000000000002,0.1726502709067797,0.3505,0.3505
26,1.7502032925810995,0.382,0.4433798516067001,0.382,0.36976208863077714,0.38225,0.38225
27,1.9040810428088224,0.2857,0.481534673739645,0.2857,0.23759945343010483,0.3819166666666667,0.3819166666666667
28,1.6317074012152757,0.4426,0.4641442166800277,0.44259999999999994,0.43629817440836255,0.4526666666666666,0.45266666666666666
29,1.7439358641829672,0.3479,0.4775562466752204,0.3479,0.32020190612929095,0.4349166666666666,0.4349166666666667
30,1.5858906416953364,0.4546,0.47029280367394266,0.4546,0.44287119424223464,0.488,0.488
31,1.6470880176447615,0.4023,0.4758769504468486,0.4023,0.3748635347925109,0.4735833333333333,0.47358333333333336
32,1.5345543547521663,0.4691,0.4828095971077243,0.46909999999999996,0.46675330014684313,0.49725,0.49725
33,1.6643510030794748,0.3959,0.47696518228447865,0.3959,0.35869103615928133,0.4739166666666667,0.47391666666666665
34,1.5677851393252988,0.4572,0.493916645546983,0.4572,0.45988839233768053,0.48141666666666666,0.48141666666666666
35,1.6783498238913621,0.3946,0.4790522830017121,0.3946,0.35513691482679577,0.47508333333333336,0.47508333333333336
36,1.5266777322262148,0.4737,0.49560142493207443,0.4737,0.4774891384307566,0.49066666666666664,0.49066666666666664
37,1.6712438939492913,0.393,0.47815531522317156,0.393,0.3626286641223611,0.4761666666666667,0.4761666666666667
38,1.508422951155071,0.4767,0.49798794973700505,0.4767,0.4803234694971735,0.5031666666666667,0.5031666666666667
39,1.6580126044116443,0.4064,0.48330727911612953,0.4064,0.37345075491336627,0.48375000000000007,0.48375
40,1.5131412880330146,0.4713,0.5091347712128051,0.4713,0.4742844585959184,0.48983333333333334,0.48983333333333334
41,1.7344245141065573,0.3904,0.5000021240684518,0.39039999999999997,0.35053893814178344,0.4653333333333334,0.4653333333333333
42,1.4907142814201644,0.4776,0.5051176802194386,0.47759999999999997,0.4770323258231917,0.49425,0.49425
43,1.6320775581311575,0.4222,0.5003528422947864,0.42219999999999996,0.3830856290094588,0.4965833333333333,0.4965833333333333
44,1.5085447543784032,0.4705,0.5071711802176255,0.4705000000000001,0.4688259989562743,0.4915,0.4915
45,1.6762666641911375,0.4075,0.5003058763454323,0.40750000000000003,0.35634917781258635,0.486,0.486
46,1.5156281945071644,0.4729,0.5105065511484219,0.4729,0.4702507570992552,0.49225,0.49225
47,1.66255262230016,0.4206,0.5044072419205808,0.42060000000000003,0.3691385423539783,0.4951666666666667,0.49516666666666664
48,1.509223676935027,0.4661,0.5128966695203048,0.46610000000000007,0.46919633641531033,0.4955,0.4955
49,1.6753767396830306,0.4238,0.4989470274453601,0.42379999999999995,0.3862640024389744,0.49433333333333335,0.49433333333333335
50,1.5016316688513454,0.4713,0.5137334829015789,0.4713,0.4714524782298315,0.49808333333333327,0.4980833333333333
51,1.6486130122896991,0.428,0.4902419046647739,0.42799999999999994,0.3953341788266157,0.49574999999999997,0.49575
52,1.497995960561535,0.466,0.5132846503995265,0.466,0.45651407878859385,0.51325,0.51325
53,1.5801008894473692,0.4533,0.4882284412740264,0.45330000000000004,0.42003807876173865,0.51175,0.51175
54,1.5126050348523297,0.4648,0.5163485519475578,0.4648,0.45194575071656173,0.523,0.523
55,1.5023163225077376,0.4774,0.4857924763923169,0.4774,0.460259806803347,0.5221666666666667,0.5221666666666667
56,1.5892517083807836,0.448,0.5225836990767996,0.44800000000000006,0.41894769969737145,0.5161666666666667,0.5161666666666667
57,1.5317751274833196,0.4775,0.5010439651348012,0.47750000000000004,0.4561187095887006,0.5015833333333334,0.5015833333333334
58,1.6690805516665495,0.4263,0.5382494032785706,0.4263,0.38896935011352446,0.492,0.492
59,1.5341459573069705,0.4742,0.5130335589903311,0.4742,0.4525796186010778,0.4836666666666667,0.4836666666666667
60,1.7803332865992678,0.4101,0.5581154201942764,0.4100999999999999,0.36206442058693444,0.4830833333333333,0.4830833333333333
61,1.5280970848059352,0.4824,0.5137813167687051,0.4824,0.4667651130829147,0.4663333333333333,0.4663333333333333
62,1.8673096804679195,0.4055,0.5563523951388055,0.40549999999999997,0.3613733085690393,0.484,0.484
63,1.5184254238877115,0.4779,0.5114469194444197,0.4779,0.46278254027302373,0.45616666666666666,0.45616666666666666
64,1.7562757051443751,0.4183,0.5416356924493898,0.4183,0.3809844484913746,0.4945833333333333,0.4945833333333333
65,1.4913688324674774,0.491,0.49864614891193043,0.491,0.47795756285887936,0.5053333333333333,0.5053333333333333
66,1.5733786806275574,0.4605,0.5163840868205976,0.46049999999999996,0.4344593601327255,0.5214166666666666,0.5214166666666666
67,1.4969556060018419,0.4876,0.49636524827388817,0.48760000000000003,0.4772179507563633,0.51425,0.51425
68,1.6740470294710956,0.4457,0.543155761724951,0.4457,0.41683698059675,0.5120833333333333,0.5120833333333333
69,1.5264130061185812,0.4881,0.4987507781087639,0.4880999999999999,0.47294097305824534,0.5056666666666666,0.5056666666666667
70,1.6807745136792147,0.447,0.5350060697921041,0.44699999999999995,0.4150124397027336,0.5056666666666666,0.5056666666666667
71,1.5085200720195528,0.4838,0.4966052802759708,0.4838,0.47037532121014414,0.4955,0.4955
72,1.6762744882438756,0.4382,0.5197477176964577,0.4382,0.40910003231020653,0.5090833333333333,0.5090833333333333
73,1.5473009317736082,0.4752,0.503103611722306,0.47519999999999996,0.4621863916877887,0.4948333333333333,0.49483333333333335
74,1.711881325214724,0.4478,0.5350202572527561,0.4478000000000001,0.4041567881025469,0.506,0.506
75,1.5623109687732746,0.4735,0.5041936803138862,0.4734999999999999,0.46252919000735193,0.4984166666666667,0.4984166666666667
76,1.6389671775359143,0.4553,0.5224030237509494,0.4553000000000001,0.42317986188504386,0.51325,0.51325
77,1.6050827231588243,0.4638,0.5020248667167724,0.4638,0.44914061723273874,0.4865,0.4865
78,1.6860266938994202,0.4556,0.5257740311732474,0.4556,0.4181167043661359,0.5113333333333333,0.5113333333333333
79,1.6556528791596619,0.4606,0.5044419041987216,0.46060000000000006,0.446515821733904,0.4915833333333333,0.4915833333333333
80,1.5971286251575132,0.4682,0.5138684839842402,0.46819999999999995,0.44167097078260936,0.5159166666666667,0.5159166666666667
81,1.730779558797426,0.4431,0.4876537532130385,0.4431,0.4283754329604834,0.50025,0.50025
82,1.5844217131409464,0.4729,0.510747858541195,0.4729,0.47462544994489964,0.48300000000000004,0.483
83,2.012293248236934,0.3917,0.48460683801586624,0.39170000000000005,0.35808038417903426,0.4715833333333333,0.47158333333333335
84,1.6676133871078491,0.4454,0.5227316775881019,0.4454000000000001,0.45331539671090254,0.4245833333333333,0.4245833333333333
85,2.0017406427407565,0.3812,0.48141262462231627,0.3812,0.3364451558494754,0.47,0.47
86,1.5736529978015754,0.4663,0.5202465584334903,0.46630000000000005,0.4706507296326768,0.45525,0.45525
87,1.9647650703599182,0.3948,0.49734680855938046,0.39480000000000004,0.3576307130404413,0.48141666666666666,0.48141666666666666
88,1.564317386361617,0.473,0.5198895573302711,0.47300000000000003,0.46953031883868074,0.456,0.456
89,1.9587364317495612,0.4006,0.49992214701394017,0.4006,0.36418999957602166,0.4805,0.4805
90,1.5563147399998918,0.4817,0.5127712765343104,0.4817,0.47850009476848154,0.4659166666666667,0.46591666666666665
91,1.8353699008120765,0.4185,0.5047393312843123,0.4185,0.38801087655766514,0.4984166666666667,0.4984166666666667
92,1.5887620328347893,0.4887,0.49732098376066586,0.4887,0.479461710176979,0.49666666666666665,0.49666666666666665
93,1.7861515947535067,0.4429,0.5237387470266304,0.4429,0.4158388104408294,0.5079166666666667,0.5079166666666667
94,1.6917664748203904,0.471,0.48313158879009316,0.471,0.4468120244803737,0.4988333333333333,0.49883333333333335
95,1.876989059810397,0.4304,0.5327893807190247,0.4304,0.40532282875024306,0.49066666666666664,0.49066666666666664
96,1.690324280835405,0.4779,0.4980222311926134,0.4779,0.44839528849394006,0.492,0.492
97,1.9023832143107546,0.4198,0.5302238207244736,0.41980000000000006,0.3930601474207843,0.48950000000000005,0.4895
98,1.6903382615198064,0.4747,0.5070096615770587,0.4747,0.44779062459215063,0.49266666666666664,0.49266666666666664
99,1.9902540309519707,0.4085,0.5087982557016306,0.4085,0.3741205362014148,0.47941666666666666,0.47941666666666666
100,1.742698094512843,0.4576,0.5191828106386708,0.45759999999999995,0.44159229881404266,0.46408333333333335,0.46408333333333335
101,2.0672707527498657,0.4003,0.4920119265372359,0.4003,0.3562242272522204,0.4765,0.4765
102,1.6658826477919952,0.4714,0.5138317206369863,0.47140000000000004,0.4686086430020202,0.4750833333333333,0.47508333333333336
103,2.020545850826215,0.4137,0.48846620413208824,0.41369999999999996,0.3750319554946139,0.49099999999999994,0.491
104,1.6723426821865612,0.4703,0.5148932765268169,0.47029999999999994,0.47350995380371214,0.48125,0.48125
105,1.8151321456402163,0.4474,0.4944106307955405,0.4474,0.4163030800885685,0.5144166666666666,0.5144166666666666
106,1.6631797461570064,0.4827,0.5145247100630765,0.4827,0.4835404131507316,0.5045833333333333,0.5045833333333334
107,1.857476635824276,0.4478,0.487480194645132,0.4478,0.42217899126544445,0.5139166666666667,0.5139166666666667
108,1.678051363063764,0.4738,0.5146218447034288,0.47380000000000005,0.4779432223291856,0.4870833333333333,0.4870833333333333
109,1.9420956810818444,0.4345,0.49496933547934924,0.43450000000000005,0.3909027619325808,0.5071666666666667,0.5071666666666667
110,1.801857180233243,0.4641,0.5303079653043605,0.4641,0.4569819684537079,0.46891666666666665,0.46891666666666665
111,2.013343128976943,0.4252,0.5162118030079714,0.4252000000000001,0.3737779688089441,0.4875833333333333,0.4875833333333333
112,1.920191315155995,0.4489,0.5072003936493178,0.44889999999999997,0.4246736451242694,0.4776666666666667,0.4776666666666667
113,1.946054011960573,0.4389,0.5218313958383182,0.43889999999999996,0.405499294121912,0.4979166666666666,0.4979166666666667
114,1.9048047216632698,0.4551,0.4968487450996803,0.4551,0.43625522566121394,0.49341666666666667,0.49341666666666667
115,1.926270859150947,0.4492,0.5059625514234755,0.4492,0.4178057518190273,0.5035,0.5035
116,1.9263752548000481,0.4438,0.49035083573114546,0.4438,0.4314818792731033,0.48275,0.48275
117,1.8246713469300089,0.4602,0.5029832453054556,0.46020000000000005,0.4381151502375077,0.5111666666666667,0.5111666666666667
118,1.702081920225409,0.4776,0.4867791074900866,0.4776000000000001,0.4693871003478985,0.5028333333333334,0.5028333333333334
119,1.9827741309057307,0.435,0.4922651084756464,0.43500000000000005,0.4075918221859613,0.5064166666666666,0.5064166666666666
120,1.7861518739145013,0.4703,0.501843326743886,0.47030000000000005,0.461096669186788,0.4575833333333333,0.45758333333333334
121,2.1286441449877582,0.4184,0.49378596411814113,0.4184,0.3822342380635896,0.49724999999999997,0.49725
122,1.7926486036445521,0.4629,0.5012782827163172,0.46290000000000003,0.45381081235218057,0.4553333333333333,0.4553333333333333
123,2.6638204296932946,0.3601,0.4892575829774325,0.3601,0.32376742841389855,0.45825,0.45825
