round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,610.7,1.35,0,0,0.02
1,11.3,1.38,0,0,0.02
2,182.0,1.38,0,0,0.02
3,246.0,1.38,0,0,0.02
4,292.0,1.38,0,0,0.02
5,269.5,1.38,0,0,0.02
6,246.9,1.38,0,0,0.02
7,235.1,1.38,0,0,0.02
8,223.4,1.38,0,0,0.02
9,258.4,1.38,0,0,0.02
10,213.2,1.38,0,0,0.02
11,240.1,1.38,0,0,0.02
12,227.9,1.39,0,0,0.02
13,230.2,1.39,0,0,0.02
14,216.3,1.39,0,0,0.02
15,212.0,1.39,0,0,0.02
16,217.1,1.39,0,0,0.02
17,254.2,1.39,0,0,0.02
18,294.2,1.39,0,0,0.02
19,276.8,1.39,0,0,0.02
20,277.5,1.39,0,0,0.02
21,316.6,1.39,0,0,0.02
22,286.3,1.39,0,0,0.02
23,300.8,1.39,0,0,0.02
24,287.4,1.39,0,0,0.02
25,259.6,1.39,0,0,0.02
26,232.8,1.39,0,0,0.02
27,209.3,1.39,0,0,0.02
28,216.7,1.39,0,0,0.02
29,231.7,1.39,0,0,0.02
30,251.6,1.39,0,0,0.02
31,269.6,1.39,0,0,0.02
32,263.6,1.39,0,0,0.02
33,236.0,1.39,0,0,0.02
34,221.8,1.39,0,0,0.02
35,232.8,1.39,0,0,0.02
36,201.4,1.39,0,0,0.02
37,207.5,1.39,0,0,0.02
38,233.9,1.39,0,0,0.02
39,207.8,1.39,0,0,0.02
40,227.6,1.39,0,0,0.02
41,203.3,1.39,0,0,0.02
42,234.3,1.39,0,0,0.02
43,249.0,1.39,0,0,0.02
44,215.0,1.39,0,0,0.02
45,243.9,1.39,0,0,0.02
46,256.9,1.39,0,0,0.02
47,236.8,1.39,0,0,0.02
48,205.2,1.39,0,0,0.02
49,229.6,1.39,0,0,0.02
50,230.9,1.39,0,0,0.02
51,220.4,1.39,0,0,0.02
52,241.6,1.39,0,0,0.02
53,226.5,1.39,0,0,0.02
54,264.1,1.39,0,0,0.02
55,280.0,1.39,0,0,0.02
56,257.2,1.39,0,0,0.02
57,286.4,1.39,0,0,0.02
58,275.4,1.39,0,0,0.02
59,262.3,1.39,0,0,0.02
60,261.7,1.39,0,0,0.02
61,289.5,1.39,0,0,0.02
62,256.6,1.39,0,0,0.02
63,278.2,1.39,0,0,0.02
64,261.2,1.39,0,0,0.02
65,311.9,1.39,0,0,0.02
66,302.2,1.39,0,0,0.02
67,286.5,1.39,0,0,0.02
68,267.1,1.39,0,0,0.02
69,236.9,1.39,0,0,0.02
70,222.0,1.39,0,0,0.02
71,215.2,1.39,0,0,0.02
72,219.6,1.39,0,0,0.02
73,218.9,1.39,0,0,0.02
74,220.3,1.39,0,0,0.02
75,222.3,1.39,0,0,0.02
76,222.8,1.39,0,0,0.02
77,202.2,1.39,0,0,0.02
78,225.0,1.39,0,0,0.02
79,221.2,1.39,0,0,0.02
80,217.4,1.39,0,0,0.02
81,225.9,1.39,0,0,0.02
82,209.5,1.39,0,0,0.02
83,215.5,1.39,0,0,0.02
84,217.4,1.39,0,0,0.02
85,222.1,1.39,0,0,0.02
86,231.7,1.39,0,0,0.02
87,241.1,1.39,0,0,0.02
88,228.7,1.39,0,0,0.02
89,231.8,1.39,0,0,0.02
90,218.8,1.39,0,0,0.02
91,211.5,1.39,0,0,0.02
92,214.8,1.39,0,0,0.02
93,224.7,1.39,0,0,0.02
94,248.0,1.39,0,0,0.02
95,237.2,1.39,0,0,0.02
96,224.8,1.39,0,0,0.02
97,225.8,1.39,0,0,0.02
98,201.7,1.39,0,0,0.02
99,215.3,1.39,0,0,0.02
100,225.4,1.39,0,0,0.02
101,204.0,1.39,0,0,0.02
102,220.3,1.39,0,0,0.02
103,223.4,1.39,0,0,0.02
104,225.6,1.39,0,0,0.02
105,219.9,1.39,0,0,0.02
106,234.8,1.39,0,0,0.02
107,225.2,1.39,0,0,0.02
108,232.4,1.39,0,0,0.02
109,229.9,1.39,0,0,0.02
110,218.8,1.39,0,0,0.02
111,229.0,1.39,0,0,0.02
112,228.1,1.39,0,0,0.02
113,216.3,1.39,0,0,0.02
114,226.3,1.39,0,0,0.02
115,219.8,1.39,0,0,0.02
116,245.7,1.39,0,0,0.02
117,205.8,1.39,0,0,0.02
118,222.1,1.39,0,0,0.02
119,229.4,1.39,0,0,0.02
120,216.4,1.39,0,0,0.02
121,219.1,1.39,0,0,0.02
122,214.6,1.39,0,0,0.02
123,218.9,1.39,0,0,0.02
124,209.4,1.39,0,0,0.02
125,222.6,1.39,0,0,0.02
126,218.0,1.39,0,0,0.02
127,215.8,1.39,0,0,0.02
128,249.6,1.39,0,0,0.02
129,253.4,1.39,0,0,0.02
130,228.6,1.39,0,0,0.02
131,263.3,1.39,0,0,0.02
132,221.4,1.39,0,0,0.02
133,214.3,1.39,0,0,0.02
134,209.0,1.39,0,0,0.02
135,228.0,1.39,0,0,0.02
136,206.5,1.39,0,0,0.02
137,217.7,1.39,0,0,0.02
138,213.4,1.39,0,0,0.02
139,239.5,1.39,0,0,0.02
140,230.3,1.39,0,0,0.02
141,225.5,1.39,0,0,0.02
142,200.9,1.39,0,0,0.02
143,236.4,1.39,0,0,0.02
144,226.9,1.39,0,0,0.02
145,240.2,1.39,0,0,0.02
146,234.0,1.39,0,0,0.02
147,256.4,1.39,0,0,0.02
148,279.3,1.39,0,0,0.02
149,245.5,1.39,0,0,0.02
150,253.5,1.39,0,0,0.02
151,222.7,1.39,0,0,0.02
152,228.8,1.39,0,0,0.02
153,218.4,1.39,0,0,0.02
154,237.1,1.39,0,0,0.02
155,216.3,1.39,0,0,0.02
156,259.5,1.39,0,0,0.02
157,280.0,1.39,0,0,0.02
158,253.4,1.39,0,0,0.02
159,252.9,1.39,0,0,0.02
160,245.9,1.39,0,0,0.02
161,207.6,1.39,0,0,0.02
162,220.4,1.39,0,0,0.02
163,224.0,1.39,0,0,0.02
164,217.6,1.39,0,0,0.02
165,262.2,1.39,0,0,0.02
166,263.7,1.39,0,0,0.02
167,200.4,1.39,0,0,0.02
168,207.6,1.39,0,0,0.02
169,227.9,1.39,0,0,0.02
170,217.4,1.39,0,0,0.02
171,232.1,1.39,0,0,0.02
172,232.3,1.39,0,0,0.02
173,221.8,1.39,0,0,0.02
174,240.4,1.39,0,0,0.02
175,262.8,1.39,0,0,0.02
176,257.1,1.39,0,0,0.02
177,203.3,1.39,0,0,0.02
178,234.8,1.39,0,0,0.02
179,266.2,1.39,0,0,0.02
180,277.7,1.39,0,0,0.02
181,260.3,1.39,0,0,0.02
182,254.9,1.39,0,0,0.02
183,255.3,1.39,0,0,0.02
184,256.1,1.39,0,0,0.02
185,204.9,1.39,0,0,0.02
186,214.2,1.39,0,0,0.02
187,212.1,1.39,0,0,0.02
188,198.2,1.39,0,0,0.02
189,221.0,1.39,0,0,0.02
190,215.6,1.39,0,0,0.02
191,248.6,1.39,0,0,0.02
192,212.0,1.39,0,0,0.02
193,224.2,1.39,0,0,0.02
