round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,115.6,1.34,0,0,0.02
1,8.4,1.38,0,0,0.02
2,219.3,1.38,0,0,0.02
3,218.8,1.38,0,0,0.02
4,242.6,1.38,0,0,0.02
5,236.3,1.38,0,0,0.02
6,267.3,1.38,0,0,0.02
7,241.7,1.38,0,0,0.02
8,266.4,1.38,0,0,0.02
9,229.3,1.38,0,0,0.02
10,232.9,1.38,0,0,0.02
11,239.8,1.38,0,0,0.02
12,270.1,1.38,0,0,0.02
13,250.3,1.38,0,0,0.02
14,250.6,1.38,0,0,0.02
15,251.7,1.38,0,0,0.02
16,268.6,1.38,0,0,0.02
17,259.3,1.38,0,0,0.02
18,247.2,1.38,0,0,0.02
19,242.7,1.38,0,0,0.02
20,229.2,1.38,0,0,0.02
21,266.0,1.38,0,0,0.02
22,243.8,1.38,0,0,0.02
23,241.0,1.38,0,0,0.02
24,269.6,1.38,0,0,0.02
25,235.3,1.38,0,0,0.02
26,248.1,1.38,0,0,0.02
27,248.8,1.38,0,0,0.02
28,243.1,1.38,0,0,0.02
29,250.1,1.38,0,0,0.02
30,231.4,1.38,0,0,0.02
31,270.2,1.38,0,0,0.02
32,261.6,1.38,0,0,0.02
33,246.7,1.38,0,0,0.02
34,240.8,1.38,0,0,0.02
35,261.5,1.38,0,0,0.02
36,247.5,1.38,0,0,0.02
37,244.3,1.38,0,0,0.02
38,253.4,1.38,0,0,0.02
39,246.1,1.38,0,0,0.02
40,250.3,1.38,0,0,0.02
41,249.3,1.38,0,0,0.02
42,248.9,1.38,0,0,0.02
43,249.7,1.38,0,0,0.02
44,230.5,1.38,0,0,0.02
45,276.3,1.38,0,0,0.02
46,255.4,1.38,0,0,0.02
47,237.7,1.38,0,0,0.02
48,267.9,1.38,0,0,0.02
49,244.3,1.38,0,0,0.02
50,244.0,1.38,0,0,0.02
51,238.0,1.38,0,0,0.02
52,278.9,1.38,0,0,0.02
53,236.9,1.38,0,0,0.02
54,240.4,1.38,0,0,0.02
55,266.3,1.38,0,0,0.02
56,270.5,1.38,0,0,0.02
57,270.1,1.38,0,0,0.02
58,252.6,1.38,0,0,0.02
59,242.2,1.38,0,0,0.02
60,240.4,1.38,0,0,0.02
61,243.9,1.38,0,0,0.02
62,269.4,1.38,0,0,0.02
63,265.3,1.38,0,0,0.02
64,255.7,1.38,0,0,0.02
65,236.2,1.38,0,0,0.02
66,240.3,1.38,0,0,0.02
67,242.6,1.38,0,0,0.02
68,257.2,1.38,0,0,0.02
69,238.0,1.38,0,0,0.02
70,226.5,1.38,0,0,0.02
71,247.5,1.38,0,0,0.02
72,259.3,1.38,0,0,0.02
73,234.9,1.38,0,0,0.02
74,264.1,1.38,0,0,0.02
75,258.6,1.38,0,0,0.02
76,244.2,1.38,0,0,0.02
77,251.6,1.38,0,0,0.02
78,253.6,1.38,0,0,0.02
79,241.0,1.38,0,0,0.02
80,239.0,1.38,0,0,0.02
81,265.5,1.38,0,0,0.02
82,267.0,1.38,0,0,0.02
83,244.0,1.38,0,0,0.02
84,228.6,1.38,0,0,0.02
85,258.9,1.38,0,0,0.02
86,243.3,1.38,0,0,0.02
87,264.3,1.38,0,0,0.02
88,241.8,1.38,0,0,0.02
89,232.5,1.38,0,0,0.02
90,264.5,1.38,0,0,0.02
91,237.7,1.38,0,0,0.02
92,250.2,1.38,0,0,0.02
93,254.6,1.38,0,0,0.02
94,239.6,1.38,0,0,0.02
95,252.1,1.38,0,0,0.02
96,256.7,1.38,0,0,0.02
97,256.3,1.38,0,0,0.02
98,242.8,1.38,0,0,0.02
99,236.4,1.38,0,0,0.02
100,236.3,1.38,0,0,0.02
101,235.2,1.38,0,0,0.02
102,245.1,1.38,0,0,0.02
103,249.5,1.38,0,0,0.02
104,247.5,1.38,0,0,0.02
105,259.6,1.38,0,0,0.02
106,242.8,1.38,0,0,0.02
107,245.5,1.38,0,0,0.02
108,231.0,1.38,0,0,0.02
109,264.3,1.38,0,0,0.02
110,225.1,1.38,0,0,0.02
111,238.4,1.38,0,0,0.02
112,236.3,1.38,0,0,0.02
113,249.0,1.38,0,0,0.02
114,233.7,1.38,0,0,0.02
115,247.4,1.38,0,0,0.02
116,263.3,1.38,0,0,0.02
117,251.4,1.38,0,0,0.02
118,256.9,1.38,0,0,0.02
119,238.1,1.38,0,0,0.02
120,248.3,1.38,0,0,0.02
121,263.5,1.38,0,0,0.02
122,261.0,1.38,0,0,0.02
123,250.7,1.38,0,0,0.02
124,240.0,1.38,0,0,0.02
125,284.1,1.38,0,0,0.02
126,239.4,1.38,0,0,0.02
127,256.5,1.38,0,0,0.02
128,259.2,1.38,0,0,0.02
129,229.2,1.38,0,0,0.02
130,242.7,1.38,0,0,0.02
131,246.6,1.38,0,0,0.02
132,243.1,1.38,0,0,0.02
133,257.5,1.38,0,0,0.02
134,251.8,1.38,0,0,0.02
135,269.3,1.38,0,0,0.02
136,251.2,1.38,0,0,0.02
137,251.3,1.38,0,0,0.02
138,229.6,1.38,0,0,0.02
139,249.0,1.38,0,0,0.02
140,241.2,1.38,0,0,0.02
141,269.5,1.38,0,0,0.02
142,252.1,1.38,0,0,0.02
143,249.2,1.38,0,0,0.02
144,248.4,1.38,0,0,0.02
145,242.7,1.38,0,0,0.02
146,250.8,1.38,0,0,0.02
147,268.1,1.38,0,0,0.02
148,229.6,1.39,0,0,0.02
149,238.6,1.39,0,0,0.02
150,265.5,1.39,0,0,0.02
151,251.5,1.39,0,0,0.02
152,228.4,1.39,0,0,0.02
153,239.6,1.39,0,0,0.02
154,252.0,1.39,0,0,0.02
155,249.4,1.39,0,0,0.02
156,232.7,1.39,0,0,0.02
157,256.3,1.39,0,0,0.02
158,264.4,1.39,0,0,0.02
159,235.2,1.39,0,0,0.02
160,276.4,1.39,0,0,0.02
161,247.9,1.39,0,0,0.02
162,236.5,1.39,0,0,0.02
163,238.6,1.39,0,0,0.02
164,234.2,1.39,0,0,0.02
165,250.6,1.39,0,0,0.02
166,265.8,1.39,0,0,0.02
167,258.0,1.39,0,0,0.02
168,242.3,1.39,0,0,0.02
