round,loss,accuracy,precision,recall,f1,global_accuracy,weighted_accuracy
0,2.303464599802524,0.1001,0.03500400160064025,0.1001,0.01838763534439905,0.0,0.0
1,2.2300360112250606,0.1436,0.20394885684334177,0.1436,0.0681860466013563,0.13762929491567907,0.1500549835049485
2,1.9719729861126671,0.2619,0.2796132860613373,0.26189999999999997,0.20507488535455445,0.25178835915705033,0.2585224432670199
3,1.7796621005746383,0.3245,0.35300382068994207,0.3245,0.27612201929832036,0.3163408719629261,0.32570228931320605
4,1.6393974144247514,0.3936,0.39834621249012914,0.39360000000000006,0.3716414873060646,0.38380998049992193,0.38798360491852446
5,1.5680527204199681,0.4101,0.41454396532006343,0.4101000000000001,0.38543902046658174,0.40905256194931283,0.41307607717684697
6,1.5023357430590858,0.4379,0.4353388329768288,0.43789999999999996,0.41643272871764137,0.4374719082601484,0.4433669899030291
7,1.4534884268724466,0.467,0.46488513923775027,0.46699999999999997,0.46056704864478465,0.461204045565365,0.46925922223333
8,1.3969834876965872,0.4856,0.47503661159390287,0.4856,0.4723698397105463,0.4859498029253024,0.4929521143656903
9,1.3605479922475694,0.5033,0.5016423533364771,0.5033000000000001,0.4942302646166235,0.4981071423743004,0.5077476756972908
10,1.3460544664648515,0.5074,0.5048350203285884,0.5074,0.4935594202032275,0.5080535034122402,0.5173447965610317
11,1.3027525642250157,0.5243,0.5241214083404833,0.5243,0.5162305082574179,0.5314345734263177,0.5378386484054783
12,1.2721807262565517,0.5387,0.5392909756038881,0.5387,0.5293751346476745,0.5373170143016173,0.5473357992602219
13,1.2557092723967154,0.5462,0.5458112581200432,0.5462,0.5425846010915503,0.5472201192860026,0.5537338798360492
14,1.2326181078258949,0.558,0.5534232956532777,0.5579999999999999,0.551075132590923,0.5547949166461847,0.5655303408977307
15,1.2217219494566132,0.5612,0.5667603267902523,0.5612,0.5570200273159767,0.5592482206228507,0.5690292912126362
16,1.201328080666216,0.5698,0.5697909462812871,0.5698000000000001,0.5652338991639763,0.5665134120884859,0.5781265620313906
17,1.1867377908923957,0.5792,0.581340947980719,0.5791999999999999,0.5746471967992653,0.5737096862951141,0.5828251524542637
18,1.157960212683376,0.5886,0.5873136406408471,0.5886,0.5840498054276445,0.5823293527152363,0.5924222733180046
19,1.1640843386891522,0.5877,0.5892909679131935,0.5877000000000001,0.5825797592375177,0.5807487253329996,0.5878236529041287
20,1.152976389172711,0.5899,0.5913107751786217,0.5899,0.585551212494247,0.5831542170257535,0.5910226931920424
21,1.1387139747414408,0.5987,0.6018526681887916,0.5987,0.5951848668409964,0.5897393328474672,0.5989203239028291
22,1.1274570981158485,0.5996,0.5992141473260243,0.5995999999999999,0.5945894838587911,0.5947311030178725,0.6028191542537239
23,1.1127229310289215,0.6059,0.6003570478636975,0.6059,0.6006869848402643,0.5972577423941016,0.6076177146855943
24,1.1170412958422793,0.6088,0.6134167045747053,0.6088,0.6068125490825581,0.597572771429321,0.6068179546136159
25,1.0978895765316636,0.6185,0.6151737323621631,0.6185,0.6136480690150667,0.6069201783284058,0.6145156453064081
26,1.0951912478555608,0.62,0.6160401155440564,0.6200000000000001,0.616021484121583,0.6009779258636797,0.6099170248925322
27,1.0969954057584834,0.6172,0.6149723995235938,0.6172,0.6119297192963041,0.6069236785384025,0.6148155553333999
28,1.102834827537778,0.6137,0.6180419693182799,0.6137,0.6099394301835429,0.6008437486206805,0.6086174147755673
29,1.085403695891175,0.6186,0.6196069959235131,0.6186,0.6165493541525674,0.6037025387088694,0.613815855243427
30,1.1011389063883432,0.6144,0.6170256204855021,0.6144,0.6088481936601403,0.6029097352112661,0.6133160051984404
31,1.092807356315323,0.6152,0.6152079203629686,0.6152000000000001,0.6116328568887615,0.6103487232543697,0.6209137258822354
