round,client_id,phase,loss,accuracy,precision,recall,f1,num_examples
0,0,evaluate,2.2623340995223433,0.1835632873425315,0.2698388206684118,0.1968377212352786,0.1419261553157504,1667
0,1,evaluate,2.2584603274310076,0.1943611277744451,0.2083010410186113,0.2007752109005215,0.14496968493592516,1667
0,2,evaluate,2.261505197595667,0.1883623275344931,0.20342056540342654,0.19230027111166478,0.13592794132630354,1667
0,3,evaluate,2.249765652197379,0.19016196760647872,0.18464889376998755,0.1825323636163877,0.13085554731172103,1667
0,4,evaluate,2.254604277787385,0.17876424715056988,0.20159577277244428,0.18761187534453994,0.13462712477583666,1667
0,5,evaluate,2.251387666772913,0.19616076784643072,0.2194964069732645,0.19104411931295853,0.1364008328490595,1667
1,0,evaluate,1.9441370257624873,0.28674265146970607,0.23671380068708986,0.28260088952952855,0.24436241540517675,1667
1,1,evaluate,1.9823146131303575,0.27294541091781643,0.236791494315831,0.27958062021365226,0.23614578555438004,1667
1,2,evaluate,1.9706848285816334,0.265746850629874,0.3484716232045691,0.27760362037212566,0.23390182455811975,1667
1,3,evaluate,1.9963865280151367,0.2693461307738452,0.28457448952008135,0.27042823047066866,0.23084781436760657,1667
1,4,evaluate,1.9833761277022186,0.26814637072585484,0.22829607331279936,0.2625997018073277,0.22699479457193578,1667
1,5,evaluate,1.9540433044786807,0.28794241151769645,0.3523923748248684,0.27986038109747025,0.24336897868693588,1667
2,0,evaluate,1.8223407180220992,0.35752849430113975,0.3759123236940367,0.3512475876344504,0.3306589724402881,1667
2,1,evaluate,1.785816616482205,0.34133173365326935,0.3602667158880557,0.3521714379811567,0.3199546544478052,1667
2,2,evaluate,1.7763477034038968,0.3353329334133173,0.3282459520744253,0.3290493963750547,0.30389225778673,1667
2,3,evaluate,1.8205521239174738,0.33053389322135573,0.34154225742723926,0.3335962954329417,0.30778639826154575,1667
2,4,evaluate,1.8137666737591778,0.3287342531493701,0.34819763927933645,0.33126576858028994,0.30705996568050203,1667
2,5,evaluate,1.7890916532940335,0.34313137372525493,0.3378425993260862,0.33407736781508574,0.31030024243289817,1667
3,0,evaluate,1.6365485809467457,0.39112177564487105,0.3760525651581451,0.38508393032136984,0.35810465088756943,1667
3,1,evaluate,1.6965296533372667,0.3905218956208758,0.390018997784834,0.3885619745687393,0.3597556881566621,1667
3,2,evaluate,1.6641994184917874,0.3815236952609478,0.35642312717190666,0.38301275213936836,0.3513649935877471,1667
3,3,evaluate,1.6804658395272714,0.38392321535692864,0.37499045242527596,0.3876393106601043,0.35654316792716245,1667
3,4,evaluate,1.6467735281697027,0.3827234553089382,0.3645968577396904,0.38604122016460096,0.35244888440087657,1667
3,5,evaluate,1.6419191978595875,0.38752249550089984,0.37147797457928977,0.3808604605857658,0.35602482503904703,1667
4,0,evaluate,1.5732082967404966,0.40191961607678467,0.40136720743770204,0.39999908256888933,0.3857680833689915,1667
4,1,evaluate,1.628189727112099,0.39952009598080385,0.3968342088621972,0.39873744874629474,0.3812941068054403,1667
4,2,evaluate,1.6525764465332031,0.41811637672465507,0.4171137499359679,0.41800975924072137,0.4002004137793482,1667
4,3,evaluate,1.6092874164934512,0.394121175764847,0.3990265798287941,0.395313661902509,0.3786328924649457,1667
4,4,evaluate,1.5850059191385906,0.41391721655668867,0.4031519574348622,0.40962949510192315,0.39252941824479254,1667
4,5,evaluate,1.5710058388886627,0.40671865626874626,0.39766960450985855,0.3972280091451744,0.3833238854947137,1667
5,0,evaluate,1.5583413751037032,0.4253149370125975,0.4251779850645983,0.4277573170213181,0.4140745992346056,1667
5,1,evaluate,1.510233031378852,0.41451709658068386,0.4151405887079263,0.417394858203134,0.40307795154106857,1667
5,2,evaluate,1.511392805311415,0.4427114577084583,0.4349802934930917,0.4350368253008079,0.42359942448064575,1667
