round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,106.2,1.34,0,0,0.02
1,8.0,1.37,0,0,0.02
2,229.2,1.38,0,0,0.02
3,259.2,1.38,0,0,0.02
4,271.7,1.38,0,0,0.02
5,246.8,1.38,0,0,0.02
6,264.9,1.38,0,0,0.02
7,259.6,1.38,0,0,0.02
8,259.0,1.38,0,0,0.02
9,252.5,1.38,0,0,0.02
10,244.9,1.38,0,0,0.02
11,279.7,1.38,0,0,0.02
12,278.3,1.38,0,0,0.02
13,259.6,1.38,0,0,0.02
14,257.3,1.38,0,0,0.02
15,259.8,1.38,0,0,0.02
16,277.7,1.38,0,0,0.02
17,299.3,1.38,0,0,0.02
18,280.7,1.38,0,0,0.02
19,283.1,1.38,0,0,0.02
20,289.1,1.38,0,0,0.02
21,288.5,1.38,0,0,0.02
22,285.5,1.38,0,0,0.02
23,280.1,1.38,0,0,0.02
24,278.0,1.38,0,0,0.02
25,287.4,1.38,0,0,0.02
26,291.6,1.38,0,0,0.02
27,296.4,1.38,0,0,0.02
28,280.3,1.38,0,0,0.02
29,274.4,1.38,0,0,0.02
30,273.4,1.38,0,0,0.02
31,274.0,1.38,0,0,0.02
32,239.2,1.38,0,0,0.02
33,264.4,1.38,0,0,0.02
34,273.8,1.38,0,0,0.02
35,289.3,1.38,0,0,0.02
36,271.4,1.38,0,0,0.02
37,275.1,1.38,0,0,0.02
38,295.6,1.38,0,0,0.02
39,265.3,1.38,0,0,0.02
40,281.7,1.38,0,0,0.02
41,264.5,1.38,0,0,0.02
42,280.0,1.38,0,0,0.02
43,252.2,1.38,0,0,0.02
44,257.8,1.38,0,0,0.02
45,274.0,1.38,0,0,0.02
46,267.1,1.38,0,0,0.02
47,259.8,1.38,0,0,0.02
48,274.6,1.38,0,0,0.02
49,251.3,1.38,0,0,0.02
50,262.3,1.38,0,0,0.02
51,264.5,1.38,0,0,0.02
52,258.6,1.38,0,0,0.02
53,283.7,1.38,0,0,0.02
54,253.3,1.38,0,0,0.02
55,250.1,1.38,0,0,0.02
56,272.9,1.38,0,0,0.02
57,263.6,1.38,0,0,0.02
58,297.3,1.38,0,0,0.02
59,265.2,1.38,0,0,0.02
60,262.3,1.38,0,0,0.02
61,291.4,1.38,0,0,0.02
62,277.7,1.38,0,0,0.02
63,267.3,1.38,0,0,0.02
64,268.8,1.38,0,0,0.02
65,245.0,1.38,0,0,0.02
66,287.4,1.38,0,0,0.02
67,255.5,1.38,0,0,0.02
68,265.9,1.38,0,0,0.02
69,268.7,1.38,0,0,0.02
70,235.7,1.38,0,0,0.02
71,235.7,1.38,0,0,0.02
72,260.9,1.38,0,0,0.02
73,277.8,1.38,0,0,0.02
74,271.5,1.38,0,0,0.02
75,278.6,1.38,0,0,0.02
76,255.0,1.38,0,0,0.02
77,276.3,1.38,0,0,0.02
78,265.5,1.38,0,0,0.02
79,282.7,1.38,0,0,0.02
80,262.1,1.38,0,0,0.02
81,253.7,1.38,0,0,0.02
82,255.0,1.38,0,0,0.02
83,273.5,1.38,0,0,0.02
84,284.7,1.38,0,0,0.02
85,277.6,1.38,0,0,0.02
86,248.4,1.38,0,0,0.02
87,271.1,1.38,0,0,0.02
88,281.0,1.38,0,0,0.02
89,261.1,1.38,0,0,0.02
90,261.9,1.38,0,0,0.02
91,261.6,1.38,0,0,0.02
92,249.4,1.38,0,0,0.02
93,246.2,1.38,0,0,0.02
94,267.6,1.38,0,0,0.02
95,264.1,1.38,0,0,0.02
96,271.4,1.38,0,0,0.02
97,256.0,1.38,0,0,0.02
98,258.4,1.38,0,0,0.02
99,261.5,1.38,0,0,0.02
100,266.4,1.38,0,0,0.02
101,288.9,1.38,0,0,0.02
102,287.0,1.38,0,0,0.02
103,268.5,1.38,0,0,0.02
104,277.2,1.38,0,0,0.02
105,250.4,1.38,0,0,0.02
106,300.1,1.38,0,0,0.02
107,254.1,1.38,0,0,0.02
108,267.8,1.38,0,0,0.02
109,273.9,1.38,0,0,0.02
110,262.2,1.38,0,0,0.02
111,248.9,1.38,0,0,0.02
112,247.8,1.38,0,0,0.02
113,271.9,1.38,0,0,0.02
114,251.9,1.38,0,0,0.02
115,253.0,1.38,0,0,0.02
116,288.0,1.38,0,0,0.02
117,276.5,1.38,0,0,0.02
118,276.0,1.38,0,0,0.02
119,264.0,1.38,0,0,0.02
120,261.0,1.38,0,0,0.02
121,263.6,1.38,0,0,0.02
122,283.1,1.38,0,0,0.02
123,254.0,1.38,0,0,0.02
124,232.6,1.38,0,0,0.02
125,267.7,1.38,0,0,0.02
126,257.1,1.38,0,0,0.02
127,251.8,1.38,0,0,0.02
128,280.8,1.38,0,0,0.02
129,279.4,1.38,0,0,0.02
130,270.1,1.38,0,0,0.02
131,259.4,1.38,0,0,0.02
132,263.2,1.38,0,0,0.02
133,258.3,1.38,0,0,0.02
134,253.7,1.38,0,0,0.02
135,300.6,1.38,0,0,0.02
136,251.1,1.38,0,0,0.02
137,278.7,1.38,0,0,0.02
138,245.4,1.38,0,0,0.02
139,250.0,1.38,0,0,0.02
140,269.6,1.38,0,0,0.02
141,265.0,1.38,0,0,0.02
142,290.3,1.38,0,0,0.02
143,272.6,1.38,0,0,0.02
144,264.5,1.38,0,0,0.02
145,261.5,1.38,0,0,0.02
146,263.9,1.38,0,0,0.02
147,240.1,1.38,0,0,0.02
148,251.4,1.38,0,0,0.02
149,244.0,1.38,0,0,0.02
150,265.2,1.38,0,0,0.02
151,280.6,1.38,0,0,0.02
152,262.0,1.38,0,0,0.02
153,291.0,1.38,0,0,0.02
154,284.5,1.38,0,0,0.02
155,248.6,1.38,0,0,0.02
156,242.4,1.38,0,0,0.02
157,278.4,1.38,0,0,0.02
158,256.0,1.38,0,0,0.02
159,247.9,1.38,0,0,0.02
160,279.1,1.38,0,0,0.02
161,244.8,1.38,0,0,0.02
162,250.1,1.38,0,0,0.02
163,258.6,1.38,0,0,0.02
164,282.1,1.38,0,0,0.02
165,263.5,1.38,0,0,0.02
166,242.6,1.38,0,0,0.02
167,273.9,1.38,0,0,0.02
168,263.7,1.38,0,0,0.02
169,297.5,1.38,0,0,0.02
170,274.3,1.38,0,0,0.02
171,271.6,1.38,0,0,0.02
172,270.5,1.38,0,0,0.02
173,303.2,1.38,0,0,0.02
174,278.6,1.38,0,0,0.02
175,262.5,1.38,0,0,0.02
176,238.3,1.38,0,0,0.02
177,264.7,1.38,0,0,0.02
178,269.7,1.38,0,0,0.02
179,261.1,1.38,0,0,0.02
180,287.3,1.38,0,0,0.02
181,272.7,1.38,0,0,0.02
182,273.7,1.38,0,0,0.02
183,277.2,1.38,0,0,0.02
184,260.6,1.38,0,0,0.02
185,255.4,1.38,0,0,0.02
186,251.1,1.38,0,0,0.02
187,269.3,1.38,0,0,0.02
188,260.9,1.38,0,0,0.02
189,249.1,1.38,0,0,0.02
190,272.2,1.38,0,0,0.02
191,257.0,1.38,0,0,0.02
192,268.3,1.38,0,0,0.02
193,249.4,1.38,0,0,0.02
194,287.9,1.38,0,0,0.02
195,273.0,1.38,0,0,0.02
196,284.5,1.38,0,0,0.02
197,260.9,1.38,0,0,0.02
198,276.8,1.38,0,0,0.02
199,274.8,1.38,0,0,0.02
200,281.6,1.38,0,0,0.02
201,283.6,1.38,0,0,0.02
202,288.7,1.38,0,0,0.02
203,281.9,1.38,0,0,0.02
204,249.2,1.38,0,0,0.02
205,267.2,1.38,0,0,0.02
206,260.3,1.38,0,0,0.02
207,260.0,1.38,0,0,0.02
208,259.1,1.38,0,0,0.02
209,270.1,1.38,0,0,0.02
210,294.3,1.38,0,0,0.02
211,275.6,1.38,0,0,0.02
212,240.7,1.38,0,0,0.02
213,252.0,1.38,0,0,0.02
214,282.4,1.38,0,0,0.02
215,255.8,1.38,0,0,0.02
216,278.8,1.38,0,0,0.02
217,261.3,1.38,0,0,0.02
218,288.1,1.38,0,0,0.02
219,258.7,1.38,0,0,0.02
220,276.1,1.38,0,0,0.02
221,258.0,1.38,0,0,0.02
222,265.6,1.38,0,0,0.02
223,258.0,1.39,0,0,0.02
224,260.1,1.39,0,0,0.02
225,270.6,1.39,0,0,0.02
226,246.4,1.39,0,0,0.02
227,265.3,1.39,0,0,0.02
228,264.0,1.39,0,0,0.02
229,266.4,1.39,0,0,0.02
230,280.7,1.39,0,0,0.02
231,252.4,1.39,0,0,0.02
232,261.4,1.39,0,0,0.02
233,254.5,1.39,0,0,0.02
234,279.7,1.39,0,0,0.02
235,283.0,1.39,0,0,0.02
236,270.0,1.39,0,0,0.02
237,246.4,1.39,0,0,0.02
238,253.5,1.39,0,0,0.02
239,280.3,1.39,0,0,0.02
240,268.9,1.39,0,0,0.02
241,236.0,1.39,0,0,0.02
242,276.5,1.39,0,0,0.02
243,253.4,1.39,0,0,0.02
244,260.0,1.39,0,0,0.02
245,247.4,1.39,0,0,0.02
246,249.1,1.39,0,0,0.02
247,274.3,1.39,0,0,0.02
248,264.8,1.39,0,0,0.02
249,258.1,1.39,0,0,0.02
250,248.8,1.39,0,0,0.02
251,261.3,1.39,0,0,0.02
252,259.1,1.39,0,0,0.02
253,277.6,1.39,0,0,0.02
254,254.1,1.39,0,0,0.02
255,260.6,1.39,0,0,0.02
256,269.7,1.39,0,0,0.02
257,285.6,1.39,0,0,0.02
258,253.2,1.39,0,0,0.02
259,281.7,1.39,0,0,0.02
260,244.3,1.39,0,0,0.02
261,257.5,1.39,0,0,0.02
262,262.6,1.39,0,0,0.02
263,243.9,1.39,0,0,0.02
264,254.6,1.39,0,0,0.02
265,277.9,1.39,0,0,0.02
266,297.4,1.39,0,0,0.02
267,273.6,1.39,0,0,0.02
268,284.9,1.39,0,0,0.02
269,269.7,1.39,0,0,0.02
270,254.7,1.39,0,0,0.02
271,245.6,1.39,0,0,0.02
272,250.1,1.39,0,0,0.02
273,251.3,1.39,0,0,0.02
274,272.5,1.39,0,0,0.02
275,263.5,1.39,0,0,0.02
276,249.6,1.39,0,0,0.02
277,288.8,1.39,0,0,0.02
278,279.4,1.39,0,0,0.02
279,266.7,1.39,0,0,0.02
280,291.9,1.39,0,0,0.02
281,270.8,1.39,0,0,0.02
282,293.8,1.39,0,0,0.02
283,250.7,1.39,0,0,0.02
284,257.0,1.39,0,0,0.02
285,263.9,1.39,0,0,0.02
286,251.6,1.39,0,0,0.02
287,265.8,1.39,0,0,0.02
288,251.1,1.39,0,0,0.02
289,274.2,1.39,0,0,0.02
290,254.9,1.39,0,0,0.02
291,276.4,1.39,0,0,0.02
292,265.9,1.39,0,0,0.02
293,257.4,1.39,0,0,0.02
294,269.2,1.39,0,0,0.02
295,280.1,1.39,0,0,0.02
296,261.2,1.39,0,0,0.02
297,274.5,1.39,0,0,0.02
298,264.4,1.39,0,0,0.02
299,278.1,1.39,0,0,0.02
300,255.2,1.39,0,0,0.02
301,304.0,1.39,0,0,0.02
302,282.5,1.39,0,0,0.02
303,267.4,1.39,0,0,0.02
304,235.9,1.39,0,0,0.02
305,244.0,1.39,0,0,0.02
306,266.4,1.39,0,0,0.02
307,268.1,1.39,0,0,0.02
308,257.2,1.39,0,0,0.02
309,287.0,1.40,0,0,0.02
310,281.6,1.40,0,0,0.02
311,287.2,1.40,0,0,0.02
312,289.6,1.40,0,0,0.02
313,280.6,1.40,0,0,0.02
314,276.6,1.40,0,0,0.02
315,286.3,1.40,0,0,0.02
316,266.4,1.40,0,0,0.02
317,253.1,1.40,0,0,0.02
318,291.1,1.40,0,0,0.02
319,253.6,1.40,0,0,0.02
320,265.2,1.40,0,0,0.02
321,278.1,1.40,0,0,0.02
322,284.1,1.40,0,0,0.02
323,284.9,1.40,0,0,0.02
324,266.7,1.41,0,0,0.02
325,259.0,1.41,0,0,0.02
326,259.8,1.41,0,0,0.02
327,257.4,1.41,0,0,0.02
328,266.2,1.41,0,0,0.02
329,261.6,1.41,0,0,0.02
330,254.8,1.41,0,0,0.02
331,271.2,1.41,0,0,0.02
332,293.4,1.41,0,0,0.02
333,261.1,1.41,0,0,0.02
334,246.9,1.41,0,0,0.02
335,282.5,1.41,0,0,0.02
336,280.2,1.41,0,0,0.02
337,272.8,1.41,0,0,0.02
338,272.5,1.41,0,0,0.02
339,263.9,1.41,0,0,0.02
340,241.7,1.41,0,0,0.02
341,259.7,1.41,0,0,0.02
342,266.8,1.41,0,0,0.02
343,270.0,1.41,0,0,0.02
344,260.8,1.41,0,0,0.02
345,262.2,1.41,0,0,0.02
346,260.9,1.41,0,0,0.02
347,257.7,1.41,0,0,0.02
348,247.2,1.41,0,0,0.02
349,264.6,1.41,0,0,0.02
350,255.5,1.41,0,0,0.02
351,259.7,1.41,0,0,0.02
352,271.2,1.41,0,0,0.02
353,260.8,1.41,0,0,0.02
354,279.9,1.41,0,0,0.02
355,258.8,1.41,0,0,0.02
356,257.5,1.41,0,0,0.02
357,259.3,1.41,0,0,0.02
358,286.0,1.41,0,0,0.02
359,289.1,1.41,0,0,0.02
360,264.7,1.41,0,0,0.02
361,262.5,1.41,0,0,0.02
362,254.9,1.41,0,0,0.02
363,261.0,1.41,0,0,0.02
364,252.6,1.41,0,0,0.02
365,287.8,1.41,0,0,0.02
366,292.1,1.41,0,0,0.02
367,278.3,1.41,0,0,0.02
368,258.7,1.41,0,0,0.02
369,293.2,1.41,0,0,0.02
370,255.5,1.41,0,0,0.02
371,282.5,1.41,0,0,0.02
372,265.5,1.42,0,0,0.02
373,272.7,1.42,0,0,0.02
374,251.4,1.42,0,0,0.02
375,250.4,1.42,0,0,0.02
376,262.5,1.42,0,0,0.02
377,273.9,1.42,0,0,0.02
378,285.9,1.42,0,0,0.02
379,252.6,1.42,0,0,0.02
380,288.2,1.42,0,0,0.02
381,285.1,1.42,0,0,0.02
382,256.6,1.42,0,0,0.02
383,274.4,1.42,0,0,0.02
384,289.5,1.42,0,0,0.02
385,265.4,1.42,0,0,0.02
386,275.8,1.42,0,0,0.02
387,282.9,1.42,0,0,0.02
388,266.4,1.42,0,0,0.02
389,246.4,1.42,0,0,0.02
390,284.0,1.42,0,0,0.02
391,269.6,1.42,0,0,0.02
392,268.1,1.42,0,0,0.02
393,248.9,1.42,0,0,0.02
394,269.2,1.42,0,0,0.02
395,232.9,1.42,0,0,0.02
396,261.0,1.42,0,0,0.02
397,235.4,1.42,0,0,0.02
398,252.5,1.42,0,0,0.02
399,257.2,1.42,0,0,0.02
400,272.5,1.42,0,0,0.02
401,279.0,1.42,0,0,0.02
402,278.0,1.42,0,0,0.02
403,246.1,1.42,0,0,0.02
404,276.6,1.42,0,0,0.02
405,234.5,1.42,0,0,0.02
406,270.6,1.42,0,0,0.02
407,261.2,1.42,0,0,0.02
