round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,105.0,1.35,0,0,0.02
1,7.7,1.38,0,0,0.02
2,193.1,1.38,0,0,0.02
3,216.6,1.38,0,0,0.02
4,210.2,1.38,0,0,0.02
5,242.5,1.38,0,0,0.02
6,207.9,1.38,0,0,0.02
7,235.6,1.38,0,0,0.02
8,226.1,1.38,0,0,0.02
9,245.4,1.39,0,0,0.02
10,234.9,1.39,0,0,0.02
11,221.0,1.39,0,0,0.02
12,238.6,1.39,0,0,0.02
13,221.7,1.39,0,0,0.02
14,264.0,1.39,0,0,0.02
15,245.4,1.39,0,0,0.02
16,237.7,1.39,0,0,0.02
17,210.7,1.39,0,0,0.02
18,246.1,1.39,0,0,0.02
19,242.8,1.39,0,0,0.02
20,224.3,1.39,0,0,0.02
21,236.1,1.39,0,0,0.02
22,231.1,1.39,0,0,0.02
23,236.7,1.39,0,0,0.02
24,232.1,1.39,0,0,0.02
25,251.2,1.39,0,0,0.02
26,236.0,1.39,0,0,0.02
27,237.8,1.39,0,0,0.02
28,243.0,1.39,0,0,0.02
29,226.0,1.39,0,0,0.02
30,259.1,1.39,0,0,0.02
31,233.7,1.39,0,0,0.02
32,231.7,1.39,0,0,0.02
33,245.8,1.39,0,0,0.02
34,227.6,1.39,0,0,0.02
35,245.9,1.39,0,0,0.02
36,242.2,1.39,0,0,0.02
37,250.8,1.39,0,0,0.02
38,226.8,1.39,0,0,0.02
39,239.9,1.39,0,0,0.02
40,254.2,1.39,0,0,0.02
41,230.2,1.39,0,0,0.02
42,237.8,1.39,0,0,0.02
43,255.3,1.39,0,0,0.02
44,246.2,1.39,0,0,0.02
45,251.3,1.39,0,0,0.02
46,249.8,1.39,0,0,0.02
47,252.3,1.39,0,0,0.02
48,244.4,1.39,0,0,0.02
49,267.0,1.39,0,0,0.02
50,251.5,1.39,0,0,0.02
51,250.3,1.39,0,0,0.02
52,230.7,1.39,0,0,0.02
53,240.0,1.39,0,0,0.02
54,214.3,1.39,0,0,0.02
55,222.7,1.39,0,0,0.02
56,227.1,1.39,0,0,0.02
57,265.5,1.39,0,0,0.02
58,246.5,1.39,0,0,0.02
59,233.9,1.39,0,0,0.02
60,236.1,1.39,0,0,0.02
61,229.7,1.39,0,0,0.02
62,243.9,1.39,0,0,0.02
63,227.3,1.39,0,0,0.02
64,238.1,1.39,0,0,0.02
65,231.6,1.39,0,0,0.02
66,240.1,1.39,0,0,0.02
67,238.1,1.39,0,0,0.02
68,227.2,1.39,0,0,0.02
69,242.4,1.39,0,0,0.02
70,232.6,1.39,0,0,0.02
71,232.3,1.39,0,0,0.02
72,248.0,1.39,0,0,0.02
73,229.0,1.39,0,0,0.02
74,217.1,1.39,0,0,0.02
75,241.9,1.39,0,0,0.02
76,238.0,1.39,0,0,0.02
77,248.6,1.39,0,0,0.02
78,242.6,1.39,0,0,0.02
79,242.1,1.39,0,0,0.02
80,226.3,1.39,0,0,0.02
81,227.1,1.39,0,0,0.02
82,232.1,1.39,0,0,0.02
83,229.6,1.39,0,0,0.02
84,234.5,1.39,0,0,0.02
85,220.7,1.39,0,0,0.02
86,228.6,1.39,0,0,0.02
87,253.3,1.39,0,0,0.02
88,231.1,1.39,0,0,0.02
89,226.9,1.39,0,0,0.02
90,234.6,1.39,0,0,0.02
91,220.6,1.39,0,0,0.02
92,241.0,1.39,0,0,0.02
93,226.5,1.39,0,0,0.02
94,247.9,1.39,0,0,0.02
95,231.3,1.39,0,0,0.02
96,249.9,1.39,0,0,0.02
97,238.1,1.39,0,0,0.02
98,247.1,1.39,0,0,0.02
99,230.8,1.39,0,0,0.02
100,236.0,1.39,0,0,0.02
101,215.5,1.39,0,0,0.02
102,229.3,1.39,0,0,0.02
103,230.1,1.39,0,0,0.02
104,231.7,1.39,0,0,0.02
105,217.8,1.39,0,0,0.02
106,224.4,1.39,0,0,0.02
107,234.5,1.39,0,0,0.02
108,223.8,1.39,0,0,0.02
109,249.0,1.39,0,0,0.02
110,229.3,1.39,0,0,0.02
111,236.6,1.39,0,0,0.02
112,231.2,1.39,0,0,0.02
113,241.6,1.39,0,0,0.02
114,233.7,1.39,0,0,0.02
115,251.6,1.39,0,0,0.02
116,232.8,1.39,0,0,0.02
117,241.2,1.39,0,0,0.02
118,232.1,1.39,0,0,0.02
119,254.0,1.39,0,0,0.02
120,227.8,1.39,0,0,0.02
121,239.2,1.39,0,0,0.02
122,226.8,1.39,0,0,0.02
123,246.3,1.39,0,0,0.02
124,214.8,1.39,0,0,0.02
125,221.7,1.39,0,0,0.02
126,239.0,1.39,0,0,0.02
127,218.8,1.39,0,0,0.02
128,247.0,1.39,0,0,0.02
129,262.4,1.39,0,0,0.02
130,244.6,1.39,0,0,0.02
131,253.6,1.39,0,0,0.02
132,251.7,1.39,0,0,0.02
133,229.9,1.39,0,0,0.02
134,234.4,1.39,0,0,0.02
135,238.7,1.39,0,0,0.02
136,224.8,1.39,0,0,0.02
137,271.0,1.39,0,0,0.02
138,219.0,1.39,0,0,0.02
139,244.4,1.39,0,0,0.02
140,228.4,1.39,0,0,0.02
141,256.9,1.39,0,0,0.02
142,232.8,1.39,0,0,0.02
143,234.9,1.39,0,0,0.02
144,234.9,1.39,0,0,0.02
145,235.1,1.39,0,0,0.02
146,241.8,1.39,0,0,0.02
147,227.3,1.39,0,0,0.02
148,226.2,1.39,0,0,0.02
149,224.1,1.39,0,0,0.02
150,248.5,1.39,0,0,0.02
151,222.2,1.39,0,0,0.02
152,236.6,1.39,0,0,0.02
153,225.3,1.39,0,0,0.02
154,240.3,1.39,0,0,0.02
155,230.6,1.39,0,0,0.02
156,197.1,1.39,0,0,0.02
157,238.0,1.39,0,0,0.02
158,219.2,1.39,0,0,0.02
159,238.1,1.39,0,0,0.02
160,255.5,1.39,0,0,0.02
161,242.3,1.39,0,0,0.02
162,253.5,1.39,0,0,0.02
163,230.8,1.39,0,0,0.02
164,214.8,1.39,0,0,0.02
165,259.9,1.39,0,0,0.02
166,236.0,1.39,0,0,0.02
167,246.3,1.39,0,0,0.02
168,239.7,1.39,0,0,0.02
169,218.7,1.39,0,0,0.02
170,235.7,1.39,0,0,0.02
171,242.0,1.39,0,0,0.02
172,231.8,1.39,0,0,0.02
173,232.8,1.39,0,0,0.02
174,235.2,1.39,0,0,0.02
175,245.8,1.39,0,0,0.02
176,232.3,1.39,0,0,0.02
177,235.8,1.39,0,0,0.02
178,222.9,1.39,0,0,0.02
179,246.2,1.39,0,0,0.02
180,265.3,1.39,0,0,0.02
181,244.2,1.39,0,0,0.02
182,237.3,1.39,0,0,0.02
183,227.4,1.39,0,0,0.02
184,225.9,1.39,0,0,0.02
185,233.7,1.39,0,0,0.02
186,231.7,1.39,0,0,0.02
187,229.1,1.39,0,0,0.02
188,226.0,1.39,0,0,0.02
189,223.9,1.39,0,0,0.02
190,237.7,1.39,0,0,0.02
191,233.6,1.39,0,0,0.02
192,231.5,1.39,0,0,0.02
193,233.8,1.39,0,0,0.02
194,241.0,1.39,0,0,0.02
195,228.2,1.39,0,0,0.02
196,238.0,1.39,0,0,0.02
197,234.5,1.39,0,0,0.02
198,225.2,1.39,0,0,0.02
199,241.6,1.39,0,0,0.02
200,243.4,1.39,0,0,0.02
201,249.9,1.39,0,0,0.02
202,225.0,1.39,0,0,0.02
203,254.1,1.39,0,0,0.02
204,226.4,1.39,0,0,0.02
205,238.3,1.39,0,0,0.02
206,221.0,1.39,0,0,0.02
207,235.6,1.39,0,0,0.02
208,213.5,1.39,0,0,0.02
209,230.5,1.39,0,0,0.02
210,241.8,1.39,0,0,0.02
211,228.4,1.39,0,0,0.02
212,254.4,1.39,0,0,0.02
