round,loss,accuracy,precision,recall,f1,global_accuracy,weighted_accuracy
0,2.3039319394510005,0.0985,0.027946363665096875,0.0985,0.020018646838837424,0.0,0.0
1,2.2588033525249624,0.1806,0.15522543260509633,0.1806,0.10291432715488702,0.2001666666666667,0.20016666666666666
2,2.1103272166433213,0.2712,0.2472646110168668,0.2712,0.215856145157144,0.2966666666666667,0.2966666666666667
3,1.9814130143274236,0.3163,0.29813226581373475,0.3163,0.26988391777595433,0.34322222222222226,0.3432222222222222
4,1.8763151017925408,0.3547,0.2904411801206998,0.35469999999999996,0.3083886481686056,0.38805555555555554,0.38805555555555554
5,1.8249168954318082,0.3628,0.3119466506719129,0.3628,0.3212653057407586,0.39688888888888885,0.3968888888888889
6,1.752332489701766,0.3902,0.32283677335135436,0.3902,0.3409402158728681,0.4292222222222222,0.4292222222222222
7,1.709166940254501,0.3893,0.4429310118304615,0.3893,0.3488367055474121,0.43477777777777776,0.43477777777777776
8,1.6500858053376404,0.4004,0.44727007527731777,0.40040000000000003,0.35567337387485826,0.4452222222222222,0.44522222222222224
9,1.6200955713851541,0.4104,0.451091132216654,0.4104,0.3679419301530648,0.46116666666666667,0.46116666666666667
10,1.5824638967272602,0.4232,0.4495299790569421,0.4232,0.3771393726921654,0.46994444444444444,0.46994444444444444
11,1.5587163620357272,0.4312,0.4628554276270542,0.4311999999999999,0.3961784547685087,0.4820555555555555,0.48205555555555557
12,1.5437603856943831,0.4407,0.4659349242195286,0.4407,0.400447921957838,0.48816666666666664,0.4881666666666667
13,1.5148488554773452,0.4547,0.4965064317277849,0.45470000000000005,0.42599216089559144,0.49805555555555553,0.49805555555555553
14,1.5017635912834844,0.4556,0.49464737341373183,0.4555999999999999,0.4198482163879766,0.4995,0.4995
15,1.4755594443671312,0.4694,0.5004482861984522,0.46939999999999993,0.44760698969139645,0.5086111111111111,0.5086111111111111
16,1.4673252996010115,0.4729,0.5027018141166135,0.4729,0.4485054512764603,0.5113333333333333,0.5113333333333333
17,1.4656688080558293,0.4749,0.518720326729244,0.4749,0.4475976606736354,0.5165000000000001,0.5165
18,1.4293621401243572,0.4892,0.5138987716190402,0.4892,0.46607332355291753,0.5255,0.5255
19,1.431664400462863,0.4868,0.5249791536149178,0.4868,0.4751254277961882,0.5217777777777778,0.5217777777777778
20,1.3972799355470682,0.5001,0.5175624653010892,0.5001,0.4754250433590091,0.5385,0.5385
21,1.414333921444567,0.4913,0.5257928764387574,0.4913,0.4660483775888218,0.536611111111111,0.5366111111111111
22,1.3748672068873538,0.5095,0.5310929531393425,0.5095000000000001,0.4939981860860609,0.5455555555555556,0.5455555555555556
23,1.3733943127378632,0.5152,0.5384615646168818,0.5152,0.5065195905273411,0.5479444444444445,0.5479444444444445
24,1.3865304279930983,0.5044,0.5257855148482761,0.5044000000000001,0.48294785830484965,0.5479444444444445,0.5479444444444445
25,1.3659033850778508,0.5215,0.5401790183187497,0.5215,0.5114986857704076,0.5525555555555556,0.5525555555555556
26,1.3562488691716255,0.5212,0.5447718221971509,0.5212,0.5089246263957581,0.5587222222222222,0.5587222222222222
27,1.3640973854668532,0.5137,0.5416877464386026,0.5136999999999999,0.5008624392907328,0.5603888888888889,0.5603888888888889
28,1.3424608360362957,0.53,0.549501698595044,0.53,0.5235375785911798,0.5674444444444444,0.5674444444444444
29,1.3499900932553448,0.5222,0.5448770513794303,0.5222,0.5120114768748746,0.5662777777777778,0.5662777777777778
30,1.3297645834427845,0.5312,0.5505798647428031,0.5312,0.5205552343833362,0.5730555555555555,0.5730555555555555
31,1.3336738348007202,0.5308,0.5478945527938623,0.5307999999999999,0.5242192834015797,0.5701666666666667,0.5701666666666667
32,1.3480867554869833,0.5176,0.5383042972804188,0.5176,0.5029522096618106,0.5748333333333333,0.5748333333333333
33,1.3221263131008874,0.5399,0.5556875983465985,0.5399,0.5370924868421061,0.5763333333333334,0.5763333333333334
34,1.344582978683182,0.5255,0.5470182781054891,0.5255000000000001,0.5145644716252766,0.5720555555555555,0.5720555555555555
35,1.32988342303264,0.5338,0.5504136134104087,0.5338,0.5282627018927324,0.5796111111111112,0.5796111111111111
36,1.3237672636780558,0.5347,0.5465061696611067,0.5347000000000001,0.5258508155115996,0.5866666666666667,0.5866666666666667
37,1.3281350543227377,0.5339,0.5546118991742369,0.5338999999999999,0.5247378304341964,0.5840555555555556,0.5840555555555556
38,1.3216146532493303,0.5395,0.5565433009341694,0.5395000000000001,0.5365129707013737,0.5864444444444444,0.5864444444444444
39,1.3143255363536785,0.5435,0.5552058063108187,0.5435,0.5390979896973903,0.5866666666666667,0.5866666666666667
40,1.314940952047517,0.5406,0.5470014460660543,0.5406,0.5338928080102889,0.5938333333333333,0.5938333333333333
41,1.3257347511339792,0.5362,0.557539391013346,0.5362,0.5292588029531017,0.5885,0.5885
42,1.349754983865762,0.5305,0.5473401831529136,0.5305,0.5222596594298996,0.5896111111111111,0.5896111111111111
43,1.350524496428574,0.5256,0.5521850709476619,0.5256000000000001,0.5213142617020854,0.5852777777777778,0.5852777777777778
44,1.339504435092588,0.5371,0.5490715825907613,0.5371,0.5328059828456273,0.5916666666666667,0.5916666666666667
45,1.333234823202785,0.5291,0.5440969647167238,0.5291,0.5244180516183689,0.5957222222222222,0.5957222222222223
46,1.341374133206621,0.5333,0.5471343903093108,0.5333000000000001,0.530252404747215,0.5975,0.5975
47,1.3675773204127444,0.5262,0.548094830313117,0.5262,0.5220509096893458,0.5874444444444444,0.5874444444444444
48,1.349315668963179,0.5328,0.5468582082302762,0.5327999999999999,0.5282204267770505,0.5946111111111111,0.5946111111111111
49,1.3622627031954029,0.5346,0.5495400355858654,0.5346,0.5334624554471509,0.5890000000000001,0.589
50,1.3665395250803307,0.5311,0.5472195515241134,0.5311,0.5281193195384704,0.5948888888888889,0.5948888888888889
51,1.3678802991215187,0.5316,0.5445872910294516,0.5316000000000001,0.5295330597085257,0.5974444444444444,0.5974444444444444
52,1.3910033053989652,0.5272,0.5452808697592189,0.5271999999999999,0.5212700657021825,0.5996111111111111,0.5996111111111111
53,1.3901030519340611,0.5295,0.5410260194879791,0.5295,0.5259823715322958,0.5971666666666666,0.5971666666666666
54,1.384614953511878,0.5326,0.5426185514155034,0.5326000000000001,0.5287793392282643,0.6006111111111111,0.6006111111111111
55,1.4237113330937639,0.5229,0.5411033669983716,0.5229000000000001,0.5182690090976552,0.5969444444444444,0.5969444444444445
56,1.4311069099208977,0.5251,0.5364238717224697,0.5251,0.521232869638949,0.5987777777777777,0.5987777777777777
57,1.4272007851661006,0.5216,0.5334455235030557,0.5216000000000001,0.5194912293015158,0.5997777777777779,0.5997777777777777
58,1.4123313517510137,0.5279,0.5358333823625261,0.5279,0.5242014801760018,0.6018888888888889,0.6018888888888889
59,1.4495069452478915,0.5166,0.531673879516293,0.5166000000000001,0.5119658497463877,0.6017777777777779,0.6017777777777777
60,1.4650022727024705,0.5216,0.5393827857751672,0.5216000000000001,0.5199783474195824,0.5952222222222222,0.5952222222222222
61,1.4662529682811303,0.5179,0.5326489249755136,0.5179,0.5138145840823641,0.6022222222222222,0.6022222222222222
62,1.4723664250554918,0.521,0.5361887099648571,0.5209999999999999,0.5182255991394704,0.5975555555555555,0.5975555555555555
63,1.492120225218278,0.5207,0.5386956703447666,0.5207,0.5175993850177265,0.5991111111111111,0.5991111111111111
64,1.4995643881302845,0.5208,0.5319518827779347,0.5208,0.5163441292748863,0.6026111111111111,0.6026111111111111
65,1.5177539466302605,0.5161,0.5353758005914335,0.5161,0.5157146051754996,0.5992222222222222,0.5992222222222222
66,1.4961888729771482,0.5204,0.5268230933041715,0.5204,0.5185639611045114,0.598388888888889,0.5983888888888889
67,1.5227089169659191,0.521,0.5326474405862118,0.5209999999999999,0.5204294753379086,0.6045555555555556,0.6045555555555555
68,1.5131492448758475,0.5229,0.5315270131239469,0.5228999999999999,0.5204923653048339,0.6014444444444444,0.6014444444444444
