round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,123.5,1.35,0,0,0.02
1,8.1,1.38,0,0,0.02
2,232.5,1.38,0,0,0.02
3,227.2,1.39,0,0,0.02
4,209.4,1.39,0,0,0.02
5,285.6,1.39,0,0,0.02
6,277.5,1.39,0,0,0.02
7,241.9,1.39,0,0,0.02
8,232.1,1.39,0,0,0.02
9,253.7,1.39,0,0,0.02
10,255.1,1.39,0,0,0.02
11,244.3,1.39,0,0,0.02
12,263.1,1.39,0,0,0.02
13,260.5,1.39,0,0,0.02
14,255.8,1.39,0,0,0.02
15,253.6,1.39,0,0,0.02
16,235.3,1.39,0,0,0.02
17,262.7,1.39,0,0,0.02
18,243.3,1.39,0,0,0.02
19,264.9,1.39,0,0,0.02
20,253.1,1.39,0,0,0.02
21,266.0,1.39,0,0,0.02
22,271.0,1.39,0,0,0.02
23,264.8,1.39,0,0,0.02
24,250.5,1.39,0,0,0.02
25,256.0,1.39,0,0,0.02
26,302.4,1.39,0,0,0.02
27,235.4,1.39,0,0,0.02
28,222.7,1.39,0,0,0.02
29,254.4,1.39,0,0,0.02
30,268.9,1.39,0,0,0.02
31,230.5,1.39,0,0,0.02
32,236.1,1.39,0,0,0.02
33,245.6,1.39,0,0,0.02
34,283.2,1.39,0,0,0.02
35,238.5,1.39,0,0,0.02
36,279.8,1.39,0,0,0.02
37,288.6,1.39,0,0,0.02
38,244.2,1.39,0,0,0.02
39,236.6,1.39,0,0,0.02
40,255.3,1.39,0,0,0.02
41,282.8,1.39,0,0,0.02
42,242.9,1.39,0,0,0.02
43,243.4,1.39,0,0,0.02
44,261.7,1.39,0,0,0.02
45,250.4,1.39,0,0,0.02
46,232.8,1.39,0,0,0.02
47,267.5,1.39,0,0,0.02
48,234.2,1.39,0,0,0.02
49,243.9,1.39,0,0,0.02
50,258.5,1.39,0,0,0.02
51,241.1,1.39,0,0,0.02
52,267.8,1.39,0,0,0.02
53,277.2,1.39,0,0,0.02
54,237.5,1.39,0,0,0.02
55,238.5,1.39,0,0,0.02
56,248.7,1.39,0,0,0.02
57,263.5,1.39,0,0,0.02
58,252.7,1.39,0,0,0.02
59,234.4,1.39,0,0,0.02
60,279.1,1.39,0,0,0.02
61,276.2,1.39,0,0,0.02
62,260.8,1.39,0,0,0.02
63,249.3,1.39,0,0,0.02
64,266.3,1.39,0,0,0.02
65,249.1,1.39,0,0,0.02
66,237.0,1.39,0,0,0.02
67,267.4,1.39,0,0,0.02
68,244.5,1.39,0,0,0.02
69,239.7,1.39,0,0,0.02
70,234.1,1.39,0,0,0.02
71,239.3,1.39,0,0,0.02
72,249.5,1.39,0,0,0.02
73,250.4,1.39,0,0,0.02
74,239.6,1.39,0,0,0.02
75,255.1,1.39,0,0,0.02
76,258.1,1.39,0,0,0.02
77,225.6,1.39,0,0,0.02
78,224.0,1.39,0,0,0.02
79,199.7,1.39,0,0,0.02
80,216.2,1.39,0,0,0.02
81,225.7,1.39,0,0,0.02
82,235.5,1.39,0,0,0.02
83,226.7,1.39,0,0,0.02
84,231.6,1.39,0,0,0.02
85,231.8,1.39,0,0,0.02
86,267.0,1.39,0,0,0.02
87,279.0,1.39,0,0,0.02
88,257.5,1.39,0,0,0.02
89,267.7,1.39,0,0,0.02
90,287.7,1.39,0,0,0.02
91,240.4,1.39,0,0,0.02
92,243.3,1.39,0,0,0.02
93,263.1,1.39,0,0,0.02
94,264.0,1.39,0,0,0.02
95,260.2,1.39,0,0,0.02
96,268.4,1.39,0,0,0.02
97,239.3,1.39,0,0,0.02
98,251.2,1.39,0,0,0.02
99,229.3,1.39,0,0,0.02
100,236.8,1.39,0,0,0.02
101,241.3,1.39,0,0,0.02
102,269.0,1.39,0,0,0.02
103,251.5,1.39,0,0,0.02
104,263.5,1.39,0,0,0.02
105,264.8,1.39,0,0,0.02
106,253.4,1.39,0,0,0.02
107,240.7,1.39,0,0,0.02
108,234.8,1.39,0,0,0.02
109,233.4,1.39,0,0,0.02
110,239.6,1.39,0,0,0.02
111,265.2,1.39,0,0,0.02
112,267.9,1.39,0,0,0.02
113,240.5,1.39,0,0,0.02
114,246.4,1.39,0,0,0.02
115,264.4,1.39,0,0,0.02
116,243.0,1.39,0,0,0.02
117,246.9,1.39,0,0,0.02
118,274.0,1.39,0,0,0.02
119,279.1,1.39,0,0,0.02
120,262.6,1.39,0,0,0.02
121,251.3,1.39,0,0,0.02
122,276.9,1.39,0,0,0.02
123,260.4,1.39,0,0,0.02
124,263.9,1.39,0,0,0.02
125,242.1,1.39,0,0,0.02
126,235.3,1.39,0,0,0.02
127,235.2,1.39,0,0,0.02
128,238.1,1.39,0,0,0.02
129,256.0,1.39,0,0,0.02
130,246.3,1.39,0,0,0.02
131,238.2,1.39,0,0,0.02
132,238.7,1.39,0,0,0.02
133,249.2,1.39,0,0,0.02
134,269.2,1.39,0,0,0.02
135,255.4,1.39,0,0,0.02
136,255.5,1.39,0,0,0.02
137,274.3,1.39,0,0,0.02
138,235.4,1.39,0,0,0.02
139,257.5,1.39,0,0,0.02
140,277.5,1.39,0,0,0.02
141,238.6,1.39,0,0,0.02
142,254.6,1.39,0,0,0.02
143,240.5,1.39,0,0,0.02
144,252.8,1.39,0,0,0.02
145,234.9,1.39,0,0,0.02
146,230.3,1.39,0,0,0.02
147,228.3,1.39,0,0,0.02
148,241.9,1.39,0,0,0.02
149,270.2,1.39,0,0,0.02
150,238.8,1.39,0,0,0.02
151,269.8,1.39,0,0,0.02
152,236.6,1.39,0,0,0.02
153,221.8,1.39,0,0,0.02
154,239.5,1.39,0,0,0.02
155,271.9,1.39,0,0,0.02
156,217.8,1.39,0,0,0.02
157,256.2,1.39,0,0,0.02
158,279.4,1.39,0,0,0.02
159,238.3,1.39,0,0,0.02
160,240.6,1.39,0,0,0.02
161,256.7,1.39,0,0,0.02
162,262.7,1.39,0,0,0.02
163,253.1,1.39,0,0,0.02
164,245.5,1.39,0,0,0.02
165,263.5,1.39,0,0,0.02
166,231.6,1.39,0,0,0.02
167,254.6,1.39,0,0,0.02
168,283.1,1.39,0,0,0.02
169,261.9,1.39,0,0,0.02
170,261.0,1.39,0,0,0.02
171,252.9,1.39,0,0,0.02
172,256.5,1.39,0,0,0.02
173,260.1,1.39,0,0,0.02
174,248.0,1.39,0,0,0.02
175,237.3,1.39,0,0,0.02
176,257.4,1.39,0,0,0.02
177,260.5,1.39,0,0,0.02
178,250.0,1.39,0,0,0.02
179,252.9,1.39,0,0,0.02
180,239.7,1.39,0,0,0.02
181,253.9,1.39,0,0,0.02
182,262.4,1.39,0,0,0.02
183,254.7,1.39,0,0,0.02
184,250.7,1.39,0,0,0.02
185,265.6,1.39,0,0,0.02
186,280.7,1.39,0,0,0.02
187,235.7,1.39,0,0,0.02
188,235.5,1.39,0,0,0.02
