round,loss,accuracy,precision,recall,f1,global_accuracy,weighted_accuracy
0,2.30426384527472,0.0795,0.02689043890034986,0.0795,0.02869810131078321,0.0,0.0
1,2.297266673438157,0.1018,0.07670178959692256,0.1018,0.021745209485256933,0.09949999999999999,0.102
2,2.1834055502203444,0.2173,0.1859935356430777,0.2173,0.14731041707694406,0.22369444444444445,0.2212
3,2.1016779232628737,0.2868,0.33676866169488434,0.28680000000000005,0.2176627174678992,0.26911111111111113,0.2805
4,1.8972586544254157,0.312,0.3405995368451508,0.312,0.2963543318575027,0.3169722222222222,0.3158
5,1.8082351443133777,0.3541,0.37724643055507434,0.35409999999999997,0.33890762048613843,0.35155555555555557,0.3517
6,1.7385309572461285,0.3818,0.4006391917811767,0.3818,0.34663337501789104,0.37847222222222227,0.39
7,1.727915013892741,0.3808,0.42076463173831835,0.38079999999999997,0.3542623208561023,0.3723055555555555,0.3846
8,1.6634285178365587,0.3975,0.42211072162208385,0.3975,0.3944681437010387,0.39325000000000004,0.3989
9,1.6794786438157288,0.3854,0.4503707831211236,0.3854,0.3839667267102404,0.3813611111111111,0.382
10,1.6560270846644534,0.4064,0.4313347685584584,0.4064,0.4066287937980337,0.40147222222222223,0.4032
11,1.6662666012969198,0.4103,0.4205512308469615,0.4103,0.39974692083814467,0.4038333333333333,0.409
12,1.6627514437784123,0.4072,0.4184510275153578,0.4072,0.3922872231253061,0.40311111111111114,0.4078
13,1.6547427630122704,0.4104,0.425013130916754,0.4104,0.4005124056144755,0.4028055555555556,0.4074
14,1.6360173391390451,0.42,0.4359714160278828,0.42000000000000004,0.4165571686519886,0.41172222222222227,0.4153
15,1.6158258990396428,0.431,0.44842822533971083,0.43099999999999994,0.4302618759757887,0.42850000000000005,0.4322
16,1.623186962513984,0.4294,0.4701107389075803,0.42939999999999995,0.4298231834635657,0.43469444444444444,0.4344
17,1.635585813582698,0.4282,0.4708963698608371,0.4282,0.4259009898639331,0.44097222222222227,0.4408
18,1.604439122767388,0.4446,0.476395597554613,0.4446,0.4452800935647151,0.44930555555555557,0.4517
19,1.5876486512679089,0.4532,0.47595751026665367,0.4532,0.4554498325941691,0.45808333333333334,0.463
20,1.5738060021702247,0.4593,0.4836537812375175,0.4593,0.46204129162872604,0.46249999999999997,0.4676
21,1.5547224056871631,0.4611,0.4861858727915074,0.46110000000000007,0.4640539558454579,0.46913888888888894,0.4745
22,1.5359706048724018,0.4694,0.4871112859378856,0.4694,0.471225619821098,0.4753611111111111,0.4801
23,1.5255441409123094,0.4752,0.4851909309815231,0.47520000000000007,0.47438125411627663,0.4797777777777778,0.4847
24,1.516593726375435,0.4744,0.48281974054759225,0.4744,0.47521443355131787,0.4815833333333333,0.4868
25,1.5212318338925326,0.4758,0.49134858147643945,0.4758,0.48032661788126185,0.47955555555555557,0.4836
26,1.518107356904428,0.4759,0.4977369399244133,0.47590000000000005,0.4819986920603142,0.47786111111111107,0.4822
27,1.5239255367955076,0.4725,0.49134049390159173,0.4725,0.4747832759806653,0.47202777777777777,0.4775
28,1.5366888861112957,0.4711,0.48815880895214947,0.4711,0.46900164877846373,0.46913888888888894,0.4756
29,1.5471329975731765,0.4661,0.4830292400119081,0.46609999999999996,0.46201952430504567,0.4669722222222223,0.4739
30,1.5604708707785304,0.4605,0.482027093399647,0.46049999999999996,0.45961867493089886,0.46411111111111114,0.4696
31,1.583469267132916,0.4632,0.49031170211070874,0.46319999999999995,0.46684834941077236,0.4660555555555555,0.4693
32,1.5951250535023362,0.4654,0.48986408262404035,0.4654,0.46997348127965877,0.47008333333333335,0.4734
33,1.5884097799470154,0.4699,0.4850824036785458,0.4699,0.47289489999166034,0.4751944444444445,0.4801
34,1.5877725927135613,0.4774,0.48556996125012963,0.4774,0.47747458250310204,0.47727777777777775,0.4838
35,1.58090520206886,0.4771,0.48183299601640356,0.47709999999999997,0.47410229052396496,0.48127777777777775,0.4884
36,1.5636457853679415,0.4823,0.48531937912896705,0.48230000000000006,0.4790657662014849,0.48586111111111113,0.4927
37,1.5703569092328036,0.4828,0.49034862364559145,0.4828,0.4808562830023881,0.4870833333333333,0.4909
38,1.589447865003272,0.4813,0.49329485859322186,0.48130000000000006,0.4805585952606714,0.47836111111111107,0.4812
39,1.6199813417241544,0.4788,0.4964328266452481,0.4788,0.4796617129774224,0.47422222222222227,0.4769
40,1.6436218853238262,0.4785,0.4948288382129057,0.47850000000000004,0.4797447235090904,0.47475,0.4782
41,1.6647320842441125,0.4765,0.4889449367182645,0.4765,0.47637990154277643,0.47425,0.4798
42,1.6979413070256197,0.4757,0.4857958809330711,0.47569999999999996,0.47327428232156804,0.4717777777777778,0.4787
43,1.7016949721529513,0.4771,0.4859188757384171,0.4771000000000001,0.47652294120206495,0.47502777777777777,0.482
44,1.6943650675725332,0.4781,0.4875480607781782,0.47809999999999997,0.48016394695938674,0.47647222222222224,0.4826
45,1.6939488664458069,0.4757,0.48574787166186173,0.47570000000000007,0.4780700897433777,0.47675,0.4822
46,1.7082950027683113,0.4784,0.48900313625300074,0.4784,0.47920413816013535,0.4721944444444444,0.478
