round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,156.8,1.34,0,0,0.02
1,8.3,1.38,0,0,0.02
2,223.9,1.38,0,0,0.02
3,215.7,1.38,0,0,0.02
4,234.5,1.38,0,0,0.02
5,222.7,1.38,0,0,0.02
6,226.2,1.38,0,0,0.02
7,231.1,1.38,0,0,0.02
8,224.2,1.38,0,0,0.02
9,228.3,1.38,0,0,0.02
10,258.3,1.38,0,0,0.02
11,224.8,1.38,0,0,0.02
12,229.5,1.38,0,0,0.02
13,212.4,1.38,0,0,0.02
14,221.1,1.38,0,0,0.02
15,202.8,1.38,0,0,0.02
16,220.0,1.38,0,0,0.02
17,219.6,1.38,0,0,0.02
18,237.9,1.38,0,0,0.02
19,222.6,1.38,0,0,0.02
20,226.5,1.39,0,0,0.02
21,223.4,1.39,0,0,0.02
22,226.5,1.39,0,0,0.02
23,238.5,1.39,0,0,0.02
24,224.7,1.39,0,0,0.02
25,225.4,1.39,0,0,0.02
26,223.0,1.39,0,0,0.02
27,226.2,1.39,0,0,0.02
28,223.1,1.39,0,0,0.02
29,233.7,1.39,0,0,0.02
30,198.5,1.39,0,0,0.02
31,245.8,1.39,0,0,0.02
32,216.2,1.39,0,0,0.02
33,221.9,1.39,0,0,0.02
34,225.8,1.39,0,0,0.02
35,232.8,1.39,0,0,0.02
36,229.0,1.39,0,0,0.02
37,219.9,1.39,0,0,0.02
38,233.1,1.39,0,0,0.02
39,235.7,1.39,0,0,0.02
40,229.7,1.39,0,0,0.02
41,229.5,1.39,0,0,0.02
42,224.2,1.39,0,0,0.02
43,232.3,1.39,0,0,0.02
44,267.4,1.39,0,0,0.02
45,227.0,1.39,0,0,0.02
46,215.9,1.39,0,0,0.02
47,241.2,1.39,0,0,0.02
48,235.7,1.39,0,0,0.02
49,251.3,1.39,0,0,0.02
50,238.5,1.39,0,0,0.02
51,237.7,1.39,0,0,0.02
52,256.2,1.39,0,0,0.02
53,230.5,1.39,0,0,0.02
54,218.6,1.39,0,0,0.02
55,237.0,1.39,0,0,0.02
56,245.1,1.39,0,0,0.02
57,216.7,1.39,0,0,0.02
58,236.5,1.39,0,0,0.02
59,240.8,1.39,0,0,0.02
60,230.3,1.39,0,0,0.02
61,252.7,1.39,0,0,0.02
62,236.6,1.39,0,0,0.02
63,226.8,1.39,0,0,0.02
64,224.5,1.39,0,0,0.02
65,230.9,1.39,0,0,0.02
66,236.9,1.39,0,0,0.02
67,227.8,1.39,0,0,0.02
68,232.7,1.39,0,0,0.02
69,225.1,1.39,0,0,0.02
70,219.6,1.39,0,0,0.02
71,218.1,1.39,0,0,0.02
72,237.5,1.39,0,0,0.02
73,229.3,1.39,0,0,0.02
74,231.8,1.39,0,0,0.02
75,220.0,1.39,0,0,0.02
76,232.2,1.39,0,0,0.02
77,223.2,1.39,0,0,0.02
78,230.5,1.39,0,0,0.02
79,236.7,1.39,0,0,0.02
80,235.8,1.39,0,0,0.02
81,232.4,1.39,0,0,0.02
82,224.7,1.39,0,0,0.02
83,221.0,1.39,0,0,0.02
84,234.7,1.39,0,0,0.02
85,229.3,1.39,0,0,0.02
86,213.6,1.39,0,0,0.02
87,220.2,1.39,0,0,0.02
88,250.0,1.39,0,0,0.02
89,237.8,1.39,0,0,0.02
90,240.6,1.39,0,0,0.02
91,221.3,1.39,0,0,0.02
92,223.0,1.39,0,0,0.02
93,222.2,1.39,0,0,0.02
94,224.7,1.39,0,0,0.02
95,246.9,1.39,0,0,0.02
96,237.1,1.39,0,0,0.02
97,223.2,1.39,0,0,0.02
98,231.1,1.39,0,0,0.02
99,231.9,1.39,0,0,0.02
100,234.5,1.39,0,0,0.02
101,224.1,1.39,0,0,0.02
102,247.4,1.39,0,0,0.02
103,224.0,1.39,0,0,0.02
104,231.5,1.39,0,0,0.02
105,215.5,1.39,0,0,0.02
106,212.0,1.39,0,0,0.02
107,238.0,1.39,0,0,0.02
108,217.9,1.39,0,0,0.02
109,209.8,1.39,0,0,0.02
110,244.1,1.39,0,0,0.02
111,232.1,1.39,0,0,0.02
112,223.8,1.39,0,0,0.02
113,224.0,1.39,0,0,0.02
114,235.9,1.39,0,0,0.02
115,248.9,1.39,0,0,0.02
116,263.9,1.39,0,0,0.02
117,233.2,1.39,0,0,0.02
118,221.4,1.39,0,0,0.02
119,222.6,1.39,0,0,0.02
120,250.8,1.39,0,0,0.02
121,231.9,1.39,0,0,0.02
122,219.0,1.39,0,0,0.02
123,233.3,1.39,0,0,0.02
124,234.0,1.39,0,0,0.02
125,232.0,1.39,0,0,0.02
126,242.9,1.39,0,0,0.02
127,252.0,1.39,0,0,0.02
128,234.7,1.39,0,0,0.02
129,233.8,1.39,0,0,0.02
130,228.5,1.39,0,0,0.02
131,221.4,1.39,0,0,0.02
132,221.4,1.39,0,0,0.02
133,247.5,1.39,0,0,0.02
134,240.9,1.39,0,0,0.02
135,227.0,1.39,0,0,0.02
136,226.1,1.39,0,0,0.02
137,226.3,1.39,0,0,0.02
138,232.2,1.39,0,0,0.02
139,209.0,1.39,0,0,0.02
140,218.2,1.39,0,0,0.02
141,192.8,1.39,0,0,0.02
142,215.6,1.39,0,0,0.02
143,242.2,1.39,0,0,0.02
144,204.2,1.39,0,0,0.02
145,225.0,1.39,0,0,0.02
146,222.4,1.39,0,0,0.02
147,227.6,1.39,0,0,0.02
148,247.5,1.39,0,0,0.02
149,202.7,1.39,0,0,0.02
150,245.5,1.39,0,0,0.02
151,243.3,1.39,0,0,0.02
152,232.0,1.39,0,0,0.02
153,215.0,1.39,0,0,0.02
154,235.9,1.39,0,0,0.02
155,235.0,1.39,0,0,0.02
156,257.6,1.39,0,0,0.02
157,241.3,1.39,0,0,0.02
158,229.2,1.39,0,0,0.02
159,238.4,1.39,0,0,0.02
160,226.5,1.39,0,0,0.02
161,228.9,1.39,0,0,0.02
162,232.6,1.39,0,0,0.02
163,241.7,1.39,0,0,0.02
164,258.9,1.39,0,0,0.02
165,219.6,1.39,0,0,0.02
166,239.8,1.39,0,0,0.02
167,228.2,1.39,0,0,0.02
168,237.0,1.39,0,0,0.02
169,220.4,1.39,0,0,0.02
170,238.6,1.39,0,0,0.02
171,256.2,1.39,0,0,0.02
172,244.9,1.39,0,0,0.02
173,229.1,1.39,0,0,0.02
174,224.5,1.39,0,0,0.02
175,216.4,1.39,0,0,0.02
176,229.3,1.39,0,0,0.02
177,250.5,1.39,0,0,0.02
178,236.9,1.39,0,0,0.02
179,216.2,1.39,0,0,0.02
180,242.0,1.39,0,0,0.02
