round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,103.5,1.35,0,0,0.02
1,8.9,1.38,0,0,0.02
2,256.9,1.39,0,0,0.02
3,232.9,1.39,0,0,0.02
4,244.5,1.39,0,0,0.02
5,248.4,1.39,0,0,0.02
6,253.2,1.39,0,0,0.02
7,273.0,1.39,0,0,0.02
8,281.9,1.39,0,0,0.02
9,250.8,1.39,0,0,0.02
10,236.4,1.39,0,0,0.02
11,260.1,1.39,0,0,0.02
12,250.5,1.39,0,0,0.02
13,248.6,1.39,0,0,0.02
14,254.4,1.39,0,0,0.02
15,250.5,1.39,0,0,0.02
16,279.1,1.39,0,0,0.02
17,280.7,1.39,0,0,0.02
18,279.8,1.39,0,0,0.02
19,275.0,1.39,0,0,0.02
20,252.7,1.39,0,0,0.02
21,277.5,1.39,0,0,0.02
22,249.9,1.39,0,0,0.02
23,258.4,1.39,0,0,0.02
24,265.2,1.39,0,0,0.02
25,249.9,1.39,0,0,0.02
26,265.9,1.39,0,0,0.02
27,276.5,1.39,0,0,0.02
28,269.9,1.39,0,0,0.02
29,262.0,1.39,0,0,0.02
30,243.6,1.39,0,0,0.02
31,272.8,1.39,0,0,0.02
32,250.0,1.39,0,0,0.02
33,280.0,1.39,0,0,0.02
34,254.3,1.39,0,0,0.02
35,255.1,1.39,0,0,0.02
36,269.3,1.39,0,0,0.02
37,265.1,1.39,0,0,0.02
38,243.9,1.39,0,0,0.02
39,255.5,1.39,0,0,0.02
40,263.8,1.39,0,0,0.02
41,262.7,1.39,0,0,0.02
42,256.1,1.39,0,0,0.02
43,285.3,1.39,0,0,0.02
44,256.5,1.39,0,0,0.02
45,267.4,1.39,0,0,0.02
46,276.2,1.39,0,0,0.02
47,267.0,1.39,0,0,0.02
48,274.8,1.39,0,0,0.02
49,241.9,1.39,0,0,0.02
50,260.4,1.39,0,0,0.02
51,267.6,1.39,0,0,0.02
52,273.0,1.39,0,0,0.02
53,281.3,1.39,0,0,0.02
54,273.8,1.39,0,0,0.02
55,248.7,1.39,0,0,0.02
56,243.8,1.39,0,0,0.02
57,258.2,1.39,0,0,0.02
58,267.0,1.39,0,0,0.02
59,258.9,1.39,0,0,0.02
60,270.2,1.39,0,0,0.02
61,257.0,1.39,0,0,0.02
62,253.1,1.39,0,0,0.02
63,246.5,1.39,0,0,0.02
64,268.3,1.39,0,0,0.02
65,269.3,1.39,0,0,0.02
66,254.4,1.39,0,0,0.02
67,241.7,1.39,0,0,0.02
68,261.2,1.39,0,0,0.02
69,277.7,1.39,0,0,0.02
70,249.5,1.39,0,0,0.02
71,255.0,1.39,0,0,0.02
72,284.8,1.39,0,0,0.02
73,259.4,1.39,0,0,0.02
74,250.7,1.39,0,0,0.02
75,279.7,1.39,0,0,0.02
76,270.0,1.39,0,0,0.02
77,265.8,1.39,0,0,0.02
78,283.0,1.39,0,0,0.02
79,260.7,1.39,0,0,0.02
80,263.4,1.39,0,0,0.02
81,261.2,1.39,0,0,0.02
82,269.1,1.39,0,0,0.02
83,269.4,1.39,0,0,0.02
84,258.9,1.39,0,0,0.02
85,254.2,1.39,0,0,0.02
86,263.4,1.39,0,0,0.02
87,251.5,1.39,0,0,0.02
88,274.7,1.39,0,0,0.02
89,247.0,1.39,0,0,0.02
90,274.6,1.39,0,0,0.02
91,278.8,1.39,0,0,0.02
92,251.8,1.39,0,0,0.02
93,275.5,1.39,0,0,0.02
94,243.6,1.39,0,0,0.02
95,239.9,1.39,0,0,0.02
96,275.5,1.39,0,0,0.02
97,240.8,1.39,0,0,0.02
98,278.9,1.39,0,0,0.02
99,279.5,1.39,0,0,0.02
100,268.2,1.39,0,0,0.02
101,271.4,1.39,0,0,0.02
102,264.0,1.39,0,0,0.02
103,271.5,1.39,0,0,0.02
104,258.8,1.39,0,0,0.02
105,265.8,1.39,0,0,0.02
106,268.8,1.39,0,0,0.02
107,258.3,1.39,0,0,0.02
108,252.6,1.39,0,0,0.02
109,284.5,1.39,0,0,0.02
110,252.0,1.39,0,0,0.02
111,251.4,1.39,0,0,0.02
112,261.7,1.39,0,0,0.02
113,255.7,1.39,0,0,0.02
114,273.4,1.39,0,0,0.02
115,277.4,1.39,0,0,0.02
116,262.5,1.39,0,0,0.02
117,240.2,1.39,0,0,0.02
118,271.4,1.39,0,0,0.02
119,277.0,1.39,0,0,0.02
120,242.3,1.39,0,0,0.02
121,248.2,1.39,0,0,0.02
122,242.7,1.39,0,0,0.02
123,262.1,1.39,0,0,0.02
124,290.9,1.39,0,0,0.02
125,271.3,1.39,0,0,0.02
126,264.7,1.39,0,0,0.02
127,261.0,1.39,0,0,0.02
128,243.2,1.39,0,0,0.02
129,255.4,1.39,0,0,0.02
130,252.3,1.39,0,0,0.02
131,278.5,1.39,0,0,0.02
132,242.3,1.39,0,0,0.02
133,246.6,1.39,0,0,0.02
134,274.4,1.39,0,0,0.02
135,268.4,1.39,0,0,0.02
136,245.1,1.39,0,0,0.02
137,264.3,1.39,0,0,0.02
138,271.8,1.39,0,0,0.02
139,292.1,1.39,0,0,0.02
140,283.9,1.39,0,0,0.02
141,281.5,1.39,0,0,0.02
142,262.8,1.39,0,0,0.02
143,248.6,1.39,0,0,0.02
144,272.2,1.39,0,0,0.02
145,248.8,1.39,0,0,0.02
