round,cpu_percent,ram_gb,gpu_temp,gpu_util,vram_gb
0,591.1,1.34,0,0,0.02
1,7.7,1.38,0,0,0.02
2,195.1,1.38,0,0,0.02
3,192.2,1.38,0,0,0.02
4,193.9,1.39,0,0,0.02
5,230.8,1.39,0,0,0.02
6,266.4,1.39,0,0,0.02
7,295.2,1.39,0,0,0.02
8,244.2,1.39,0,0,0.02
9,198.1,1.39,0,0,0.02
10,243.1,1.39,0,0,0.02
11,246.1,1.39,0,0,0.02
12,289.5,1.39,0,0,0.02
13,250.8,1.39,0,0,0.02
14,215.7,1.39,0,0,0.02
15,219.2,1.39,0,0,0.02
16,280.8,1.39,0,0,0.02
17,286.5,1.39,0,0,0.02
18,239.5,1.39,0,0,0.02
19,228.8,1.39,0,0,0.02
20,211.7,1.39,0,0,0.02
21,285.9,1.39,0,0,0.02
22,294.6,1.39,0,0,0.02
23,255.0,1.39,0,0,0.02
24,236.1,1.39,0,0,0.02
25,233.3,1.39,0,0,0.02
26,253.4,1.39,0,0,0.02
27,268.4,1.39,0,0,0.02
28,277.4,1.39,0,0,0.02
29,240.4,1.39,0,0,0.02
30,207.8,1.39,0,0,0.02
31,242.2,1.39,0,0,0.02
32,292.9,1.39,0,0,0.02
33,263.6,1.39,0,0,0.02
34,223.0,1.39,0,0,0.02
35,214.5,1.39,0,0,0.02
36,265.4,1.39,0,0,0.02
37,272.4,1.39,0,0,0.02
38,267.1,1.39,0,0,0.02
39,252.3,1.39,0,0,0.02
40,205.0,1.39,0,0,0.02
41,274.4,1.39,0,0,0.02
42,268.6,1.39,0,0,0.02
43,269.9,1.39,0,0,0.02
44,230.8,1.39,0,0,0.02
45,225.9,1.39,0,0,0.02
46,241.6,1.39,0,0,0.02
47,294.4,1.39,0,0,0.02
48,264.1,1.39,0,0,0.02
49,233.4,1.39,0,0,0.02
50,219.7,1.39,0,0,0.02
51,279.0,1.39,0,0,0.02
52,296.5,1.39,0,0,0.02
53,236.0,1.39,0,0,0.02
54,218.4,1.39,0,0,0.02
55,209.8,1.39,0,0,0.02
56,280.6,1.39,0,0,0.02
57,262.6,1.39,0,0,0.02
58,240.3,1.39,0,0,0.02
59,197.1,1.39,0,0,0.02
60,255.0,1.39,0,0,0.02
61,260.6,1.39,0,0,0.02
62,281.8,1.39,0,0,0.02
63,234.6,1.39,0,0,0.02
64,216.2,1.39,0,0,0.02
65,220.9,1.39,0,0,0.02
66,264.4,1.39,0,0,0.02
67,279.4,1.39,0,0,0.02
68,270.9,1.39,0,0,0.02
69,245.3,1.39,0,0,0.02
70,218.5,1.39,0,0,0.02
71,227.0,1.39,0,0,0.02
72,260.7,1.39,0,0,0.02
73,276.4,1.39,0,0,0.02
74,275.8,1.39,0,0,0.02
75,240.1,1.39,0,0,0.02
76,200.0,1.39,0,0,0.02
77,279.3,1.39,0,0,0.02
78,282.0,1.39,0,0,0.02
79,255.9,1.39,0,0,0.02
80,207.1,1.39,0,0,0.02
81,260.7,1.39,0,0,0.02
82,262.0,1.39,0,0,0.02
83,275.2,1.39,0,0,0.02
84,241.5,1.39,0,0,0.02
85,206.4,1.39,0,0,0.02
86,249.7,1.39,0,0,0.02
87,272.5,1.39,0,0,0.02
88,244.3,1.39,0,0,0.02
89,224.8,1.39,0,0,0.02
90,240.8,1.39,0,0,0.02
91,278.9,1.39,0,0,0.02
92,265.6,1.39,0,0,0.02
93,266.0,1.39,0,0,0.02
94,221.0,1.39,0,0,0.02
95,233.2,1.39,0,0,0.02
96,275.5,1.39,0,0,0.02
97,269.0,1.39,0,0,0.02
98,231.5,1.39,0,0,0.02
99,212.1,1.39,0,0,0.02
100,216.4,1.39,0,0,0.02
101,281.0,1.39,0,0,0.02
102,287.0,1.39,0,0,0.02
103,259.0,1.39,0,0,0.02
