Algorithm,Distribution,Old_Best,New_Best,Diff_Best,Old_Final,New_Final,Diff_Final
FedAvg,C2,0.5137,0.5141,0.00039999999999995595,0.4927,0.5054,0.012699999999999934
FedAvg,C3,0.5637,0.5378,-0.025900000000000034,0.5132,0.4914,-0.021799999999999986
FedAvg,C4,0.5801,0.5841,0.0040000000000000036,0.5384,0.5144,-0.02400000000000002
FedAvg,C5,0.5438,0.5952,0.0514,0.4777,0.534,0.05630000000000002
FedAvgM,C2,0.4023,0.4826,0.08029999999999998,0.2995,0.4561,0.15660000000000002
FedAvgM,C3,0.4664,0.4959,0.029500000000000026,0.1,0.4513,0.35129999999999995
FedAvgM,C4,0.5192,0.5427,0.023499999999999965,0.1,0.4688,0.3688
FedAvgM,C5,0.4424,0.5507,0.10829999999999995,0.1,0.48,0.38
FedProx,C2,0.5159,0.4953,-0.020600000000000007,0.4305,0.468,0.03750000000000003
FedProx,C3,0.5435,0.5604,0.016900000000000026,0.4817,0.5066,0.024900000000000033
FedProx,C4,0.6039,0.5846,-0.019299999999999984,0.5542,0.5215,-0.03270000000000006
FedProx,C5,0.554,0.5891,0.03509999999999991,0.4743,0.5202,0.045899999999999996
