Algorithm,Distribution,Best_Accuracy,Final_Accuracy,Best_Round,Status
FedAvg,homo,0.6364,0.5781,47,Complete
FedAvg,C2,0.5141,0.5054,500,Complete
FedAvg,C3,0.5378,0.4914,69,Complete
FedAvg,C4,0.5841,0.5144,51,Complete
FedAvg,C5,0.5952,0.534,63,Complete
FedAvg,Dir0.1,0.5486,0.5034,56,Complete
FedAvg,Dir0.5,0.6133,0.5432,51,Complete
FedAvg,Dir1.0,0.6213,0.5527,39,Complete
FedAvg,Dir10.0,0.6324,0.5905,47,Complete
FedAvgM,homo,0.5231,0.5231,19,Complete
FedAvgM,C2,0.4826,0.4561,386,Complete
FedAvgM,C3,0.4959,0.4513,46,Complete
FedAvgM,C4,0.5427,0.4688,39,Complete
FedAvgM,C5,0.5507,0.48,39,Complete
FedAvgM,Dir0.1,0.4923,0.4502,31,Complete
FedAvgM,Dir0.5,0.567,0.4929,42,Complete
FedAvgM,Dir1.0,0.5711,0.4776,31,Complete
FedAvgM,Dir10.0,0.5929,0.5167,48,Complete
FedProx,homo,0.6477,0.5946,43,Complete
FedProx,C2,0.4953,0.468,478,Complete
FedProx,C3,0.5604,0.5066,62,Complete
FedProx,C4,0.5846,0.5215,50,Complete
FedProx,C5,0.5891,0.5202,47,Complete
FedProx,Dir0.1,0.5469,0.5029,49,Complete
FedProx,Dir0.5,0.61,0.5504,44,Complete
FedProx,Dir1.0,0.628,0.547,37,Complete
FedProx,Dir10.0,0.6284,0.5786,46,Complete
FedAdam,homo,0.5968,0.5314,51,Complete
FedAdam,C2,0.4792,0.46,489,Complete
FedAdam,C3,0.4812,0.4299,35,Complete
FedAdam,C4,0.5341,0.4989,36,Complete
FedAdam,C5,0.5071,0.4627,29,Complete
FedAdam,Dir0.1,0.4999,0.4688,34,Complete
FedAdam,Dir0.5,0.5726,0.5136,46,Complete
FedAdam,Dir1.0,0.5838,0.5253,38,Complete
FedAdam,Dir10.0,0.6028,0.5338,45,Complete
FedAdagrad,homo,0.6102,0.5704,131,Complete
FedAdagrad,C2,0.4849,0.4794,441,Complete
FedAdagrad,C3,0.5148,0.4757,66,Complete
FedAdagrad,C4,0.5658,0.5258,86,Complete
FedAdagrad,C5,0.5785,0.5427,91,Complete
FedAdagrad,Dir0.1,0.5368,0.5002,69,Complete
FedAdagrad,Dir0.5,0.5891,0.552,115,Complete
FedAdagrad,Dir1.0,0.595,0.5606,104,Complete
FedAdagrad,Dir10.0,0.607,0.58,86,Complete
FedYogi,homo,0.5821,0.5172,36,Complete
FedYogi,C2,0.478,0.4738,369,Complete
FedYogi,C3,0.4828,0.461,38,Complete
FedYogi,C4,0.5296,0.4856,28,Complete
FedYogi,C5,0.5374,0.4899,42,Complete
FedYogi,Dir0.1,0.4857,0.4531,41,Complete
FedYogi,Dir0.5,0.5604,0.4913,38,Complete
FedYogi,Dir1.0,0.5781,0.5147,34,Complete
FedYogi,Dir10.0,0.5821,0.5153,41,Complete
