round,client_id,phase,loss,accuracy,precision,recall,f1,num_examples
0,0,evaluate,2.02573167825047,0.3058,0.27939379813973886,0.15167616130407133,0.18411116652089773,5000
0,1,evaluate,1.9966660360746746,0.3092,0.31240177348248477,0.1509225624446572,0.18775167251459873,5000
0,2,evaluate,1.9966660360746746,0.3092,0.31240177348248477,0.1509225624446572,0.18775167251459873,5000
0,3,evaluate,1.9966660360746746,0.3092,0.31240177348248477,0.1509225624446572,0.18775167251459873,5000
0,4,evaluate,2.02573167825047,0.3058,0.27939379813973886,0.15167616130407133,0.18411116652089773,5000
0,5,evaluate,2.02573167825047,0.3058,0.27939379813973886,0.15167616130407133,0.18411116652089773,5000
1,0,evaluate,3.6443273689173443,0.2522,0.28781545885454507,0.1263154472081259,0.17363801681040897,5000
1,1,evaluate,2.040422991861271,0.518,0.3522799373201092,0.257667311722261,0.29379134716094557,5000
1,2,evaluate,3.6443273689173443,0.2522,0.28781545885454507,0.1263154472081259,0.17363801681040897,5000
1,3,evaluate,3.6443273689173443,0.2522,0.28781545885454507,0.1263154472081259,0.17363801681040897,5000
1,4,evaluate,2.040422991861271,0.518,0.3522799373201092,0.257667311722261,0.29379134716094557,5000
1,5,evaluate,2.040422991861271,0.518,0.3522799373201092,0.257667311722261,0.29379134716094557,5000
2,0,evaluate,10.57208938236478,0.158,0.23126334636632118,0.08172150559722245,0.11407454178584027,5000
2,1,evaluate,2.492034362841256,0.5372,0.3745481785052062,0.33671676253465277,0.34448735177720513,5000
2,2,evaluate,10.57208938236478,0.158,0.23126334636632118,0.08172150559722245,0.11407454178584027,5000
2,3,evaluate,2.492034362841256,0.5372,0.3745481785052062,0.33671676253465277,0.34448735177720513,5000
2,4,evaluate,10.57208938236478,0.158,0.23126334636632118,0.08172150559722245,0.11407454178584027,5000
2,5,evaluate,2.492034362841256,0.5372,0.3745481785052062,0.33671676253465277,0.34448735177720513,5000
