round,client_id,phase,loss,accuracy,precision,recall,f1,num_examples
0,0,evaluate,2.2261130809783936,0.0700354609929078,0.15274432754468248,0.1436210847975554,0.020014125540743357,1128
0,1,evaluate,2.173535442352295,0.0008203445447087777,0.00010254306808859722,0.125,0.00020491803278688525,1219
0,2,evaluate,2.0696284843213633,0.24409068982151472,0.20722678255271207,0.1683937823834197,0.06866152186540536,2073
0,3,evaluate,2.6269229580374325,0.0,0.0,0.0,0.0,2114
0,4,evaluate,2.2714598178863525,0.17270668176670442,0.029114165712103856,0.1661220043572985,0.049545159194282005,1766
0,5,evaluate,2.4906640229401766,0.058166862514688604,0.2109669811320755,0.20193236714975846,0.024621490715456766,1702
1,0,evaluate,3.941344879291676,0.27497062279670975,0.12544614698292225,0.21475693284949945,0.12120993792941634,1702
1,1,evaluate,2.9459510922431944,0.02543068088597211,0.09669745846248246,0.23142857142857143,0.020575885594907826,1219
1,2,evaluate,3.1448798444536,0.25443262411347517,0.17167284704712246,0.27790738673091614,0.17944874876658515,1128
1,3,evaluate,1.822520328419549,0.3012457531143828,0.13447705059701312,0.18237596212553425,0.14399992856792074,1766
1,4,evaluate,2.457779895175587,0.32513265798359864,0.29527665981344303,0.3336452229900333,0.23194692961902164,2073
1,5,evaluate,4.217768353574416,0.001892147587511826,0.020202020202020204,0.009070294784580497,0.012519561815336464,2114
2,0,evaluate,1.9784747958183289,0.03281378178835111,0.2007487622413505,0.2551223854027593,0.024886604724810246,1219
2,1,evaluate,3.781339652610548,0.05016883743367101,0.14517765329232635,0.04369931329650534,0.061433796905375176,2073
2,2,evaluate,3.201334145334032,0.14804964539007093,0.21097551317637198,0.10987066474576546,0.09632542688561148,1128
2,3,evaluate,1.576605467235341,0.4716177861873226,0.30207735247208933,0.24968484914235367,0.20821878381419942,2114
2,4,evaluate,2.0475871648107256,0.4682899207248018,0.174847399740033,0.25819309862136436,0.1297864718618752,1766
2,5,evaluate,3.2556871043311224,0.046415981198589897,0.08532166843407565,0.04097078444904532,0.024675801057287734,1702
