round,client_id,phase,loss,accuracy,precision,recall,f1,num_examples
0,0,evaluate,2.2535199765805847,0.16616676664667065,0.1086154631748947,0.15832923202619112,0.10137311184839545,1667
0,1,evaluate,2.2497844960954456,0.1739652069586083,0.1512297185171271,0.1765161303692298,0.11425324586986378,1667
0,2,evaluate,2.258191603201407,0.18236352729454108,0.1780146366746242,0.17844343717983097,0.12556345625104362,1667
0,3,evaluate,2.2554936938815646,0.16916616676664667,0.1176851417594003,0.16744365322596158,0.1100223491944368,1667
0,4,evaluate,2.258160123118648,0.17276544691061788,0.1296725363004108,0.17333994287524715,0.110100540287383,1667
0,5,evaluate,2.2657749741165727,0.15776844631073786,0.10541533234698434,0.16712329787470345,0.10761111268264892,1667
1,0,evaluate,2.4927559472896434,0.244751049790042,0.32035821385628477,0.2523732679119953,0.2090723962786892,1667
1,1,evaluate,2.5127105757042214,0.23215356928614278,0.24135070802344072,0.23166525771679697,0.1942188297346105,1667
1,2,evaluate,2.5819419931482384,0.2393521295740852,0.2220348881466334,0.23948541143402768,0.20185818271657277,1667
1,3,evaluate,2.4924709178783275,0.2495500899820036,0.21803447025161288,0.24900433618818876,0.21260032033866277,1667
1,4,evaluate,2.5321567323472767,0.23875224955008997,0.2420811001975137,0.23743031743122806,0.20208142489467643,1667
1,5,evaluate,2.4443630112542047,0.25674865026994603,0.28956224171079686,0.2534317937312314,0.22328956809340159,1667
2,0,evaluate,4.059485965304905,0.28734253149370126,0.309914658123636,0.2861651918021558,0.25018967407758236,1667
2,1,evaluate,4.0221063869970815,0.2633473305338932,0.25749886043294584,0.2753318046950984,0.22339002700267,1667
2,2,evaluate,4.0894510834305375,0.27294541091781643,0.2831439282757329,0.2646765703477548,0.23067183256121374,1667
2,3,evaluate,4.290022382029781,0.26874625074985004,0.2916430080061387,0.27484226582611865,0.23398167422720303,1667
2,4,evaluate,4.204583256332962,0.28014397120575885,0.2926891103334569,0.28056749455611535,0.2378671382580882,1667
2,5,evaluate,4.566727541111134,0.265746850629874,0.27293141944881,0.2609726405401663,0.22279149488477407,1667
