round,client_id,phase,loss,accuracy,precision,recall,f1,num_examples
0,0,evaluate,2.1083961787976717,0.19373454245671887,0.08124421589641091,0.15790517275384705,0.07944101935776174,1213
0,1,evaluate,2.1861214893204823,0.1891891891891892,0.1338646395702445,0.19634557116998697,0.12358799672925495,1776
0,2,evaluate,2.164781514336081,0.19869097709209912,0.0919049422432881,0.1726543581709233,0.10558251745105637,2139
0,3,evaluate,2.162436471265905,0.13383600377002827,0.1029016374735054,0.11046851417745093,0.05674058799560423,1061
0,4,evaluate,2.2676146107335247,0.11815415821501014,0.04930271518460029,0.12432106699475795,0.05611806317995808,1972
0,5,evaluate,2.3484126617168557,0.17273221075502446,0.06897826777369448,0.13701599165738035,0.07330938648109533,1841
1,0,evaluate,2.174804242218242,0.24029920523609163,0.1512613604823924,0.2513980795852251,0.1597114507595153,2139
1,1,evaluate,2.590317931668512,0.20478001086366104,0.09881925806087166,0.2203862800123403,0.12998320620567408,1841
1,2,evaluate,1.8917529959427684,0.2662819455894477,0.17905654556137623,0.21609982307743464,0.14909429448697117,1213
1,3,evaluate,2.194618284702301,0.24549549549549549,0.16390956424081804,0.2743135961200917,0.17545196929531645,1776
1,4,evaluate,2.259500678847818,0.24222431668237512,0.1245374396161324,0.1556775556952173,0.10463531221279018,1061
1,5,evaluate,2.333066248124646,0.24442190669371197,0.10815704248223157,0.21347873420846328,0.1308777158162872,1972
2,0,evaluate,2.3233032719842317,0.23248234655078762,0.251353126964798,0.25405542790522573,0.16018604565823993,1841
2,1,evaluate,2.6088539993061737,0.25918944392082943,0.19491755017039003,0.2392528385812435,0.1295328012780229,1061
2,2,evaluate,2.3713774979114532,0.2685810810810811,0.27881828360489497,0.32757357486145683,0.21521867051971896,1776
2,3,evaluate,1.9622420212801766,0.30902290790088827,0.2808668814675148,0.28784021606060145,0.2147414595341528,2139
2,4,evaluate,1.9052363696851229,0.34295136026380874,0.27195114726610387,0.2660580065644272,0.21017737827425434,1213
2,5,evaluate,2.6443256178209857,0.2718052738336714,0.12697281555734358,0.2367444786662789,0.15095425717691538,1972
