round,loss,accuracy,precision,recall,f1
0,2.3033597650407236,0.1115,0.024031588859049685,0.1115,0.038305942350161326
1,2.3442552059511597,0.1,0.014612912608063796,0.1,0.024775433716947383
2,2.18353563924379,0.1504,0.20857160187132778,0.1504,0.06768177593581712
3,2.180382810061491,0.17,0.29402863438864457,0.16999999999999998,0.10934000560352226
4,2.0608368131178842,0.2215,0.21624485462350074,0.22149999999999997,0.17333183297127447
5,1.9874655536458463,0.2562,0.27394280375141966,0.2562,0.2139571658542442
6,1.9925940489467187,0.2445,0.3269129968900549,0.24449999999999994,0.1895601363620567
7,2.2443499595304077,0.1645,0.31633834739020156,0.16449999999999998,0.12268023146346416
8,1.971968097022817,0.2552,0.35620032078422004,0.2552,0.2260470240622765
9,1.9414628034905543,0.2604,0.27062365179447373,0.2604,0.22220998113110663
10,2.004781745657136,0.2587,0.29287662130222897,0.25870000000000004,0.2233073772905934
11,1.9397028307371502,0.2691,0.2445404380227126,0.2691,0.2016283707464405
12,1.9921356394321104,0.248,0.2761502121165279,0.248,0.17675329629590678
13,2.01090535332885,0.2379,0.23223513163054985,0.23790000000000006,0.20427044955684912
14,1.9963774349116072,0.2424,0.3521275189436219,0.24239999999999995,0.19623926672395375
15,1.9855667986447298,0.2525,0.2538554498935734,0.25250000000000006,0.191440911311896
16,2.0022112402734877,0.2321,0.2276895090834082,0.23209999999999997,0.15634803215564708
17,1.9528758540938171,0.2235,0.23253627441514135,0.22349999999999998,0.1611383822408147
18,2.1265772415112845,0.1875,0.17200741450088305,0.1875,0.10799277146416594
19,2.022107192232639,0.2235,0.26045623913719584,0.22349999999999998,0.16402494129170317
20,2.0064178403419786,0.2344,0.28097540097909807,0.23440000000000003,0.1822081747175858
21,1.9527381356758406,0.2653,0.24229726858010797,0.2653,0.21392565248423406
22,2.0053021424933326,0.2579,0.3630879385869011,0.25789999999999996,0.23118831027117298
23,1.9287394089034842,0.2655,0.24950514703531823,0.26549999999999996,0.1988420031895204
24,1.9674796711040448,0.2465,0.2500248900052282,0.24650000000000002,0.19085571671483118
25,2.0549538271336614,0.2241,0.2463646883361049,0.22409999999999997,0.15516624188622535
26,2.0128454045404363,0.2229,0.25864310098469284,0.22290000000000001,0.15689383507004676
